x,y
543377,357d47
2015-06-23 19:47,332
2015-06-24 22:11,255
2015-06-25 08:27,301
2015-06-25 23:36,232
2015-06-26 07:39,269
2015-06-26 17:34,313
2015-07-06 14:38,372
2015-07-16 00:06,317
2015-07-19 14:45,125
2015-07-20 20:23,210
2015-07-23 11:29,320
2015-07-24 11:10:00,280
2015-07-24 18:55:00,277
2015-07-25 10:58:00,273
2015-07-25 20:44:00,271
2015-07-26 09:50:00,268
2015-07-26 15:21:00,266
2015-07-26 23:51:00,264
2015-07-27 11:22:00,262
2015-07-27 19:07:00,260
2015-07-27 23:47:00,258
2015-07-28 10:09:00,256
2015-07-28 14:24:00,254
2015-07-28 23:30:00,253
2015-07-29 13:56:00,250
2015-07-29 19:11:00,248
2015-07-29 23:24:00,247
2015-07-30 10:31,244
2015-07-30 21:24:00,242
2015-07-31 09:13:00,239
2015-07-31 20:32,236
2015-08-01 09:40:00,233
2015-08-01 17:18:00,232
2015-08-01 23:35,231
2015-08-02 08:19:00,229
2015-08-02 11:26:00,227
2015-08-11 16:00:00,215
2015-08-11 17:42:00,222
2015-08-11 18:14:00,225
2015-08-11 19:11:00,232
2015-08-11 23:49:00,254
2015-08-12 12:47:00,254
2015-08-12 13:32,243
2015-08-12 23:24,188
2015-08-13 08:25:00,239
2015-08-13 09:35:00,245
2015-08-13 12:33:00,261
2015-08-13 15:20:00,231
2015-08-13 18:03:00,246
2015-08-13 19:33:00,239
2015-08-13 21:21:00,225
2015-08-14 09:28,254
2015-08-14 17:46,301
2015-08-14 20:42,244
2015-08-14 21:36,249
2015-08-15 01:03,269
2015-08-15 11:28,277
2015-08-15 13:59,255
2015-08-15 17:41,276
2015-08-15 22:52,306
2015-08-16 10:35,303
2015-08-16 13:49,304
2015-08-16 19:12,308
2015-08-16 20:22,303
2015-08-17 15:19,289
2015-08-17 19:02,282
2015-08-17 20:48,292
2015-08-17 21:21,294
2015-08-17 22:15,300
2015-08-18 10:49,298
2015-08-18 11:53,297
2015-08-18 14:37,313
2015-08-19 07:00,270
2015-08-19 09:13:00,266
2015-08-19 15:19,253
2015-08-19 22:49,290
2015-08-20 09:50,288
2015-08-20 14:14,313
2015-08-21 07:49,310
2015-08-21 11:15,297
2015-08-21 12:30,297
2015-08-22 15:40,310
2015-08-22 19:59,285
2015-08-24 08:22,300
2015-08-24 17:31,284
2015-08-24 19:26,272
2015-08-24 23:05,293
2015-08-26 19:02,279
2015-08-26 23:23,298
2015-08-27 07:53,301
2015-08-27 15:12,293
2015-08-30 14:24,282
2015-08-30 14:31,283
2015-08-30 14:48,276
2015-08-30 17:19,290
2015-08-30 18:50,276
2015-08-31 12:33,293
2015-08-31 14:11,278
2015-08-31 16:23,274
2015-08-31 17:28,244
2015-08-31 17:48,271
2015-08-31 20:11,278
2015-09-01 05:21,277
2015-09-01 09:06,274
2015-09-01 13:53,272
2015-09-01 14:44,260
2015-09-01 16:26,250
2015-09-01 21:08,240
2015-09-01 21:56,245
2015-09-02 06:48,241
2015-09-02 13:48,224
2015-09-02 18:03,241
2015-09-02 22:03,264
2015-09-03 06:25,267
2015-09-03 09:47,287
2015-09-03 13:04,300
2015-09-03 16:17,341
2015-09-03 20:28,283
2015-09-03 22:13,292
2015-09-04 05:40,290
2015-09-04 09:36,313
2015-09-04 21:59,324
2015-09-05 13:39,166
2015-09-05 17:28,147
2015-09-06 06:34,181
2015-09-06 17:35,234
2015-09-06 22:48,264
2015-09-07 07:09,277
2015-09-07 14:34,258
2015-09-07 15:47,254
2015-09-07 18:33,255
2015-09-07 20:17,264
2015-09-07 21:06,269
2015-09-08 06:14,262
2015-09-08 12:21,261
2015-09-08 13:45,260
2015-09-08 14:43,248
2015-09-08 18:07,250
2015-09-08 18:36,242
2015-09-08 19:33,279
2015-09-08 20:57,287
2015-09-09 06:46,288
2015-09-09 14:35,276
2015-09-09 21:00,312
2015-09-10 16:06,337
2015-09-11 18:32,112
2015-09-12 16:38,232
2015-09-12 17:04,238
2015-09-12 19:51,267
2015-09-13 00:37,279
2015-09-13 08:18,276
2015-09-13 14:20,182
2015-09-13 16:21,269
2015-09-14 06:09,258
2015-09-14 14:35,242
2015-09-15 06:07,238
2015-09-15 08:01,230
2015-09-15 14:20,218
2015-09-15 15:42,225
2015-09-15 17:48,196
2015-09-15 21:39,218
2015-09-16 05:48,219
2015-09-16 08:40,235
2015-09-16 17:16,262
2015-09-16 20:10,278
2015-09-17 07:27,296
2015-09-17 10:45,312
2015-09-17 11:26,289
2015-09-17 13:34,302
