z[0],z[1],z[2]
29e29b,858b47,5a0c11
0,0,0
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
0.5,0.5,0.5
1,1,1
