x,y
03d300,5f8986
2000 January,2
2000 February,6
2000 March,7
2000 April,12
2000 May,13
2000 June,14
2000 July,10
2000 August,9
2000 September,20
2000 October,15
2000 November,23
2000 December,29
2001 January,36
2001 February,33
2001 March,41
2001 April,50
2001 May,49
2001 June,54
2001 July,54
2001 August,55
2001 September,63
2001 October,70
2001 November,67
2001 December,69
2002 January,87
2002 February,74
2002 March,74
2002 April,89
2002 May,80
2002 June,86
2002 July,86
2002 August,87
2002 September,82
2002 October,94
2002 November,96
2002 December,89
2003 January,91
2003 February,91
2003 March,103
2003 April,96
2003 May,99
2003 June,97
2003 July,110
2003 August,111
2003 September,114
2003 October,124
2003 November,123
2003 December,119
2004 January,119
2004 February,127
2004 March,132
2004 April,132
2004 May,138
2004 June,144
2004 July,137
2004 August,151
2004 September,143
2004 October,150
2004 November,151
2004 December,156
2005 January,163
2005 February,179
2005 March,175
2005 April,180
2005 May,180
2005 June,193
2005 July,194
2005 August,209
2005 September,214
2005 October,212
2005 November,215
2005 December,218
2006 January,219
2006 February,220
2006 March,229
2006 April,228
2006 May,236
2006 June,233
2006 July,233
2006 August,228
2006 September,232
2006 October,228
2006 November,232
2006 December,225
2007 January,231
2007 February,229
2007 March,242
2007 April,233
2007 May,230
2007 June,230
2007 July,234
2007 August,227
2007 September,233
2007 October,234
2007 November,229
2007 December,228
2008 January,232
2008 February,228
2008 March,234
2008 April,231
2008 May,236
2008 June,233
2008 July,232
2008 August,241
2008 September,235
2008 October,228
2008 November,244
2008 December,236
2009 January,232
2009 February,234
2009 March,226
2009 April,238
2009 May,243
2009 June,232
2009 July,231
2009 August,230
2009 September,237
2009 October,234
2009 November,232
2009 December,237
2010 January,239
2010 February,234
2010 March,237
2010 April,231
2010 May,231
2010 June,232
2010 July,228
2010 August,229
2010 September,236
2010 October,232
2010 November,236
2010 December,234
2011 January,240
2011 February,248
2011 March,240
2011 April,236
2011 May,239
2011 June,235
2011 July,238
2011 August,240
2011 September,242
2011 October,238
2011 November,232
2011 December,237
2012 January,237
2012 February,234
2012 March,239
2012 April,240
2012 May,244
2012 June,245
2012 July,238
2012 August,245
2012 September,242
2012 October,245
2012 November,241
2012 December,239
2013 January,241
2013 February,251
2013 March,249
2013 April,242
2013 May,253
2013 June,256
2013 July,250
2013 August,247
2013 September,247
2013 October,256
2013 November,252
2013 December,252
2014 January,243
2014 February,244
2014 March,252
2014 April,256
2014 May,242
2014 June,254
2014 July,247
2014 August,258
2014 September,246
2014 October,249
2014 November,252
2014 December,255
2015 January,261
2015 February,248
2015 March,257
2015 April,254
2015 May,259
2015 June,248
2015 July,262
2015 August,252
2015 September,263
2015 October,264
2015 November,255
2015 December,259
2016 January,260
2016 February,269
2016 March,278
2016 April,264
2016 May,267
2016 June,261
2016 July,264
2016 August,276
2016 September,278
2016 October,280
2016 November,285
2016 December,293
2017 January,297
2017 February,286
2017 March,297
2017 April,295
2017 May,313
2017 June,319
2017 July,333
2017 August,348
2017 September,372
2017 October,376
2017 November,386
2017 December,414
2018 January,412
2018 March,402
2018 August,402
2018 December,402
