"Under Inspection, x; Issued, x","Under Inspection, y","Issued, y","R2P2, x","R2P2, y"
16f62e,7420f2,6a5e05,291099,ac6a50
2000 January,1,1,2005 October,3
2000 February,2,1,2005 November,6
2000 March,3,2,2005 December,9
2000 April,3,4,2006 January,10
2000 May,3,4,2006 February,12
2000 June,3,4,2006 March,17
2000 July,3,4,2006 April,18
2000 August,3,4,2006 May,18
2000 September,5,5,2006 June,18
2000 October,6,7,2006 July,18
2000 November,8,8,2006 August,18
2000 December,8,10,2006 September,18
2001 January,17,11,2006 October,18
2001 February,19,12,2006 November,18
2001 March,22,12,2006 December,18
2001 April,24,12,2007 January,18
2001 May,27,13,2007 February,18
2001 June,31,18,2007 March,18
2001 July,31,18,2007 April,18
2001 August,32,19,2007 May,18
2001 September,35,21,2007 June,18
2001 October,39,21,2007 July,18
2001 November,39,21,2007 August,18
2001 December,40,21,2007 September,18
2002 January,40,21,2007 October,18
2002 February,40,22,2007 November,18
2002 March,44,23,2007 December,18
2002 April,47,24,2008 January,18
2002 May,47,24,2008 February,18
2002 June,48,24,2008 March,18
2002 July,49,24,2008 April,18
2002 August,49,24,2008 May,18
2002 September,49,24,2008 June,18
2002 October,51,24,2008 July,18
2002 November,52,24,2008 August,18
2002 December,53,24,2008 September,18
2003 January,53,24,2008 October,18
2003 February,55,25,2008 November,19
2003 March,55,25,2008 December,19
2003 April,56,25,2009 January,19
2003 May,57,26,2009 February,19
2003 June,58,28,2009 March,19
2003 July,67,28,2009 April,19
2003 August,69,30,2009 May,19
2003 September,71,30,2009 June,19
2003 October,76,30,2009 July,19
2003 November,78,30,2009 August,19
2003 December,80,31,2009 September,19
2004 January,81,31,2009 October,19
2004 February,83,31,2009 November,19
2004 March,85,32,2009 December,19
2004 April,86,33,2010 January,19
2004 May,88,34,2010 February,19
2004 June,89,36,2010 March,19
2004 July,93,37,2010 April,19
2004 August,95,39,2010 May,19
2004 September,96,39,2010 June,19
2004 October,99,42,2010 July,19
2004 November,100,42,2010 August,19
2004 December,104,42,2010 September,19
2005 January,107,42,2010 October,19
2005 February,111,43,2010 November,19
2005 March,114,43,2010 December,19
2005 April,121,43,2011 January,19
2005 May,123,43,2011 February,19
2005 June,130,45,2011 March,19
2005 July,131,47,2011 April,19
2005 August,136,52,2011 May,19
2005 September,138,52,2011 June,19
2005 October,138,52,2011 July,19
2005 November,138,52,2011 August,19
2005 December,138,52,2011 September,19
2006 January,138,52,2011 October,19
2006 February,138,52,2011 November,19
2006 March,138,52,2011 December,19
2006 April,138,52,2012 January,19
2006 May,138,52,2012 February,19
2006 June,138,52,2012 March,19
2006 July,138,52,2012 April,19
2006 August,138,52,2012 May,19
2006 September,138,52,2012 June,19
2006 October,138,52,2012 July,19
2006 November,138,52,2012 August,19
2006 December,138,52,2012 September,19
2007 January,138,52,2012 October,19
2007 February,138,52,2012 November,19
2007 March,138,52,2012 December,19
2007 April,138,52,2013 January,19
2007 May,138,52,2013 February,19
2007 June,138,52,2013 March,19
2007 July,138,52,2013 April,19
2007 August,138,52,2013 May,19
2007 September,138,52,2013 June,19
2007 October,138,52,2013 July,19
2007 November,138,52,2013 August,19
2007 December,138,53,2013 September,19
2008 January,138,53,2013 October,19
2008 February,138,53,2013 November,19
2008 March,138,53,2013 December,19
2008 April,138,53,2014 January,19
2008 May,138,53,2014 February,19
2008 June,138,53,2014 March,19
2008 July,138,53,2014 April,19
2008 August,138,53,2014 May,19
2008 September,138,53,2014 June,19
2008 October,138,53,2014 July,19
2008 November,138,53,2014 August,19
2008 December,138,53,2014 September,19
