"Under Inspection, x; Issued, x","Under Inspection, y","Issued, y","Under Review, x","Under Review, y","Fees Due, x","Fees Due, y"
d0e5ca,d4b0cb,e23e7c,a846d9,67f996,93ab24,5bab4f
2000 January,1,18,2017 November,1,2000 June,1
2000 February,1,21,2017 December,1,2000 July,1
2000 March,2,38,2018 January,1,2000 August,1
2000 April,3,44,,,2000 September,1
2000 May,6,55,,,2000 October,1
2000 June,12,65,,,2000 November,1
2000 July,18,75,,,2000 December,1
2000 August,27,77,,,2001 January,1
2000 September,30,87,,,2001 February,1
2000 October,46,89,,,2001 March,1
2000 November,51,91,,,2001 April,1
2000 December,62,97,,,2001 May,1
2001 January,67,101,,,2001 June,1
2001 February,76,105,,,2001 July,1
2001 March,81,108,,,2001 August,1
2001 April,84,110,,,2001 September,1
2001 May,91,113,,,2001 October,1
2001 June,96,114,,,2001 November,1
2001 July,99,116,,,2001 December,1
2001 August,104,119,,,2002 January,1
2001 September,107,122,,,2002 February,1
2001 October,114,124,,,2002 March,1
2001 November,115,128,,,2002 April,1
2001 December,117,129,,,2002 May,1
2002 January,122,130,,,2002 June,1
2002 February,127,132,,,2002 July,1
2002 March,129,136,,,2002 August,1
2002 April,130,138,,,2002 September,1
2002 May,130,140,,,2002 October,1
2002 June,132,142,,,2002 November,1
2002 July,134,144,,,2002 December,1
2002 August,135,151,,,2003 January,1
2002 September,135,152,,,2003 February,1
2002 October,140,154,,,2003 March,1
2002 November,144,157,,,2003 April,1
2002 December,147,158,,,2003 May,1
2003 January,152,159,,,2003 June,1
2003 February,156,161,,,2003 July,1
2003 March,164,165,,,2003 August,1
2003 April,168,165,,,2003 September,2
2003 May,174,173,,,2003 October,2
2003 June,181,178,,,2003 November,2
2003 July,181,181,,,2003 December,2
2003 August,186,184,,,2004 January,2
2003 September,192,186,,,2004 February,2
2003 October,196,190,,,2004 March,2
2003 November,200,192,,,2004 April,2
2003 December,206,195,,,2004 May,3
2004 January,210,196,,,2004 June,3
2004 February,214,198,,,2004 July,3
2004 March,221,202,,,2004 August,4
2004 April,231,206,,,2004 September,5
2004 May,235,208,,,2004 October,6
2004 June,249,212,,,2004 November,6
2004 July,263,213,,,2004 December,6
2004 August,272,217,,,2005 January,6
2004 September,286,219,,,2005 February,6
2004 October,299,226,,,2005 March,6
2004 November,310,241,,,2005 April,6
2004 December,323,248,,,2005 May,7
2005 January,329,251,,,2005 June,7
2005 February,334,254,,,2005 July,7
2005 March,347,254,,,2005 August,7
2005 April,355,256,,,2005 September,7
2005 May,364,259,,,2005 October,7
2005 June,379,262,,,2005 November,7
2005 July,381,265,,,2005 December,7
2005 August,397,269,,,2006 January,7
2005 September,409,272,,,2006 February,7
2005 October,417,278,,,2006 March,7
2005 November,422,280,,,2006 April,7
2005 December,429,283,,,2006 May,7
2006 January,433,286,,,2006 June,7
2006 February,436,291,,,2006 July,7
2006 March,444,298,,,2006 August,7
2006 April,454,308,,,2006 September,7
2006 May,471,316,,,2006 October,7
2006 June,479,327,,,2006 November,7
2006 July,487,336,,,2006 December,7
2006 August,509,342,,,2007 January,7
2006 September,521,359,,,2007 February,7
2006 October,531,363,,,2007 March,7
2006 November,541,367,,,2007 April,7
2006 December,553,370,,,2007 May,7
2007 January,570,372,,,2007 June,7
2007 February,586,376,,,2007 July,7
2007 March,599,382,,,2007 August,7
2007 April,611,386,,,2007 September,7
2007 May,631,409,,,2007 October,7
2007 June,649,427,,,2007 November,7
2007 July,664,439,,,2007 December,7
2007 August,678,460,,,2008 January,7
2007 September,688,479,,,2008 February,7
2007 October,703,488,,,2008 March,7
2007 November,711,498,,,2008 April,7
2007 December,721,509,,,2008 May,7
2008 January,732,519,,,2008 June,7
2008 February,750,531,,,2008 July,7
