"SO2, x; 人数, x","SO2, y","人数, y"
68f348,3b4315,dd03fb
2013-11-01,74.0,208
2013-11-02,121.0,227
2013-11-03,58.0,152
2013-11-04,53.0,262
2013-11-05,65.0,241
2013-11-06,65.0,222
2013-11-07,63.0,227
2013-11-08,65.0,212
2013-11-09,62.0,248
2013-11-10,46.0,180
2013-11-11,70.0,268
2013-11-12,73.0,250
2013-11-13,105.0,224
2013-11-14,101.0,231
2013-11-15,93.0,233
2013-11-16,83.0,272
2013-11-17,80.0,186
2013-11-18,66.0,273
2013-11-19,114.0,242
2013-11-20,200.0,231
2013-11-21,202.0,230
2013-11-22,111.0,213
2013-11-23,65.0,229
2013-11-24,37.0,133
2013-11-25,42.0,290
2013-11-26,93.0,239
2013-11-27,33.0,241
2013-11-28,70.0,253
2013-11-29,100.0,223
2013-11-30,101.0,283
2013-12-01,78.0,215
2013-12-02,103.0,316
2013-12-03,153.0,320
2013-12-04,106.0,291
2013-12-05,112.0,264
2013-12-06,93.0,297
2013-12-07,106.0,336
2013-12-08,72.0,203
2013-12-09,62.0,293
2013-12-10,91.0,315
2013-12-11,80.0,307
2013-12-12,101.0,290
2013-12-13,150.0,281
2013-12-14,213.0,324
2013-12-15,212.0,225
2013-12-16,203.0,397
2013-12-17,175.0,357
2013-12-18,79.0,307
2013-12-19,132.0,284
2013-12-20,114.0,296
2013-12-21,125.0,285
2013-12-22,131.0,202
2013-12-23,141.0,332
2013-12-24,199.0,333
2013-12-25,176.0,341
2013-12-26,57.0,353
2013-12-27,107.0,317
2013-12-28,127.0,354
2013-12-29,106.0,264
2013-12-30,138.0,452
2013-12-31,130.0,403
2014-01-01,138.0,364
2014-01-02,149.0,361
2014-01-03,173.0,460
2014-01-04,107.0,400
2014-01-05,130.0,310
2014-01-06,162.0,410
2014-01-07,150.0,385
2014-01-08,120.0,408
2014-01-09,148.0,362
2014-01-10,109.0,401
2014-01-11,114.0,441
2014-01-12,178.0,325
2014-01-13,125.0,427
2014-01-14,130.0,424
2014-01-15,117.0,398
2014-01-16,105.0,363
2014-01-17,128.0,351
2014-01-18,105.0,322
2014-01-19,142.0,233
2014-01-20,66.0,344
2014-01-21,59.0,301
2014-01-22,70.0,318
2014-01-23,123.0,287
2014-01-24,176.0,303
2014-01-25,124.0,224
2014-01-26,81.0,260
2014-01-27,67.0,329
2014-01-28,111.0,270
2014-01-29,61.0,230
2014-01-30,131.0,164
2014-01-31,167.0,118
2014-02-01,67.0,139
2014-02-02,100.0,163
2014-02-03,104.0,174
2014-02-04,130.0,160
2014-02-05,78.0,159
2014-02-06,143.0,146
2014-02-07,140.0,203
2014-02-08,123.0,210
2014-02-09,77.0,135
2014-02-10,90.0,204
2014-02-11,126.0,174
2014-02-12,228.0,166
2014-02-13,176.0,205
2014-02-14,105.0,131
2014-02-15,64.0,143
2014-02-16,182.0,93
2014-02-17,149.0,182
2014-02-18,179.0,171
2014-02-19,188.0,159
2014-02-20,151.0,159
2014-02-21,71.0,166
2014-02-22,124.0,158
2014-02-23,130.0,124
2014-02-24,138.0,208
2014-02-25,114.0,202
2014-02-26,77.0,169
2014-02-27,56.0,185
2014-02-28,130.0,171
2014-03-01,84.0,181
2014-03-02,93.0,136
2014-03-03,68.0,208
2014-03-04,77.0,174
2014-03-05,128.0,176
2014-03-06,140.0,191
2014-03-07,106.0,183
2014-03-08,79.0,227
2014-03-09,173.0,154
2014-03-10,92.0,226
2014-03-11,59.0,215
2014-03-12,67.0,168
2014-03-13,68.0,184
2014-03-14,58.0,204
2014-03-15,47.0,207
2014-03-16,47.0,148
2014-03-17,66.0,219
2014-03-18,97.0,203
2014-03-19,86.0,169
2014-03-20,29.0,219
2014-03-21,42.0,195
2014-03-22,38.0,184
2014-03-23,48.0,125
2014-03-24,78.0,220
2014-03-25,108.0,235
2014-03-26,46.0,167
2014-03-27,34.0,175
2014-03-28,46.0,185
2014-03-29,72.0,207
2014-03-30,56.0,127
2014-03-31,68.0,193
2014-04-01,42.0,186
2014-04-02,52.0,206
2014-04-03,77.0,178
2014-04-04,62.0,206
2014-04-05,65.0,131
2014-04-06,52.0,144
2014-04-07,51.0,242
2014-04-08,38.0,230
2014-04-09,30.0,218
2014-04-10,154.0,193
2014-04-11,163.0,198
2014-04-12,86.0,202
2014-04-13,119.0,128
2014-04-14,29.0,257
2014-04-15,130.0,235
2014-04-16,148.0,199
2014-04-17,49.0,202
2014-04-18,125.0,214
2014-04-19,143.0,225
2014-04-20,131.0,161
2014-04-21,60.0,227
2014-04-22,49.0,212
2014-04-23,32.0,190
2014-04-24,41.0,238
2014-04-25,25.0,223
2014-04-26,30.0,207
2014-04-27,17.0,140
2014-04-28,31.0,269
2014-04-29,35.0,236
2014-04-30,35.0,196
2014-05-01,35.0,152
2014-05-02,32.0,131
2014-05-03,38.0,154
2014-05-04,19.0,207
2014-05-05,42.0,266
2014-05-06,32.0,211
2014-05-07,43.0,179
2014-05-08,99.0,224
2014-05-09,42.0,186
2014-05-10,50.0,203
2014-05-11,27.0,108
2014-05-12,56.0,215
2014-05-13,35.0,210
2014-05-14,35.0,226
2014-05-15,49.0,221
2014-05-16,54.0,193
2014-05-17,106.0,184
2014-05-18,48.0,135
2014-05-19,49.0,234
2014-05-20,46.0,213
2014-05-21,37.0,192
2014-05-22,36.0,180
2014-05-23,30.0,196
2014-05-24,18.0,223
2014-05-25,32.0,157
2014-05-26,51.0,214
2014-05-27,78.0,215
2014-05-28,48.0,186
2014-05-29,51.0,183
2014-05-30,54.0,201
2014-05-31,64.0,138
2014-06-01,67.0,141
2014-06-02,44.0,217
2014-06-03,43.0,232
2014-06-04,122.0,216
2014-06-05,89.0,223
2014-06-06,47.0,165
2014-06-07,29.0,204
2014-06-08,47.0,169
2014-06-09,53.0,236
2014-06-10,62.0,215
2014-06-11,48.0,174
2014-06-12,42.0,194
2014-06-13,90.0,208
2014-06-14,66.0,219
2014-06-15,30.0,171
2014-06-16,20.0,241
2014-06-17,20.0,234
2014-06-18,21.0,198
2014-06-19,37.0,191
2014-06-20,31.0,193
2014-06-21,39.0,225
2014-06-22,98.0,147
2014-06-23,33.0,248
2014-06-24,37.0,227
2014-06-25,29.0,197
2014-06-26,17.0,212
2014-06-27,36.0,201
2014-06-28,36.0,201
2014-06-29,60.0,148
2014-06-30,37.0,196
2014-07-01,29.0,245
2014-07-02,22.0,223
2014-07-03,18.0,214
2014-07-04,18.0,193
2014-07-05,39.0,218
2014-07-06,59.0,125
2014-07-07,36.0,245
2014-07-08,32.0,227
2014-07-09,50.0,212
2014-07-10,48.0,186
2014-07-11,45.0,196
2014-07-12,27.0,195
2014-07-13,39.0,156
2014-07-14,24.0,239
2014-07-15,25.0,244
2014-07-16,20.0,193
2014-07-17,21.0,181
2014-07-18,24.0,248
2014-07-19,24.0,174
2014-07-20,19.0,140
2014-07-21,33.0,195
2014-07-22,50.0,164
2014-07-23,86.0,160
2014-07-24,81.0,160
2014-07-25,23.0,159
2014-07-26,31.0,142
2014-07-27,37.0,153
2014-07-28,40.0,287
2014-07-29,23.0,220
2014-07-30,38.0,205
2014-07-31,61.0,193
2014-08-01,28.0,223
2014-08-02,54.0,201
