"平均气压, x; 就诊人数, x","平均气压, y","就诊人数, y"
323a18,5a7bad,189182
2013-11-01,1025.8,208
2013-11-02,1024.1,227
2013-11-03,1027.4,152
2013-11-04,1028.6,262
2013-11-05,1021.9,241
2013-11-06,1020.1,222
2013-11-07,1022.0,227
2013-11-08,1020.5,212
2013-11-09,1024.5,248
2013-11-10,1029.9,180
2013-11-11,1028.2,268
2013-11-12,1025.5,250
2013-11-13,1021.6,224
2013-11-14,1021.8,231
2013-11-15,1018.9,233
2013-11-16,1022.3,272
2013-11-17,1026.5,186
2013-11-18,1026.9,273
2013-11-19,1024.6,242
2013-11-20,1024.2,231
2013-11-21,1027.2,230
2013-11-22,1025.1,213
2013-11-23,1020.4,229
2013-11-24,1016.2,133
2013-11-25,1020.5,290
2013-11-26,1020.7,239
2013-11-27,1030.1,241
2013-11-28,1028.6,253
2013-11-29,1021.9,223
2013-11-30,1024.4,283
2013-12-01,1024.2,215
2013-12-02,1020.0,316
2013-12-03,1023.3,320
2013-12-04,1020.0,291
2013-12-05,1023.3,264
2013-12-06,1021.4,297
2013-12-07,1020.2,336
2013-12-08,1022.1,203
2013-12-09,1024.5,293
2013-12-10,1022.3,315
2013-12-11,1021.0,307
2013-12-12,1023.3,290
2013-12-13,1027.0,281
2013-12-14,1030.6,324
2013-12-15,1033.2,225
2013-12-16,1029.9,397
2013-12-17,1031.4,357
2013-12-18,1031.9,307
2013-12-19,1032.3,284
2013-12-20,1036.1,296
2013-12-21,1036.0,285
2013-12-22,1033.0,202
2013-12-23,1034.1,332
2013-12-24,1033.2,333
2013-12-25,1029.5,341
2013-12-26,1035.2,353
2013-12-27,1030.0,317
2013-12-28,1028.2,354
2013-12-29,1021.7,264
2013-12-30,1018.2,452
2013-12-31,1016.4,403
2014-01-01,1018.4,364
2014-01-02,1018.3,361
2014-01-03,1023.0,460
2014-01-04,1022.1,400
2014-01-05,1025.4,310
2014-01-06,1024.6,410
2014-01-07,1027.0,385
2014-01-08,1033.3,408
2014-01-09,1032.6,362
2014-01-10,1032.7,401
2014-01-11,1031.7,441
2014-01-12,1036.6,325
2014-01-13,1032.8,427
2014-01-14,1035.2,424
2014-01-15,1031.0,398
2014-01-16,1028.4,363
2014-01-17,1033.0,351
2014-01-18,1033.1,322
2014-01-19,1026.1,233
2014-01-20,1032.5,344
2014-01-21,1033.1,301
2014-01-22,1023.7,318
2014-01-23,1015.4,287
2014-01-24,1017.2,303
2014-01-25,1028.8,224
2014-01-26,1026.7,260
2014-01-27,1021.3,329
2014-01-28,1026.1,270
2014-01-29,1014.0,230
2014-01-30,1018.2,164
2014-01-31,1016.2,118
2014-02-01,1014.9,139
2014-02-02,1015.5,163
2014-02-03,1028.3,174
2014-02-04,1029.8,160
2014-02-05,1028.5,159
2014-02-06,1028.5,146
2014-02-07,1025.6,203
2014-02-08,1028.9,210
2014-02-09,1036.2,135
2014-02-10,1034.3,204
2014-02-11,1030.1,174
2014-02-12,1034.4,166
2014-02-13,1033.1,205
2014-02-14,1027.6,131
2014-02-15,1025.6,143
2014-02-16,1027.8,93
2014-02-17,1033.1,182
2014-02-18,1030.1,171
2014-02-19,1029.4,159
2014-02-20,1030.4,159
2014-02-21,1028.8,166
2014-02-22,1029.7,158
2014-02-23,1029.1,124
2014-02-24,1027.0,208
2014-02-25,1025.5,202
2014-02-26,1023.1,169
2014-02-27,1027.8,185
2014-02-28,1025.2,171
2014-03-01,1024.9,181
2014-03-02,1023.7,136
2014-03-03,1021.8,208
2014-03-04,1027.1,174
2014-03-05,1028.7,176
2014-03-06,1030.6,191
2014-03-07,1028.9,183
2014-03-08,1024.0,227
2014-03-09,1025.5,154
2014-03-10,1022.2,226
2014-03-11,1016.9,215
2014-03-12,1024.7,168
2014-03-13,1022.9,184
2014-03-14,1019.8,204
2014-03-15,1013.1,207
2014-03-16,1012.6,148
2014-03-17,1014.1,219
2014-03-18,1020.9,203
2014-03-19,1023.6,169
2014-03-20,1027.8,219
2014-03-21,1022.3,195
2014-03-22,1021.2,184
2014-03-23,1021.9,125
2014-03-24,1013.9,220
2014-03-25,1011.2,235
2014-03-26,1012.5,167
2014-03-27,1010.4,175
2014-03-28,1008.1,185
2014-03-29,1014.4,207
2014-03-30,1017.3,127
2014-03-31,1016.4,193
2014-04-01,1013.9,186
2014-04-02,1016.3,206
2014-04-03,1022.9,178
2014-04-04,1015.3,206
2014-04-05,1024.0,131
2014-04-06,1019.7,144
2014-04-07,1014.7,242
2014-04-08,1014.5,230
2014-04-09,1013.8,218
2014-04-10,1018.5,193
2014-04-11,1016.8,198
2014-04-12,1017.1,202
2014-04-13,1019.1,128
2014-04-14,1018.8,257
2014-04-15,1017.0,235
2014-04-16,1011.5,199
2014-04-17,1014.1,202
2014-04-18,1018.5,214
2014-04-19,1019.2,225
2014-04-20,1017.2,161
2014-04-21,1017.5,227
2014-04-22,1015.5,212
2014-04-23,1013.6,190
2014-04-24,1015.9,238
