"NO2, x; 人数, x","NO2, y","人数, y"
86b379,50fb2e,99a2a3
2013-11-01,79,208
2013-11-02,74,227
2013-11-03,47,152
2013-11-04,55,262
2013-11-05,50,241
2013-11-06,50,222
2013-11-07,60,227
2013-11-08,79,212
2013-11-09,73,248
2013-11-10,48,180
2013-11-11,60,268
2013-11-12,70,250
2013-11-13,77,224
2013-11-14,71,231
2013-11-15,56,233
2013-11-16,51,272
2013-11-17,50,186
2013-11-18,55,273
2013-11-19,65,242
2013-11-20,101,231
2013-11-21,127,230
2013-11-22,105,213
2013-11-23,56,229
2013-11-24,45,133
2013-11-25,32,290
2013-11-26,44,239
2013-11-27,26,241
2013-11-28,41,253
2013-11-29,46,223
2013-11-30,66,283
2013-12-01,60,215
2013-12-02,74,316
2013-12-03,102,320
2013-12-04,72,291
2013-12-05,70,264
2013-12-06,67,297
2013-12-07,85,336
2013-12-08,85,203
2013-12-09,44,293
2013-12-10,61,315
2013-12-11,45,307
2013-12-12,55,290
2013-12-13,82,281
2013-12-14,115,324
2013-12-15,132,225
2013-12-16,134,397
2013-12-17,105,357
2013-12-18,45,307
2013-12-19,75,284
2013-12-20,87,296
2013-12-21,81,285
2013-12-22,83,202
2013-12-23,100,332
2013-12-24,129,333
2013-12-25,120,341
2013-12-26,52,353
2013-12-27,64,317
2013-12-28,74,354
2013-12-29,60,264
2013-12-30,76,452
2013-12-31,69,403
2014-01-01,73,364
2014-01-02,83,361
2014-01-03,93,460
2014-01-04,62,400
2014-01-05,80,310
2014-01-06,117,410
2014-01-07,109,385
2014-01-08,55,408
2014-01-09,58,362
2014-01-10,62,401
2014-01-11,69,441
2014-01-12,83,325
2014-01-13,64,427
2014-01-14,73,424
2014-01-15,70,398
2014-01-16,65,363
2014-01-17,77,351
2014-01-18,75,322
2014-01-19,87,233
2014-01-20,52,344
2014-01-21,50,301
2014-01-22,48,318
2014-01-23,77,287
2014-01-24,106,303
2014-01-25,63,224
2014-01-26,51,260
2014-01-27,44,329
2014-01-28,55,270
2014-01-29,28,230
2014-01-30,59,164
2014-01-31,67,118
2014-02-01,37,139
2014-02-02,47,163
2014-02-03,33,174
2014-02-04,42,160
2014-02-05,37,159
2014-02-06,47,146
2014-02-07,49,203
2014-02-08,46,210
2014-02-09,29,135
2014-02-10,38,204
2014-02-11,55,174
2014-02-12,85,166
2014-02-13,78,205
2014-02-14,57,131
2014-02-15,42,143
2014-02-16,75,93
2014-02-17,63,182
2014-02-18,68,171
2014-02-19,92,159
2014-02-20,77,159
2014-02-21,59,166
2014-02-22,83,158
2014-02-23,91,124
2014-02-24,106,208
2014-02-25,95,202
2014-02-26,61,169
2014-02-27,46,185
2014-02-28,86,171
2014-03-01,74,181
2014-03-02,69,136
2014-03-03,50,208
2014-03-04,56,174
2014-03-05,86,176
2014-03-06,84,191
2014-03-07,63,183
2014-03-08,61,227
2014-03-09,101,154
2014-03-10,63,226
2014-03-11,55,215
2014-03-12,66,168
2014-03-13,65,184
2014-03-14,50,204
2014-03-15,34,207
2014-03-16,43,148
2014-03-17,47,219
2014-03-18,48,203
2014-03-19,44,169
2014-03-20,30,219
2014-03-21,31,195
2014-03-22,31,184
2014-03-23,66,125
2014-03-24,75,220
2014-03-25,84,235
2014-03-26,57,167
2014-03-27,31,175
2014-03-28,48,185
2014-03-29,59,207
2014-03-30,63,127
2014-03-31,74,193
2014-04-01,49,186
2014-04-02,44,206
2014-04-03,51,178
2014-04-04,56,206
2014-04-05,38,131
2014-04-06,49,144
2014-04-07,52,242
2014-04-08,61,230
2014-04-09,35,218
2014-04-10,70,193
2014-04-11,77,198
2014-04-12,74,202
2014-04-13,59,128
2014-04-14,23,257
2014-04-15,63,235
2014-04-16,73,199
2014-04-17,53,202
2014-04-18,62,214
2014-04-19,72,225
2014-04-20,76,161
2014-04-21,60,227
2014-04-22,38,212
2014-04-23,18,190
2014-04-24,35,238
2014-04-25,37,223
2014-04-26,34,207
2014-04-27,13,140
2014-04-28,31,269
2014-04-29,68,236
2014-04-30,57,196
2014-05-01,26,152
2014-05-02,21,131
2014-05-03,27,154
2014-05-04,20,207
2014-05-05,39,266
2014-05-06,19,211
2014-05-07,28,179
2014-05-08,87,224
2014-05-09,51,186
2014-05-10,63,203
2014-05-11,38,108
2014-05-12,35,215
2014-05-13,26,210
2014-05-14,38,226
2014-05-15,42,221
2014-05-16,39,193
2014-05-17,83,184
2014-05-18,54,135
2014-05-19,35,234
2014-05-20,38,213
2014-05-21,47,192
2014-05-22,42,180
2014-05-23,33,196
2014-05-24,23,223
2014-05-25,38,157
2014-05-26,45,214
2014-05-27,42,215
2014-05-28,54,186
2014-05-29,37,183
2014-05-30,43,201
2014-05-31,63,138
2014-06-01,38,141
2014-06-02,27,217
2014-06-03,39,232
2014-06-04,60,216
2014-06-05,55,223
2014-06-06,44,165
2014-06-07,18,204
2014-06-08,25,169
2014-06-09,46,236
2014-06-10,54,215
2014-06-11,46,174
2014-06-12,41,194
2014-06-13,68,208
2014-06-14,56,219
2014-06-15,25,171
