"pm2.5, x; 人数, x","pm2.5, y","人数, y"
45d7ba,161701,e2fea1
2013-11-01,135.0,208
2013-11-02,162.0,227
2013-11-03,100.0,152
2013-11-04,63.0,262
2013-11-05,77.0,241
2013-11-06,123.0,222
2013-11-07,53.0,227
2013-11-08,84.0,212
2013-11-09,154.0,248
2013-11-10,82.0,180
2013-11-11,58.0,268
2013-11-12,71.0,250
2013-11-13,108.0,224
2013-11-14,129.0,231
2013-11-15,95.0,233
2013-11-16,86.0,272
2013-11-17,43.0,186
2013-11-18,51.0,273
2013-11-19,71.0,242
2013-11-20,159.0,231
2013-11-21,237.0,230
2013-11-22,203.0,213
2013-11-23,118.0,229
2013-11-24,101.0,133
2013-11-25,45.0,290
2013-11-26,55.0,239
2013-11-27,21.0,241
2013-11-28,39.0,253
2013-11-29,52.0,223
2013-11-30,112.0,283
2013-12-01,100.0,215
2013-12-02,134.0,316
2013-12-03,205.0,320
2013-12-04,107.0,291
2013-12-05,166.0,264
2013-12-06,96.0,297
2013-12-07,203.0,336
2013-12-08,286.0,203
2013-12-09,96.0,293
2013-12-10,91.0,315
2013-12-11,46.0,307
2013-12-12,67.0,290
2013-12-13,72.0,281
2013-12-14,201.0,324
2013-12-15,279.0,225
2013-12-16,275.0,397
2013-12-17,215.0,357
2013-12-18,67.0,307
2013-12-19,142.0,284
2013-12-20,149.0,296
2013-12-21,86.0,285
2013-12-22,117.0,202
2013-12-23,199.0,332
2013-12-24,303.0,333
2013-12-25,321.0,341
2013-12-26,131.0,353
2013-12-27,70.0,317
2013-12-28,100.0,354
2013-12-29,73.0,264
2013-12-30,82.0,452
2013-12-31,75.0,403
2014-01-01,71.0,364
2014-01-02,100.0,361
2014-01-03,158.0,460
2014-01-04,86.0,400
2014-01-05,194.0,310
2014-01-06,375.0,410
2014-01-07,398.0,385
2014-01-08,93.0,408
2014-01-09,89.0,362
2014-01-10,148.0,401
2014-01-11,155.0,441
2014-01-12,188.0,325
2014-01-13,102.0,427
2014-01-14,181.0,424
2014-01-15,196.0,398
2014-01-16,177.0,363
2014-01-17,281.0,351
2014-01-18,144.0,322
2014-01-19,202.0,233
2014-01-20,89.0,344
2014-01-21,32.0,301
2014-01-22,59.0,318
2014-01-23,115.0,287
2014-01-24,171.0,303
2014-01-25,109.0,224
2014-01-26,53.0,260
2014-01-27,67.0,329
2014-01-28,88.0,270
2014-01-29,86.0,230
2014-01-30,264.0,164
2014-01-31,444.0,118
2014-02-01,239.0,139
2014-02-02,197.0,163
2014-02-03,37.0,174
2014-02-04,43.0,160
2014-02-05,65.0,159
2014-02-06,91.0,146
2014-02-07,88.0,203
2014-02-08,82.0,210
2014-02-09,50.0,135
2014-02-10,43.0,204
2014-02-11,83.0,174
2014-02-12,174.0,166
2014-02-13,150.0,205
2014-02-14,142.0,131
