"平均气温, x; 就诊人数, x","平均气温, y","就诊人数, y"
b0659c,9ed0cf,952490
2013-11-01,12.5,208
2013-11-02,13.0,227
2013-11-03,12.5,152
2013-11-04,12.5,262
2013-11-05,15.0,241
2013-11-06,11.0,222
2013-11-07,12.5,227
2013-11-08,11.0,212
2013-11-09,6.5,248
2013-11-10,7.0,180
2013-11-11,7.0,268
2013-11-12,9.0,250
2013-11-13,10.5,224
2013-11-14,10.5,231
2013-11-15,10.0,233
2013-11-16,6.0,272
2013-11-17,5.0,186
2013-11-18,4.0,273
2013-11-19,6.0,242
2013-11-20,7.0,231
2013-11-21,8.0,230
2013-11-22,7.5,213
2013-11-23,4.5,229
2013-11-24,4.0,133
2013-11-25,4.5,290
2013-11-26,0.5,239
2013-11-27,-1.5,241
2013-11-28,3.5,253
2013-11-29,5.5,223
2013-11-30,5.0,283
2013-12-01,8.0,215
2013-12-02,8.0,316
2013-12-03,8.5,320
2013-12-04,7.0,291
2013-12-05,6.5,264
2013-12-06,8.0,297
2013-12-07,8.5,336
2013-12-08,2.0,203
2013-12-09,3.0,293
2013-12-10,2.0,315
2013-12-11,2.5,307
2013-12-12,1.0,290
2013-12-13,3.0,281
2013-12-14,2.0,324
2013-12-15,2.0,225
2013-12-16,2.5,397
2013-12-17,0.0,357
2013-12-18,-1.5,307
2013-12-19,-1.5,284
2013-12-20,-2.0,296
2013-12-21,-0.5,285
2013-12-22,0.5,202
2013-12-23,0.0,332
2013-12-24,2.5,333
2013-12-25,-2.5,341
2013-12-26,-2.0,353
2013-12-27,-2.0,317
2013-12-28,0.5,354
2013-12-29,3.0,264
2013-12-30,5.0,452
2013-12-31,7.0,403
2014-01-01,6.5,364
2014-01-02,3.0,361
2014-01-03,3.0,460
2014-01-04,3.5,400
2014-01-05,3.0,310
2014-01-06,3.0,410
2014-01-07,-0.5,385
2014-01-08,-1.0,408
2014-01-09,1.0,362
2014-01-10,2.0,401
2014-01-11,-0.5,441
2014-01-12,-1.0,325
2014-01-13,0.5,427
2014-01-14,2.5,424
2014-01-15,3.5,398
2014-01-16,0.5,363
2014-01-17,1.5,351
2014-01-18,4.5,322
2014-01-19,2.5,233
2014-01-20,-0.5,344
2014-01-21,3.5,301
2014-01-22,7.0,318
2014-01-23,7.0,287
2014-01-24,3.5,303
2014-01-25,3.0,224
2014-01-26,3.0,260
2014-01-27,6.5,329
2014-01-28,8.0,270
2014-01-29,7.5,230
2014-01-30,8.5,164
2014-01-31,8.0,118
2014-02-01,4.0,139
2014-02-02,4.0,163
2014-02-03,-1.0,174
2014-02-04,0.0,160
2014-02-05,-1.5,159
2014-02-06,-1.5,146
2014-02-07,-3.0,203
2014-02-08,-4.0,210
2014-02-09,-6.0,135
2014-02-10,-4.0,204
2014-02-11,-3.5,174
2014-02-12,-1.0,166
2014-02-13,1.5,205
2014-02-14,3.0,131
2014-02-15,4.0,143
2014-02-16,4.5,93
2014-02-17,0.5,182
2014-02-18,1.0,171
2014-02-19,2.5,159
2014-02-20,6.0,159
2014-02-21,8.0,166
2014-02-22,8.5,158
2014-02-23,9.5,124
2014-02-24,10.5,208
2014-02-25,11.5,202
2014-02-26,7.5,169
2014-02-27,4.0,185
2014-02-28,6.0,171
2014-03-01,7.5,181
2014-03-02,9.0,136
2014-03-03,8.0,208
2014-03-04,3.5,174
2014-03-05,4.5,176
2014-03-06,6.0,191
2014-03-07,8.5,183
2014-03-08,7.5,227
2014-03-09,11.0,154
2014-03-10,13.0,226
2014-03-11,9.5,215
2014-03-12,6.5,168
2014-03-13,9.0,184
2014-03-14,16.0,204
2014-03-15,18.5,207
2014-03-16,20.5,148
2014-03-17,12.0,219
2014-03-18,10.0,203
2014-03-19,8.5,169
2014-03-20,13.0,219
2014-03-21,17.5,195
2014-03-22,17.5,184
2014-03-23,18.5,125
2014-03-24,19.5,220
2014-03-25,20.0,235
2014-03-26,22.0,167
2014-03-27,21.5,175
2014-03-28,18.0,185
2014-03-29,17.0,207
2014-03-30,19.0,127
2014-03-31,19.0,193
2014-04-01,19.5,186
2014-04-02,15.0,206
2014-04-03,15.5,178
2014-04-04,12.5,206
2014-04-05,15.0,131
2014-04-06,18.5,144
2014-04-07,19.5,242
2014-04-08,23.5,230
2014-04-09,18.5,218
2014-04-10,16.0,193
2014-04-11,16.0,198
2014-04-12,16.5,202
2014-04-13,19.5,128
2014-04-14,20.0,257
2014-04-15,19.0,235
2014-04-16,19.5,199
2014-04-17,17.5,202
2014-04-18,15.0,214
2014-04-19,17.0,225
2014-04-20,17.0,161
2014-04-21,18.5,227
2014-04-22,21.5,212
2014-04-23,21.5,190
2014-04-24,20.5,238
2014-04-25,17.0,223
2014-04-26,15.5,207
2014-04-27,16.0,140
2014-04-28,18.0,269
2014-04-29,21.0,236
2014-04-30,23.5,196
2014-05-01,20.0,152
2014-05-02,19.5,131
2014-05-03,16.5,154
2014-05-04,15.5,207
2014-05-05,21.0,266
2014-05-06,20.0,211
2014-05-07,21.5,179
2014-05-08,23.5,224
2014-05-09,19.5,186
2014-05-10,15.5,203
2014-05-11,20.5,108
2014-05-12,25.5,215
2014-05-13,21.5,210
2014-05-14,21.5,226
2014-05-15,25.0,221
2014-05-16,23.0,193
2014-05-17,25.0,184
2014-05-18,25.5,135
2014-05-19,26.5,234
2014-05-20,27.5,213
2014-05-21,29.0,192
2014-05-22,28.0,180
2014-05-23,23.5,196
2014-05-24,25.5,223
2014-05-25,25.0,157
2014-05-26,30.0,214
2014-05-27,29.0,215
2014-05-28,32.0,186
2014-05-29,33.5,183
2014-05-30,32.5,201
2014-05-31,26.5,138
2014-06-01,19.0,141
2014-06-02,21.0,217
2014-06-03,23.0,232
2014-06-04,27.5,216
2014-06-05,29.0,223
2014-06-06,24.5,165
2014-06-07,27.5,204
2014-06-08,27.5,169
2014-06-09,25.5,236
2014-06-10,24.0,215
2014-06-11,25.0,174
2014-06-12,28.0,194
2014-06-13,29.0,208
2014-06-14,29.0,219
2014-06-15,24.5,171
2014-06-16,25.5,241
2014-06-17,26.5,234
2014-06-18,23.5,198
2014-06-19,20.5,191
2014-06-20,22.5,193
2014-06-21,23.5,225
2014-06-22,25.0,147
2014-06-23,26.5,248
2014-06-24,26.0,227
2014-06-25,27.0,197
2014-06-26,27.0,212
2014-06-27,28.0,201
2014-06-28,28.0,201
2014-06-29,26.0,148
2014-06-30,27.0,196
2014-07-01,27.5,245
2014-07-02,28.5,223
2014-07-03,25.5,214
2014-07-04,27.0,193
2014-07-05,26.5,218
2014-07-06,28.5,125
2014-07-07,30.5,245
2014-07-08,28.5,227
2014-07-09,26.0,212
2014-07-10,28.5,186
2014-07-11,28.0,196
2014-07-12,27.5,195
2014-07-13,29.5,156
2014-07-14,27.5,239
2014-07-15,29.0,244
2014-07-16,30.5,193
2014-07-17,31.0,181
2014-07-18,30.0,248
2014-07-19,33.0,174
2014-07-20,33.5,140
2014-07-21,28.5,195
2014-07-22,25.5,164
2014-07-23,25.0,160
2014-07-24,22.0,160
2014-07-25,25.0,159
2014-07-26,27.0,142
2014-07-27,28.5,153
2014-07-28,29.0,287
2014-07-29,26.0,220
2014-07-30,26.5,205
2014-07-31,27.5,193
2014-08-01,28.5,223
2014-08-02,29.0,201
2014-08-03,30.0,167
2014-08-04,26.5,246
2014-08-05,23.5,203
2014-08-06,25.0,208
2014-08-07,25.0,246
2014-08-08,26.0,243
2014-08-09,26.0,207
2014-08-10,26.5,167
2014-08-11,26.5,227
2014-08-12,25.0,235
2014-08-13,25.0,231
2014-08-14,26.5,214
2014-08-15,28.0,231
2014-08-16,25.0,206
2014-08-17,23.5,133
2014-08-18,25.0,277
2014-08-19,26.0,242
2014-08-20,27.5,210
2014-08-21,27.5,198
2014-08-22,26.5,239
2014-08-23,23.5,227
2014-08-24,24.5,160
2014-08-25,25.5,264
2014-08-26,26.5,253
2014-08-27,26.0,216
2014-08-28,26.0,220
2014-08-29,25.0,219
2014-08-30,24.0,179
2014-08-31,24.0,163
2014-09-01,23.0,223
2014-09-02,21.5,205
2014-09-03,23.0,180
2014-09-04,25.0,203
2014-09-05,25.5,222
2014-09-06,26.0,258
2014-09-07,25.5,182
2014-09-08,24.0,178
2014-09-09,24.5,223
2014-09-10,23.0,245
2014-09-11,22.0,270
2014-09-12,21.5,233
2014-09-13,21.0,242
2014-09-14,18.5,156
2014-09-15,18.0,240
2014-09-16,15.5,196
2014-09-17,18.5,209
2014-09-18,19.5,217
2014-09-19,22.5,244
2014-09-20,22.5,260
2014-09-21,23.5,169
2014-09-22,22.5,314
2014-09-23,21.0,277
2014-09-24,21.0,238
2014-09-25,23.5,247
2014-09-26,22.5,227
2014-09-27,20.5,262
2014-09-28,21.0,152
2014-09-29,17.0,281
2014-09-30,16.5,243
2014-10-01,19.5,161
2014-10-02,18.5,184
2014-10-03,20.0,167
2014-10-04,18.0,165
2014-10-05,15.5,165
2014-10-06,18.5,262
2014-10-07,20.0,230
2014-10-08,20.0,207
2014-10-09,20.0,209
2014-10-10,20.0,188
2014-10-11,17.0,197
2014-10-12,13.5,136
2014-10-13,13.0,211
2014-10-14,17.5,253
2014-10-15,17.0,202
2014-10-16,21.0,177
2014-10-17,21.0,186
2014-10-18,20.0,252
2014-10-19,17.0,140
2014-10-20,14.5,247
2014-10-21,15.0,231
2014-10-22,19.5,207
2014-10-23,22.0,216
2014-10-24,24.0,200
2014-10-25,17.5,206
2014-10-26,12.0,127
2014-10-27,12.5,220
2014-10-28,14.5,221
2014-10-29,15.0,227
2014-10-30,14.0,217
2014-10-31,13.0,216
2014-11-01,10.5,245
2014-11-02,11.0,167
2014-11-03,13.5,270
2014-11-04,14.0,278
2014-11-05,10.0,211
2014-11-06,8.0,242
2014-11-07,9.5,211
2014-11-08,9.5,257
2014-11-09,9.5,170
2014-11-10,12.0,300
2014-11-11,6.5,240
2014-11-12,6.0,246
2014-11-13,7.5,256
2014-11-14,7.0,259
2014-11-15,8.0,331
2014-11-16,6.5,210
2014-11-17,7.5,336
2014-11-18,9.5,340
2014-11-19,12.5,300
2014-11-20,11.5,306
2014-11-21,10.5,312
2014-11-22,8.0,325
2014-11-23,9.0,216
2014-11-24,7.5,347
2014-11-25,9.5,364
2014-11-26,8.5,321
2014-11-27,8.0,337
2014-11-28,6.5,309
2014-11-29,5.5,306
2014-11-30,-1.5,241
2014-12-01,-2.0,338
2014-12-02,-0.5,335
2014-12-03,-1.0,342
2014-12-04,0.5,330
2014-12-05,1.5,329
2014-12-06,3.0,328
2014-12-07,1.0,250
2014-12-08,2.5,392
2014-12-09,3.5,353
2014-12-10,0.0,352
2014-12-11,0.5,356
2014-12-12,1.0,356
2014-12-13,3.0,373
2014-12-14,3.0,327
2014-12-15,-1.5,416
2014-12-16,0.5,405
2014-12-17,4.5,386
2014-12-18,4.5,402
2014-12-19,-1.5,412
2014-12-20,-1.5,352
2014-12-21,2.5,346
2014-12-22,5.5,479
2014-12-23,1.5,433
2014-12-24,1.5,391
2014-12-25,2.5,428
2014-12-26,4.5,430
2014-12-27,5.0,443
2014-12-28,6.0,328
2014-12-29,7.0,442
2014-12-30,-0.5,457
2014-12-31,-1.0,430
2015-01-01,1.5,321
2015-01-02,6.0,275
2015-01-03,8.0,322
2015-01-04,5.0,408
2015-01-05,0.0,392
2015-01-06,1.5,346
2015-01-07,3.5,322
2015-01-08,3.5,340
2015-01-09,5.0,370
2015-01-10,4.5,370
2015-01-11,3.0,285
2015-01-12,3.0,350
2015-01-13,3.5,400
2015-01-14,4.0,326
2015-01-15,3.0,348
2015-01-16,1.0,322
2015-01-17,5.5,313
2015-01-18,4.0,273
2015-01-19,5.5,373
2015-01-20,2.5,346
2015-01-21,0.5,307
2015-01-22,5.5,296
2015-01-23,3.5,302
2015-01-24,1.5,299
2015-01-25,2.0,227
2015-01-26,-1.0,340
2015-01-27,-1.5,310
2015-01-28,-1.0,275
2015-01-29,-1.5,286
2015-01-30,-1.5,264
2015-01-31,-0.5,312
2015-02-01,1.0,206
2015-02-02,1.5,310
2015-02-03,0.5,352
2015-02-04,1.0,293
2015-02-05,3.5,276
2015-02-06,1.5,276
2015-02-07,-2.5,291
2015-02-08,1.0,187
2015-02-09,1.0,266
2015-02-10,5.0,195
2015-02-11,5.0,220
2015-02-12,5.0,216
2015-02-13,12.0,236
2015-02-14,10.0,197
2015-02-15,7.0,194
2015-02-16,6.0,226
2015-02-17,5.0,201
2015-02-18,4.0,112
2015-02-19,4.5,79
2015-02-20,6.5,106
2015-02-21,1.5,145
2015-02-22,3.0,127
