"Temperature, x; CO2, x","Temperature, y","CO2, y"
0408c3,281e6d,6f70df
2018-01-06 00:00:26,21.0,423
2018-01-06 00:00:38,21.0,422
2018-01-06 00:01:14,21.0,424
2018-01-06 00:01:32,21.0,423
2018-01-06 00:01:50,21.0,420
2018-01-06 00:02:32,21.0,420
2018-01-06 00:02:50,21.0,420
2018-01-06 00:03:08,21.0,421
2018-01-06 00:03:14,21.0,421
2018-01-06 00:03:32,21.0,421
2018-01-06 00:03:44,21.0,421
2018-01-06 00:04:26,21.0,420
2018-01-06 00:04:38,21.0,421
2018-01-06 00:05:02,21.0,422
2018-01-06 00:05:14,21.0,423
2018-01-06 00:05:44,21.0,423
2018-01-06 00:06:26,21.0,424
2018-01-06 00:06:38,21.0,421
2018-01-06 00:06:56,21.0,417
2018-01-06 00:07:02,21.0,418
2018-01-06 00:07:38,21.1,420
2018-01-06 00:08:20,21.1,421
2018-01-06 00:09:08,21.1,420
2018-01-06 00:09:20,21.1,421
2018-01-06 00:09:50,21.1,422
2018-01-06 00:10:32,21.0,422
2018-01-06 00:11:02,21.1,423
2018-01-06 00:11:26,21.0,421
2018-01-06 00:11:50,21.0,418
2018-01-06 00:12:08,21.1,417
2018-01-06 00:12:32,21.0,418
2018-01-06 00:13:02,21.0,419
2018-01-06 00:13:38,21.0,418
2018-01-06 00:14:32,21.0,418
2018-01-06 00:16:08,21.0,421
2018-01-06 00:16:32,21.1,418
2018-01-06 00:16:38,21.1,417
2018-01-06 00:16:44,21.1,416
2018-01-06 00:16:50,21.1,416
2018-01-06 00:16:56,21.1,416
2018-01-06 00:17:14,21.1,417
2018-01-06 00:17:20,21.0,416
2018-01-06 00:17:26,21.1,416
2018-01-06 00:17:32,21.1,417
2018-01-06 00:17:38,21.1,417
2018-01-06 00:18:08,21.1,417
2018-01-06 00:18:38,21.1,417
2018-01-06 00:18:50,21.1,417
2018-01-06 00:19:32,21.1,418
2018-01-06 00:19:56,21.1,419
2018-01-06 00:20:02,21.1,418
2018-01-06 00:20:26,21.1,418
2018-01-06 00:20:44,21.1,419
2018-01-06 00:21:08,21.1,420
2018-01-06 00:21:20,21.1,417
2018-01-06 00:21:26,21.1,415
2018-01-06 00:21:50,21.1,415
2018-01-06 00:22:02,21.1,416
2018-01-06 00:22:44,21.1,417
2018-01-06 00:24:39,21.0,420
2018-01-06 00:25:21,21.1,419
2018-01-06 00:25:45,21.1,420
2018-01-06 00:26:03,21.1,419
2018-01-06 00:26:21,21.1,416
2018-01-06 00:26:39,21.1,415
2018-01-06 00:26:51,21.1,416
2018-01-06 00:27:09,21.0,418
2018-01-06 00:27:15,21.1,417
2018-01-06 00:27:21,21.1,417
2018-01-06 00:27:39,21.1,416
2018-01-06 00:27:45,21.1,416
2018-01-06 00:28:33,21.1,417
2018-01-06 00:28:39,21.1,418
2018-01-06 00:29:39,21.1,418
2018-01-06 00:29:57,21.1,417
2018-01-06 00:30:03,21.1,417
2018-01-06 00:30:09,21.1,417
2018-01-06 00:30:15,21.1,417
2018-01-06 00:30:33,21.1,419
2018-01-06 00:31:03,21.1,417
2018-01-06 00:31:09,21.1,415
2018-01-06 00:32:03,21.1,417
2018-01-06 00:32:27,21.1,419
2018-01-06 00:32:39,21.1,420
2018-01-06 00:32:51,21.1,421
2018-01-06 00:33:33,21.1,420
2018-01-06 00:34:09,21.1,419
2018-01-06 00:34:27,21.1,418
2018-01-06 00:34:33,21.1,418
2018-01-06 00:34:39,21.1,418
2018-01-06 00:35:03,21.1,420
2018-01-06 00:35:15,21.1,421
2018-01-06 00:35:21,21.1,424
2018-01-06 00:35:45,21.1,424
2018-01-06 00:35:51,21.1,422
2018-01-06 00:35:57,21.1,419
2018-01-06 00:36:09,21.1,416
2018-01-06 00:36:33,21.1,417
2018-01-06 00:36:51,21.1,418
2018-01-06 00:37:09,21.1,418
2018-01-06 00:37:21,21.1,418
2018-01-06 00:37:57,21.1,418
2018-01-06 00:38:03,21.1,418
2018-01-06 00:38:09,21.1,418
2018-01-06 00:38:15,21.1,418
2018-01-06 00:38:27,21.1,418
2018-01-06 00:38:33,21.1,418
2018-01-06 00:38:45,21.1,417
2018-01-06 00:38:57,21.1,417
2018-01-06 00:39:09,21.1,417
2018-01-06 00:39:21,21.1,418
2018-01-06 00:39:39,21.1,417
2018-01-06 00:39:51,21.1,418
2018-01-06 00:39:57,21.1,418
2018-01-06 00:40:09,21.1,419
2018-01-06 00:40:21,21.1,420
2018-01-06 00:40:33,21.1,420
2018-01-06 00:40:51,21.1,419
2018-01-06 00:41:03,21.1,415
2018-01-06 00:41:33,21.1,416
2018-01-06 00:41:51,21.1,415
2018-01-06 00:41:57,21.1,415
2018-01-06 00:42:33,21.1,416
2018-01-06 00:42:45,21.1,417
2018-01-06 00:42:51,21.1,417
2018-01-06 00:42:57,21.1,418
2018-01-06 00:43:09,21.1,418
2018-01-06 00:43:15,21.1,418
2018-01-06 00:43:21,21.1,419
2018-01-06 00:43:39,21.1,419
2018-01-06 00:43:51,21.1,418
2018-01-06 00:43:57,21.1,419
2018-01-06 00:44:09,21.0,419
2018-01-06 00:44:21,21.1,419
2018-01-06 00:44:57,21.1,419
2018-01-06 00:45:15,21.1,421
2018-01-06 00:45:33,21.1,421
2018-01-06 00:45:39,21.1,418
2018-01-06 00:45:51,21.1,413
2018-01-06 00:46:15,21.1,414
2018-01-06 00:46:33,21.1,415
2018-01-06 00:46:39,21.1,416
2018-01-06 00:47:15,21.1,416
2018-01-06 00:47:27,21.1,417
2018-01-06 00:47:33,21.1,417
2018-01-06 00:47:45,21.1,417
2018-01-06 00:48:03,21.1,417
2018-01-06 00:48:21,21.1,418
2018-01-06 00:48:51,21.1,417
2018-01-06 00:48:57,21.1,417
2018-01-06 00:49:09,21.1,417
2018-01-06 00:49:39,21.1,417
2018-01-06 00:49:45,21.1,417
2018-01-06 00:50:21,21.1,420
2018-01-06 00:50:45,21.1,417
2018-01-06 00:50:51,21.1,416
2018-01-06 00:51:09,21.1,416
2018-01-06 00:51:15,21.1,417
2018-01-06 00:51:27,21.1,417
2018-01-06 00:51:33,21.1,418
2018-01-06 00:51:45,21.1,417
2018-01-06 00:52:03,21.1,417
2018-01-06 00:52:27,21.1,417
2018-01-06 00:52:57,21.1,417
2018-01-06 00:53:03,21.1,417
2018-01-06 00:53:15,21.1,417
2018-01-06 00:53:27,21.1,417
2018-01-06 00:53:39,21.1,417
2018-01-06 00:54:45,21.1,417
2018-01-06 00:54:57,21.1,419
2018-01-06 00:55:15,21.1,420
2018-01-06 00:55:33,21.1,418
2018-01-06 00:55:51,21.1,417
2018-01-06 00:56:03,21.1,417
2018-01-06 00:56:21,21.1,417
2018-01-06 00:56:33,21.1,417
2018-01-06 00:56:51,21.1,418
2018-01-06 00:56:57,21.1,418
2018-01-06 00:57:09,21.1,418
2018-01-06 00:57:21,21.1,418
2018-01-06 00:57:33,21.1,418
2018-01-06 00:57:51,21.1,418
2018-01-06 00:58:21,21.1,418
2018-01-06 00:58:45,21.1,418
2018-01-06 00:59:21,21.1,418
2018-01-06 00:59:57,21.1,420
2018-01-06 01:00:03,21.1,420
2018-01-06 01:00:33,21.1,419
2018-01-06 01:01:03,21.1,417
2018-01-06 01:01:21,21.1,417
2018-01-06 01:01:45,21.1,417
2018-01-06 01:02:03,21.1,416
