x,y
c772c7,4e01ae
2016-09-24 13:07:56,40.605
2016-09-24 14:01:01,33.969
2016-09-24 15:01:01,41.561
2016-09-24 16:01:01,29.581
2016-09-24 17:01:01,33.647
2016-09-24 18:01:01,34.422
2016-09-24 19:01:01,31.563
2016-09-24 20:01:01,33.26
2016-09-24 21:01:01,26.046
2016-09-24 22:01:01,30.199
2016-09-24 23:01:01,36.938
2016-09-25 00:01:01,35.335
2016-09-25 01:01:01,25.623
2016-09-25 02:01:01,34.323
2016-09-25 03:01:01,31.471
2016-09-25 04:01:01,25.5
2016-09-25 05:01:01,26.693
2016-09-25 06:01:01,34.063
2016-09-25 07:01:01,31.092
2016-09-25 08:01:01,35.925
2016-09-25 09:01:01,30.493
2016-09-25 10:01:01,32.305
2016-09-25 11:01:01,29.571
2016-09-25 12:01:01,33.608
2016-09-25 13:01:01,29.504
2016-09-25 14:01:01,22.224
2016-09-25 15:01:01,30.28
2016-09-25 16:01:01,27.164
2016-09-25 17:01:01,29.535
2016-09-25 18:01:01,28.888
2016-09-25 19:01:01,30.25
2016-09-25 20:01:01,33.121
2016-09-25 21:01:01,32.746
2016-09-25 22:01:01,36.567
2016-09-25 23:01:01,29.272
2016-09-26 00:01:01,30.34
2016-09-26 01:01:02,32.01
2016-09-26 02:01:01,30.291
2016-09-26 03:01:01,27.584
2016-09-26 04:01:01,32.049
2016-09-26 05:01:01,30.633
2016-09-26 06:01:01,33.858
2016-09-26 07:01:01,31.367
2016-09-26 08:01:01,29.404
2016-09-26 09:01:01,28.303
2016-09-26 10:01:01,33.316
2016-09-26 11:02:08,29.342
2016-09-26 12:01:01,30.934
2016-09-26 13:01:01,31.832
2016-09-26 14:01:01,27.311
2016-09-26 15:01:01,28.785
2016-09-26 16:01:01,31.079
2016-09-26 17:01:01,26.148
2016-09-26 18:01:01,36.977
2016-09-26 19:01:02,38.455
2016-09-26 20:01:02,44.87
2016-09-26 21:01:01,35.032
2016-09-26 22:01:01,36.173
2016-09-26 23:01:01,29.195
2016-09-27 00:01:01,33.214
2016-09-27 01:01:01,34.575
2016-09-27 02:01:01,30.493
2016-09-27 03:01:01,38.97
2016-09-27 04:01:01,31.48
2016-09-27 05:01:01,30.507
2016-09-27 06:01:01,36.614
2016-09-27 07:01:01,33.958
2016-09-27 08:01:01,30.641
2016-09-27 09:01:01,36.095
2016-09-27 10:01:01,31.317
2016-09-27 11:01:01,29.705
2016-09-27 12:01:01,29.92
2016-09-27 13:01:01,33.75
2016-09-27 14:01:01,31.624
2016-09-27 15:01:01,37.869
2016-09-27 16:01:01,30.296
2016-09-27 17:01:01,29.19
2016-09-27 18:01:01,35.764
2016-09-27 19:01:01,37.101
2016-09-27 20:01:01,34.163
2016-09-27 21:01:01,33.021
2016-09-27 22:01:01,43.042
2016-09-27 23:01:01,30.763
2016-09-28 00:01:01,31.558
2016-09-28 01:01:01,31.88
2016-09-28 02:01:01,33.958
2016-09-28 03:01:01,30.977
2016-09-28 04:01:01,30.134
2016-09-28 05:01:01,28.862
2016-09-28 06:01:01,30.451
2016-09-28 07:01:01,27.975
2016-09-28 08:01:02,37.152
2016-09-28 09:01:01,30.453
2016-09-28 10:01:01,30.579
