"Agricultural workers(%), x; mobile penetration(%), x","Agricultural workers(%), y","mobile penetration(%), y"
81a9e8,e4606e,a17639
BIHAR,52.831262399,44.889670469
ANDHRA PRADESH,43.0403430939,51.8160542006
CHHATTISGARH,41.8044986854,25.3872493286
MADHYA PRADESH,38.614732509,37.2277594994
ODISHA,38.422933065,30.1500423265
JHARKHAND,33.8674545975,38.0769424655
UTTAR PRADESH,30.2959953561,48.7834275423
WEST BENGAL,29.3150475647,38.9805164712
TAMIL NADU,29.212833173,59.7875763255
GUJARAT,27.6141992245,47.9330325273
MAHARASHTRA,27.2844810372,49.0285304972
KARNATAKA,25.6738293888,52.4104917444
TRIPURA,24.063487354,37.972541929
HARYANA,17.1382451516,52.812595584
MEGHALAYA,16.7308384903,32.0747865114
RAJASTHAN,16.5282133877,49.1546244658
PUNJAB,16.0492765648,56.6138261271
ASSAM,15.4168236604,33.5837345582
PUDUCHERRY,15.369869294,62.7911412143
JAMMU & KASHMIR,12.6703993534,38.8554380691
KERALA,11.3851693549,61.6828728278
DADRA & NAGAR HAVELI,11.3253288029,42.2611989006
UTTARAKHAND,10.4150919033,44.0264703361
MANIPUR,10.2771709553,47.8233141628
MIZORAM,8.5856935926,59.6649977174
SIKKIM,8.4332344599,55.312917845
NAGALAND,6.4634614556,39.7111656662
ARUNACHAL PRADESH,6.1551210995,33.6120863922
HIMACHAL PRADESH,4.9175961715,41.4167203254
GOA,4.6357891236,49.8940306843
ANDAMAN & NICOBAR ISLANDS,3.1343626053,55.1261690489
NCT OF DELHI,0.7065447251,65.8286569154
DAMAN & DIU,0.636590776,58.0146560064
CHANDIGARH,0.4174337352,70.3103895538
LAKSHADWEEP,0.0,47.1848225214
