"9am_Temp, x","9am_Temp, y; 3pm_Temp, y; 3pm_Humidity, y","3pm_Temp, x","3pm_Humidity, x","A/C_kWh, x","A/C_kWh, y"
b68c58,33df42,3fe886,d91554,8ba555,5e2fa2
9am Temperature (°C),Date,3pm Temperature (°C),3pm relative humidity (%),86.0,2015-11-20
26.1,2018-01-1,27.5,92,18.0,2015-11-21
26.7,2018-01-2,25.8,100,65.0,2015-11-22
26.5,2018-01-3,24.9,87,63.0,2015-11-23
27.1,2018-01-4,27.2,67,65.0,2015-11-24
27.2,2018-01-5,27.9,61,123.0,2015-11-25
27.2,2018-01-6,27.6,59,100.0,2015-11-26
27.2,2018-01-7,29.6,54,120.0,2015-11-27
27.8,2018-01-8,29.3,62,114.0,2015-11-28
28.0,2018-01-9,29.6,58,124.0,2015-11-29
28.1,2018-01-10,29.2,62,145.0,2015-11-30
28.1,2018-01-11,28.4,62,52.25,2015-12-23
29.1,2018-01-12,30.2,62,32.21,2015-12-24
