"Trace 0, x","Trace 0, y; Trace 1, y","Trace 1, x"
fd32d9,08f313,4e41df
11.45,10.0,64.2
11.47,15.0,64.5
11.4,20.0,64.4
11.26,25.0,63.8
11.06,35.0,63.2
10.95,40.0,63.2
10.87,45.0,63.5
10.83,50.0,64.4
10.78,55.0,64.6
10.71,60.0,64.8
10.65,65.0,65.1
10.61,70.0,65.3
10.57,80.0,65.7
10.54,85.0,66.1
10.49,90.0,66.2
10.47,95.0,66.7
10.45,100.0,67.1
10.42,105.0,67.4
10.37,110.0,67.5
10.33,115.0,67.6
10.28,120.0,67.9
10.26,125.0,68.1
10.22,135.0,68.4
10.16,140.0,68.3
10.07,145.0,67.9
10.02,150.0,68.2
9.94,155.0,67.8
9.85,160.0,67.6
9.77,165.0,67.7
9.71,175.0,67.8
9.63,180.0,68.0
9.46,195.0,68.5
9.41,200.0,68.6
9.36,205.0,68.9
9.32,210.0,69.2
9.29,215.0,69.4
9.26,225.0,69.7
9.22,230.0,70.1
9.18,235.0,70.3
9.15,240.0,70.7
9.11,245.0,71.0
9.04,250.0,71.2
8.96,255.0,71.4
8.9,260.0,71.6
8.83,270.0,71.7
8.77,275.0,71.8
8.71,280.0,71.9
8.67,285.0,72.1
8.63,290.0,72.3
8.58,295.0,72.3
8.53,300.0,72.4
8.39,320.0,72.7
8.34,325.0,72.9
8.28,330.0,72.9
8.12,345.0,73.1
8.07,350.0,73.1
8.02,355.0,73.2
7.97,365.0,73.3
7.92,370.0,73.4
7.86,375.0,73.6
7.81,380.0,73.8
7.75,385.0,74.0
7.7,390.0,74.2
7.64,395.0,74.4
7.59,400.0,74.6
7.53,405.0,74.8
7.48,415.0,75.0
7.43,420.0,75.3
7.38,425.0,75.5
7.33,430.0,75.7
7.28,435.0,75.9
7.23,440.0,76.1
7.18,445.0,76.3
7.13,455.0,76.5
7.08,460.0,76.7
7.03,465.0,76.9
6.97,470.0,77.1
6.92,475.0,77.3
6.86,480.0,77.5
6.82,485.0,77.8
6.77,490.0,78.0
6.71,495.0,78.2
6.66,505.0,78.4
6.61,510.0,78.6
6.56,515.0,78.8
6.51,520.0,79.0
6.46,525.0,79.1
6.41,530.0,79.3
6.39,535.0,79.8
6.35,540.0,80.1
6.3,545.0,80.3
6.26,555.0,80.5
6.21,560.0,80.7
6.17,565.0,80.9
6.11,570.0,80.8
6.04,575.0,81.0
5.99,580.0,81.2
5.93,585.0,81.4
5.88,590.0,81.6
5.83,600.0,81.7
5.78,605.0,81.7
5.73,610.0,81.9
5.69,615.0,82.0
5.73,625.0,83.1
5.72,630.0,83.6
5.69,635.0,83.8
5.65,645.0,83.8
5.64,650.0,83.7
5.6,655.0,83.7
5.55,660.0,83.6
5.53,665.0,83.3
5.5,670.0,83.1
5.46,675.0,82.9
5.42,680.0,82.7
5.38,690.0,82.4
5.35,695.0,82.4
5.31,700.0,82.8
5.27,705.0,83.2
5.23,710.0,83.4
5.19,715.0,83.5
5.15,720.0,83.6
5.1,725.0,83.7
5.06,730.0,83.8
5.03,740.0,83.9
4.98,745.0,84.0
4.93,750.0,84.1
4.88,755.0,84.2
4.83,760.0,84.3
4.77,765.0,84.4
4.72,770.0,84.3
4.69,775.0,84.5
4.65,785.0,84.4
4.62,790.0,84.5
4.61,795.0,84.8
4.6,800.0,85.4
4.59,805.0,85.9
4.55,810.0,86.2
4.51,815.0,86.5
4.47,820.0,86.7
4.47,830.0,86.8
4.48,835.0,86.8
4.46,840.0,86.8
4.43,845.0,86.8
4.4,850.0,86.8
4.36,855.0,86.9
4.32,860.0,86.9
4.29,865.0,86.9
4.24,875.0,86.9
4.2,880.0,87.0
4.07,895.0,87.1
4.05,900.0,87.0
4.03,905.0,86.8
4.01,910.0,86.6
3.99,915.0,86.3
3.98,925.0,86.1
3.96,930.0,86.0
3.93,935.0,85.8
3.93,940.0,85.5
3.91,945.0,85.2
3.91,950.0,84.9
3.87,960.0,84.5
3.84,965.0,84.4
3.8,975.0,84.3
3.76,980.0,84.3
3.71,985.0,84.3
3.66,990.0,84.3
3.63,995.0,84.3
3.59,1000.0,84.6
3.55,1005.0,85.0
3.51,1015.0,85.5
