"Sensor Output, x; Rounded to 0.5mm increment, x","Sensor Output, y","Rounded to 0.5mm increment, y"
94b1bb,374226,4919cc
1511507114000,0.2096288542,0
1511507294000,0.1517093416,0
1511507474000,0.1509483862,0
1511507654000.01,0.1581496344,0
1511507834000.01,0.1485572759,0
1511508014000.01,0.1802829274,0
1511508194000.01,0.1983619327,0
1511508374000.01,0.1449777707,0
1511508554000.01,0.1305692636,0
1511508734000.01,0.1493490969,0
1511508914000.01,0.190532782,0
1511509094000.01,0.172626146,0
1511509274000.01,0.168240466,0
1511509454000,0.1420406801,0
1511509634000,0.1989420501,0
1511509814000,0.1957982292,0
1511509994000,0.1625714078,0
1511510174000,0.2103355959,0
1511510354000.01,0.1784325637,0
1511510534000.01,0.2316961307,0
1511510714000.01,0.1972098918,0
1511510894000.01,0.1922491453,0
1511511074000.01,0.2157735127,0
1511511254000.01,0.2122831182,0
1511511434000.01,0.2305795105,0
1511511614000.01,0.2211526703,0
1511511794000.01,0.2264521606,0
1511511974000.01,0.1916821069,0
1511512154000,0.2009390149,0
1511512334000,0.2201389288,0
1511512514000,0.191712763,0
1511512694000,0.2021706141,0
1511512874000,0.1888167333,0
1511513054000.01,0.1471734565,0
1511513234000.01,0.1825123349,0
1511513414000.01,0.1855057163,0
1511513594000.01,0.1998898237,0
1511513774000.01,0.193116387,0
1511513954000.01,0.116079313,0
1511514134000.01,0.1578285492,0
1511514314000.01,0.174197671,0
1511514494000.01,0.1914700097,0
1511514674000.01,0.1727134608,0
1511514854000,0.1636888676,0
1511515034000,0.1534236031,0
1511515214000,0.1712723654,0
1511515394000,0.1877834909,0
1511515574000,0.1260234919,0
1511515754000.01,0.156232224,0
1511515934000.01,0.1605140631,0
1511516114000.01,0.1492266758,0
1511516294000.01,0.1364785137,0
1511516474000.01,0.1199708244,0
1511516654000.01,0.0902264139,0
1511516834000.01,0.1263871225,0
1511517014000.01,0.0839930378,0
1511517194000.01,0.1298013594,0
1511517374000.01,0.1855048541,0
1511517554000,0.0947562685,0
1511517734000,0.0905393717,0
1511517914000,0.0825855053,0
1511518094000,0.0964674612,0
1511518274000,0.069930354,0
1511518454000.01,0.0826748138,0
1511518634000.01,0.0957799789,0
1511518814000.01,0.0785394855,0
1511518994000.01,0.085323981,0
1511519174000.01,0.0685602191,0
1511519354000.01,0.056433506,0
1511519534000.01,0.0987797059,0
1511519714000.01,0.0911429122,0
1511519894000.01,0.0542143924,0
1511520074000.01,0.0689257154,0
1511520254000,0.06795856,0
1511520434000,0.0381928838,0
1511520614000,0.0632947633,0
1511520794000,0.0771368208,0
1511520974000,0.0743775056,0
1511521154000.01,0.0556411099,0
1511521334000.01,0.0286090831,0
1511521514000.01,0.057719308,0
1511521694000.01,0.0379978936,0
1511521874000.01,0.0651284079,0
1511522054000.01,0.0771075178,0
1511522234000.01,0.0549908519,0
1511522414000.01,0.0794496999,0
1511522594000.01,0.1134142946,0
1511522774000.01,0.0516805905,0
1511522954000,0.0322078556,0
1511523134000,0.0326550002,0
1511523314000,0.0527651617,0
1511523494000,0.0749245588,0
1511523674000,0.0504936281,0
1511523854000.01,0.053500383,0
1511524034000.01,0.0797511341,0
1511524214000.01,0.0852939128,0
1511524394000.01,0.026891539,0
1511524574000.01,0.0053520174,0
1511524754000.01,0.0297855775,0
1511524934000.01,0.0170364832,0
1511525114000.01,0.028642773,0
1511525294000.01,0.027619016,0
1511525474000.01,0.0671430286,0
1511525654000,0.0526842268,0
1511525834000,0.0124652189,0
1511526014000,0.0153136042,0
