x,y
520be8,860203
1511508194000.01,0.0832010646
1511508314000,0.0870033353
1511508434000.01,0.0886212486
1511508554000.01,0.0890159487
1511508674000.01,0.0887649136
1511508794000,0.0871585451
1511508914000.01,0.0826033055
1511509034000.01,0.0740922574
1511509154000,0.0623165532
1511509274000.01,0.0495132613
1511509394000.01,0.0384423502
1511509514000.01,0.0312092107
1511509634000,0.0284846224
1511509754000.01,0.0292364956
1511509874000.01,0.03136667
1511509994000,0.0331687133
1511510114000.01,0.034351183
1511510234000.01,0.0360239129
1511510354000.01,0.0397297646
1511510474000,0.0462338559
1511510594000.01,0.054819927
1511510714000.01,0.0635499878
1511510834000,0.0703164989
1511510954000.01,0.073852326
1511511074000.01,0.0741639129
1511511194000,0.0721842818
1511511314000,0.0691455346
1511511434000.01,0.0663145767
1511511554000.01,0.0649931122
1511511674000,0.0662026159
1511511794000.01,0.0699938139
1511511914000.01,0.0752691282
1511512034000,0.08041731
1511512154000,0.0839437645
1511512274000.01,0.0846929462
1511512394000.01,0.0822131983
1511512514000,0.0774724703
1511512634000.01,0.0729894778
1511512754000.01,0.0714802964
1511512874000,0.0736373428
1511512994000,0.0774063273
1511513114000.01,0.0798866265
1511513234000.01,0.0798331424
1511513354000,0.0782552059
1511513474000.01,0.0770145539
1511513594000.01,0.0771675772
1511513714000,0.0785076312
1511513834000.01,0.0801829805
1511513954000.01,0.0813183639
1511514074000.01,0.0811662375
1511514194000,0.0791228445
1511514314000.01,0.0751208626
1511514434000.01,0.0699856746
1511514554000,0.0649537217
1511514674000.01,0.0609643024
1511514794000.01,0.0584826106
1511514914000.01,0.05757418
1511515034000,0.0579985722
1511515154000.01,0.0595870177
1511515274000.01,0.0624678409
1511515394000,0.0664386681
1511515514000.01,0.07046891
1511515634000.01,0.0732608826
1511515754000.01,0.0739947458
1511515874000,0.0726744333
1511515994000.01,0.0701880297
1511516114000.01,0.0678727971
1511516234000,0.0666447831
1511516354000.01,0.0662779839
1511516474000.01,0.0657396705
1511516594000,0.06451961
1511516714000,0.0634799631
1511516834000.01,0.0640487072
1511516954000.01,0.0667589611
1511517074000,0.0708037712
1511517194000.01,0.0745743671
1511517314000.01,0.0765700171
1511517434000,0.0761977072
1511517554000,0.0739405305
1511517674000.01,0.0709002345
1511517794000.01,0.0679648779
1511517914000,0.0653423901
1511518034000.01,0.0630088031
1511518154000.01,0.0613490324
1511518274000,0.0610595539
1511518394000,0.0622298297
1511518514000.01,0.0637295101
1511518634000.01,0.0641445789
1511518754000,0.0631579339
1511518874000.01,0.0617371371
1511518994000.01,0.061205058
1511519114000,0.0620921526
1511519234000.01,0.0636994707
1511519354000.01,0.0645982703
1511519474000.01,0.0638915718
1511519594000,0.0624115793
1511519714000.01,0.0620857269
1511519834000.01,0.0638520251
1511519954000,0.0669391344
1511520074000.01,0.0696844108
1511520194000.01,0.0702708542
1511520314000.01,0.0677889172
1511520434000,0.0634120238
1511520554000.01,0.0601603433
1511520674000.01,0.0606634133
1511520794000,0.0645663711
1511520914000.01,0.0685603262
1511521034000.01,0.0693301994
1511521154000.01,0.0660061221
1511521274000,0.0601489446
1511521394000.01,0.0547185099
1511521514000.01,0.0527272984
1511521634000,0.0555455244
1511521754000.01,0.0617889727
1511521874000.01,0.0678653672
1511521994000,0.070624828
1511522114000,0.0702931615
1511522234000.01,0.0701530859
1511522354000.01,0.0727860447
1511522474000,0.0770624222
1511522594000.01,0.079079857
1511522714000.01,0.0761234271
1511522834000,0.0694262186
1511522954000,0.0627615422
1511523074000.01,0.0589252536
1511523194000.01,0.0579572815
1511523314000,0.0580519024
1511523434000.01,0.0575742605
1511523554000.01,0.0563883321
1511523674000,0.055633601
1511523794000,0.0565742398
1511523914000.01,0.0595083585
1511524034000.01,0.0634676846
1511524154000,0.0668800254
1511524274000.01,0.0682559581
1511524394000.01,0.066585778
1511524514000,0.0619401689
1511524634000.01,0.056037088
1511524754000.01,0.0518072877
1511524874000.01,0.0514853052
1511524994000,0.0547187804
1511525114000.01,0.0590576378
1511525234000.01,0.0624271667
1511525354000,0.064612322
1511525474000.01,0.0662170612
