"Model - ADHD-Real-5-nonCV - Train, x; Precision Threshold, x","Model - ADHD-Real-5-nonCV - Train, y; Recall Threshold, y","Recall Threshold, x","Precision Threshold, y"
8caf26,f908f2,e5f772,9fc2f8
100.0,2.597956241,15,8.4
100.0,2.597956241,15,8.4
100.0,2.597956241,15,8.4
100.0,2.597956241,15,8.4
99.6621621622,2.6631416043,15,8.4
96.8629343629,2.9008758997,15,8.4
91.2644787645,3.1697341513,15,8.4
85.5212355212,3.4652013219,15,8.4
79.5366795367,3.8542494972,15,8.4
73.0212355212,4.2124899073,15,8.4
65.9266409266,4.5903622555,15,8.4
58.2046332046,4.9975136748,15,8.4
51.2548262548,5.3593056116,15,8.4
47.0077220077,5.7179758131,15,8.4
40.444015444,6.0002864099,15,8.4
36.6795366795,6.2264460102,15,8.4
32.8667953668,6.6679721923,15,8.4
29.1505791506,6.9842738205,15,8.4
26.3996138996,7.258492569,15,8.4
23.5038610039,7.6153244722,15,8.4
21.1872586873,7.8308954691,15,8.4
18.3397683398,7.8528621616,15,8.4
16.4575289575,8.2867557716,15,8.4
15.1544401544,8.4295302013,15,8.4
13.0791505792,8.8101430429,15,8.4
11.5347490347,8.8322246859,15,8.4
10.7142857143,9.0612244898,15,8.4
10.0386100386,9.203539823,15,8.4
8.4942084942,9.1381100727,15,8.4
7.4324324324,9.4074526573,15,8.4
6.7567567568,9.3582887701,15,8.4
6.3223938224,9.3772369363,15,8.4
5.4054054054,9.3023255814,15,8.4
4.8262548263,9.3984962406,15,8.4
4.4884169884,9.6573208723,15,8.4
4.2471042471,9.7130242826,15,8.4
3.9092664093,9.6199524941,15,8.4
3.3783783784,10.3703703704,15,8.4
3.0405405405,10.1941747573,15,8.4
2.7992277992,10.6422018349,15,8.4
2.750965251,11.3320079523,15,8.4
2.750965251,11.9246861925,15,8.4
2.4613899614,12.2302158273,15,8.4
2.3648648649,12.6943005181,15,8.4
2.027027027,13.0841121495,15,8.4
1.8822393822,13.0434782609,15,8.4
1.6409266409,12.927756654,15,8.4
1.6409266409,13.2295719844,15,8.4
1.4961389961,13.1914893617,15,8.4
1.4478764479,13.4529147982,15,8.4
1.1583011583,12.5,15,8.4
1.0617760618,12.3595505618,15,8.4
0.9652509653,12.8205128205,15,8.4
0.916988417,13.3802816901,15,8.4
0.916988417,13.6690647482,15,8.4
0.916988417,13.6690647482,15,8.4
0.8204633205,15.0442477876,15,8.4
0.7722007722,16.3265306122,15,8.4
0.6274131274,16.049382716,15,8.4
0.4343629344,13.4328358209,15,8.4
0.3861003861,12.9032258065,15,8.4
0.3861003861,13.1147540984,15,8.4
0.3378378378,11.8644067797,15,8.4
0.3378378378,11.8644067797,15,8.4
0.1930501931,8.0,15,8.4
0.1930501931,8.8888888889,15,8.4
0.1930501931,10.2564102564,15,8.4
0.1930501931,11.4285714286,15,8.4
0.1930501931,12.1212121212,15,8.4
0.1930501931,12.1212121212,15,8.4
0.1930501931,14.2857142857,15,8.4
0.1930501931,14.2857142857,15,8.4
0.1930501931,14.2857142857,15,8.4
0.1447876448,13.0434782609,15,8.4
0.1447876448,15.0,15,8.4
0.1447876448,16.6666666667,15,8.4
0.1447876448,16.6666666667,15,8.4
0.0965250965,13.3333333333,15,8.4
0.0965250965,20.0,15,8.4
0.0965250965,20.0,15,8.4
0.0965250965,20.0,15,8.4
0.0965250965,20.0,15,8.4
0.0965250965,20.0,15,8.4
0.0965250965,22.2222222222,15,8.4
0.0482625483,14.2857142857,15,8.4
