"First Series, x; Second Series, x; Third Series, x","First Series, y","Second Series, y","Third Series, y"
6a4558,4d35a3,7da14b,9993aa
0,3,0.0,3
1,97,0.01,9
2,51,0.04,3
3,0,0.09,1
4,49,0.16,5
5,83,0.25,8
6,12,0.36,3
7,39,0.49,8
8,86,0.64,3
9,83,0.81,9
10,78,1.0,1
11,58,1.21,0
12,94,1.44,8
13,52,1.69,3
14,54,1.96,3
15,37,2.25,3
16,1,2.56,6
17,75,2.89,5
18,71,3.24,8
19,13,3.61,0
20,57,4.0,6
21,38,4.41,3
22,65,4.84,5
23,45,5.29,1
24,74,5.76,3
25,25,6.25,3
26,54,6.76,2
27,46,7.29,2
28,55,7.84,9
29,50,8.41,2
30,41,9.0,1
31,43,9.61,8
32,26,10.24,5
33,19,10.89,4
34,98,11.56,7
35,46,12.25,7
36,62,12.96,5
37,51,13.69,1
38,53,14.44,2
39,91,15.21,9
40,24,16.0,5
41,61,16.81,3
42,70,17.64,2
43,14,18.49,4
44,28,19.36,7
45,66,20.25,7
46,84,21.16,4
47,7,22.09,5
48,12,23.04,4
49,52,24.01,5
50,79,25.0,2
51,26,26.01,3
52,16,27.04,0
53,67,28.09,0
54,48,29.16,2
55,37,30.25,9
56,85,31.36,1
57,35,32.49,7
58,49,33.64,4
59,93,34.81,3
60,29,36.0,7
61,41,37.21,8
62,45,38.44,4
63,59,39.69,3
64,70,40.96,4
65,99,42.25,6
66,6,43.56,2
67,73,44.89,8
68,11,46.24,7
69,84,47.61,9
70,8,49.0,7
71,86,50.41,3
72,37,51.84,7
73,80,53.29,8
74,26,54.76,0
75,76,56.25,8
76,8,57.76,1
77,59,59.29,0
78,59,60.84,2
79,60,62.41,0
80,2,64.0,0
81,61,65.61,4
82,81,67.24,5
83,99,68.89,4
84,87,70.56,3
85,86,72.25,4
86,17,73.96,0
87,74,75.69,0
88,70,77.44,6
89,62,79.21,4
90,90,81.0,2
91,72,82.81,7
92,31,84.64,6
93,6,86.49,2
94,27,88.36,6
95,40,90.25,2
96,16,92.16,9
97,73,94.09,8
98,61,96.04,6
99,60,98.01,3
