"Model - ADHD-Real-5-nonCV - Train, x","Model - ADHD-Real-5-nonCV - Train, y","Model - ADHD-Real-5-nonCV - Test, x; Best Possible, x","Model - ADHD-Real-5-nonCV - Test, y; Best Possible, y","Null Hypothesis, x","Null Hypothesis, y"
6ebf59,753c5c,848f00,aab6b4,e52976,291588
1.0,1.0,0,0,0.0,0.0
1.0,1.0,0,0,0.01,0.01
1.0,1.0,0,0,0.02,0.02
1.0,1.0,0,0,0.03,0.03
0.9711740786,0.997141496,0,0,0.04,0.04
0.8481249597,0.9628394474,0,0,0.05,0.05
0.7549215775,0.9161505479,0,0,0.06,0.06
0.6327890015,0.8613625536,0,0,0.07,0.07
0.528845285,0.7956169605,0,0,0.08,0.08
0.444265152,0.7198666031,0,0,0.09,0.09
0.3753437036,0.6574559314,0,0,0.1,0.1
0.2967017363,0.5736064793,0,0,0.11,0.11
0.2455560576,0.5107193902,0,0,0.12,0.12
0.2120054218,0.4740352549,0,0,0.13,0.13
0.1686051765,0.4101953311,0,0,0.14,0.14
0.150171045,0.3777989519,0,0,0.15,0.15
0.12166785,0.3334921391,0,0,0.16,0.16
0.1047698961,0.3025250119,0,0,0.17,0.17
0.094094107,0.2767984755,0,0,0.18,0.18
0.0735557994,0.2324916627,0,0,0.19,0.19
0.0695023559,0.2220104812,0,0,0.2,0.2
0.0588782031,0.1929490233,0,0,0.21,0.21
0.0467307816,0.1615054788,0,0,0.22,0.22
0.0445233331,0.1524535493,0,0,0.23,0.23
0.0385851675,0.1372081944,0,0,0.24,0.24
0.0312528239,0.1110052406,0,0,0.25,0.25
0.0279222875,0.1014768938,0,0,0.26,0.26
0.0276124701,0.1005240591,0,0,0.27,0.27
0.0234944814,0.0890900429,0,0,0.28,0.28
0.0190537662,0.0743211053,0,0,0.29,0.29
0.0171174079,0.0647927585,0,0,0.3,0.3
0.0167688634,0.0647927585,0,0,0.31,0.31
0.0156457755,0.0595521677,0,0,0.32,0.32
0.0125734203,0.0490709862,0,0,0.33,0.33
0.0106370619,0.0438303954,0,0,0.34,0.34
0.0098625186,0.0409718914,0,0,0.35,0.35
0.0098237914,0.0409718914,0,0,0.36,0.36
0.0085070677,0.0371605526,0,0,0.37,0.37
0.0072677984,0.0323963792,0,0,0.38,0.38
0.0061447105,0.0281086232,0,0,0.39,0.39
0.0053572581,0.0271557885,0,0,0.4,0.4
0.0053572581,0.0271557885,0,0,0.41,0.41
0.0051507132,0.0271557885,0,0,0.42,0.42
0.0045439876,0.0242972844,0,0,0.43,0.43
0.0037307171,0.0223916151,0,0,0.44,0.44
0.0031627186,0.0200095283,0,0,0.45,0.45
0.0029045375,0.0176274416,0,0,0.46,0.46
0.0029045375,0.0176274416,0,0,0.47,0.47
0.0029045375,0.0176274416,0,0,0.48,0.48
0.0026592655,0.0157217723,0,0,0.49,0.49
0.00232363,0.0133396856,0,0,0.5,0.5
0.0019750855,0.0104811815,0,0,0.51,0.51
0.001613632,0.0095283468,0,0,0.52,0.52
0.0015878139,0.0095283468,0,0,0.53,0.53
0.0015878139,0.0095283468,0,0,0.54,0.54
0.0015878139,0.0095283468,0,0,0.55,0.55
0.0013683599,0.0090519295,0,0,0.56,0.56
0.001161815,0.0085755121,0,0,0.57,0.57
0.0009939973,0.0066698428,0,0,0.58,0.58
0.0007229071,0.0042877561,0,0,0.59,0.59
0.0006712709,0.0038113387,0,0,0.6,0.6
0.0006712709,0.0038113387,0,0,0.61,0.61
0.0006712709,0.0038113387,0,0,0.62,0.62
0.0006712709,0.0038113387,0,0,0.63,0.63
0.0006067256,0.002858504,0,0,0.64,0.64
0.0005938166,0.0023820867,0,0,0.65,0.65
0.0005292713,0.0023820867,0,0,0.66,0.66
0.0004130898,0.0023820867,0,0,0.67,0.67
0.0002839992,0.0023820867,0,0,0.68,0.68
0.0002839992,0.0023820867,0,0,0.69,0.69
0.0002839992,0.0023820867,0,0,0.7,0.7
0.0002839992,0.0023820867,0,0,0.71,0.71
0.0002839992,0.0023820867,0,0,0.72,0.72
0.0002839992,0.0023820867,0,0,0.73,0.73
0.0002452721,0.0019056694,0,0,0.74,0.74
0.0001936358,0.0019056694,0,0,0.75,0.75
0.0001549087,0.001429252,0,0,0.76,0.76
0.0001032724,0.001429252,0,0,0.77,0.77
0.0001032724,0.001429252,0,0,0.78,0.78
0.0001032724,0.001429252,0,0,0.79,0.79
0.0001032724,0.001429252,0,0,0.8,0.8
0.0001032724,0.001429252,0,0,0.81,0.81
0.0001032724,0.001429252,0,0,0.82,0.82
0.0001032724,0.001429252,0,0,0.83,0.83
9.03634e-05,0.001429252,0,0,0.84,0.84
6.45453e-05,0.0004764173,0,0,0.85,0.85
2.58181e-05,0.0,0,0,0.86,0.86
2.58181e-05,0.0,0,0,0.87,0.87
2.58181e-05,0.0,0,0,0.88,0.88
2.58181e-05,0.0,0,0,0.89,0.89
2.58181e-05,0.0,0,0,0.9,0.9
2.58181e-05,0.0,0,0,0.91,0.91
2.58181e-05,0.0,0,0,0.92,0.92
2.58181e-05,0.0,0,0,0.93,0.93
2.58181e-05,0.0,0,0,0.94,0.94
2.58181e-05,0.0,0,0,0.95,0.95
0.0,0.0,0,0,0.96,0.96
0.0,0.0,0,0,0.97,0.97
0.0,0.0,0,0,0.98,0.98
0.0,0.0,0,0,0.99,0.99
