"Train, x; Test, x; Train (1), x; Test (1), x; Max. Prob., x; Min. Prob., x","Train, y","Train, text","Test, y","Test, text","Train (1), y","Train (1), text","Test (1), y","Test (1), text","Max. Prob., y","Max. Prob., text","Min. Prob., y","Min. Prob., text"
9a1de0,940647,a2ce5b,8805fb,af40e2,caae47,6536ec,46840a,8f4866,986d50,80703d,c1ae4b,fc875a
PSM-Match-adhd-1-nonCV,0.5881,PSM-Match-adhd-1-nonCV - Train Data<br>Area Under Curve : 0.5881,0.0,PSM-Match-adhd-1-nonCV - Test Data<br>Area Under Curve : 0.0,1.06,PSM-Match-adhd-1-nonCV - Train Data<br>Ave Error : 1.06%,0.94,PSM-Match-adhd-1-nonCV - Test Data<br>Ave Error : 0.94%,5.33,PSM-Match-adhd-1-nonCV<br>Max Prediction: 5.33%,1.69,PSM-Match-adhd-1-nonCV<br>Min Prediction: 1.69%
PSM-Match-adhd-2-nonCV,0.5882,PSM-Match-adhd-2-nonCV - Train Data<br>Area Under Curve : 0.5882,0.0,PSM-Match-adhd-2-nonCV - Test Data<br>Area Under Curve : 0.0,1.06,PSM-Match-adhd-2-nonCV - Train Data<br>Ave Error : 1.06%,0.94,PSM-Match-adhd-2-nonCV - Test Data<br>Ave Error : 0.94%,7.63,PSM-Match-adhd-2-nonCV<br>Max Prediction: 7.63%,1.69,PSM-Match-adhd-2-nonCV<br>Min Prediction: 1.69%
PSM-Match-adhd-3-nonCV,0.5981,PSM-Match-adhd-3-nonCV - Train Data<br>Area Under Curve : 0.5981,0.0,PSM-Match-adhd-3-nonCV - Test Data<br>Area Under Curve : 0.0,1.04,PSM-Match-adhd-3-nonCV - Train Data<br>Ave Error : 1.04%,0.92,PSM-Match-adhd-3-nonCV - Test Data<br>Ave Error : 0.92%,7.66,PSM-Match-adhd-3-nonCV<br>Max Prediction: 7.66%,1.37,PSM-Match-adhd-3-nonCV<br>Min Prediction: 1.37%
PSM-Match-adhd-4-nonCV,0.5943,PSM-Match-adhd-4-nonCV - Train Data<br>Area Under Curve : 0.5943,0.0,PSM-Match-adhd-4-nonCV - Test Data<br>Area Under Curve : 0.0,1.04,PSM-Match-adhd-4-nonCV - Train Data<br>Ave Error : 1.04%,0.92,PSM-Match-adhd-4-nonCV - Test Data<br>Ave Error : 0.92%,8.07,PSM-Match-adhd-4-nonCV<br>Max Prediction: 8.07%,1.37,PSM-Match-adhd-4-nonCV<br>Min Prediction: 1.37%
PSM-Match-adhd-5-nonCV,0.6006,PSM-Match-adhd-5-nonCV - Train Data<br>Area Under Curve : 0.6006,0.0,PSM-Match-adhd-5-nonCV - Test Data<br>Area Under Curve : 0.0,1.01,PSM-Match-adhd-5-nonCV - Train Data<br>Ave Error : 1.01%,0.91,PSM-Match-adhd-5-nonCV - Test Data<br>Ave Error : 0.91%,9.5,PSM-Match-adhd-5-nonCV<br>Max Prediction: 9.5%,1.12,PSM-Match-adhd-5-nonCV<br>Min Prediction: 1.12%
PSM-Match-adhd-6-nonCV,0.6064,PSM-Match-adhd-6-nonCV - Train Data<br>Area Under Curve : 0.6064,0.0,PSM-Match-adhd-6-nonCV - Test Data<br>Area Under Curve : 0.0,1.0,PSM-Match-adhd-6-nonCV - Train Data<br>Ave Error : 1.0%,0.89,PSM-Match-adhd-6-nonCV - Test Data<br>Ave Error : 0.89%,9.05,PSM-Match-adhd-6-nonCV<br>Max Prediction: 9.05%,1.07,PSM-Match-adhd-6-nonCV<br>Min Prediction: 1.07%
PSM-Match-adhd-7-nonCV,0.6069,PSM-Match-adhd-7-nonCV - Train Data<br>Area Under Curve : 0.6069,0.0,PSM-Match-adhd-7-nonCV - Test Data<br>Area Under Curve : 0.0,1.0,PSM-Match-adhd-7-nonCV - Train Data<br>Ave Error : 1.0%,0.89,PSM-Match-adhd-7-nonCV - Test Data<br>Ave Error : 0.89%,8.97,PSM-Match-adhd-7-nonCV<br>Max Prediction: 8.97%,1.04,PSM-Match-adhd-7-nonCV<br>Min Prediction: 1.04%
PSM-Match-adhd-7-deg2-nonCV,0.6235,PSM-Match-adhd-7-deg2-nonCV - Train Data<br>Area Under Curve : 0.6235,0.0,PSM-Match-adhd-7-deg2-nonCV - Test Data<br>Area Under Curve : 0.0,0.92,PSM-Match-adhd-7-deg2-nonCV - Train Data<br>Ave Error : 0.92%,0.83,PSM-Match-adhd-7-deg2-nonCV - Test Data<br>Ave Error : 0.83%,11.67,PSM-Match-adhd-7-deg2-nonCV<br>Max Prediction: 11.67%,1.17,PSM-Match-adhd-7-deg2-nonCV<br>Min Prediction: 1.17%
PSM-Match-adhd-7-deg3-nonCV,0.6255,PSM-Match-adhd-7-deg3-nonCV - Train Data<br>Area Under Curve : 0.6255,0.0,PSM-Match-adhd-7-deg3-nonCV - Test Data<br>Area Under Curve : 0.0,0.91,PSM-Match-adhd-7-deg3-nonCV - Train Data<br>Ave Error : 0.91%,0.83,PSM-Match-adhd-7-deg3-nonCV - Test Data<br>Ave Error : 0.83%,15.35,PSM-Match-adhd-7-deg3-nonCV<br>Max Prediction: 15.35%,1.11,PSM-Match-adhd-7-deg3-nonCV<br>Min Prediction: 1.11%
PSM-Match-adhd-7-deg4-nonCV,0.6319,PSM-Match-adhd-7-deg4-nonCV - Train Data<br>Area Under Curve : 0.6319,0.0,PSM-Match-adhd-7-deg4-nonCV - Test Data<br>Area Under Curve : 0.0,0.89,PSM-Match-adhd-7-deg4-nonCV - Train Data<br>Ave Error : 0.89%,0.84,PSM-Match-adhd-7-deg4-nonCV - Test Data<br>Ave Error : 0.84%,16.05,PSM-Match-adhd-7-deg4-nonCV<br>Max Prediction: 16.05%,0.95,PSM-Match-adhd-7-deg4-nonCV<br>Min Prediction: 0.95%
PSM-Match-adhd-7-deg5-nonCV,0.6316,PSM-Match-adhd-7-deg5-nonCV - Train Data<br>Area Under Curve : 0.6316,0.0,PSM-Match-adhd-7-deg5-nonCV - Test Data<br>Area Under Curve : 0.0,0.88,PSM-Match-adhd-7-deg5-nonCV - Train Data<br>Ave Error : 0.88%,0.84,PSM-Match-adhd-7-deg5-nonCV - Test Data<br>Ave Error : 0.84%,16.1,PSM-Match-adhd-7-deg5-nonCV<br>Max Prediction: 16.1%,0.81,PSM-Match-adhd-7-deg5-nonCV<br>Min Prediction: 0.81%
