"Model - PSM-Match-adhd-7-deg6-nonCV - Train, x","Model - PSM-Match-adhd-7-deg6-nonCV - Train, y","Model - PSM-Match-adhd-7-deg6-nonCV - Test, x; Best Possible, x","Model - PSM-Match-adhd-7-deg6-nonCV - Test, y; Best Possible, y","Null Hypothesis, x","Null Hypothesis, y"
799b29,bb9683,a8ad18,8bf047,40dcd5,2d43fb
1.0,1.0,0,0,0.0,0.0
1.0,1.0,0,0,0.01,0.01
1.0,1.0,0,0,0.02,0.02
1.0,1.0,0,0,0.03,0.03
1.0,1.0,0,0,0.04,0.04
1.0,1.0,0,0,0.05,0.05
0.9996795283,1.0,0,0,0.06,0.06
0.991167799,0.9968944099,0,0,0.07,0.07
0.9631585694,0.9826086957,0,0,0.08,0.08
0.9249583387,0.9590062112,0,0,0.09,0.09
0.7968978336,0.8714285714,0,0,0.1,0.1
0.6229073196,0.7360248447,0,0,0.11,0.11
0.4912318933,0.6440993789,0,0,0.12,0.12
0.3764004615,0.5459627329,0,0,0.13,0.13
0.306473529,0.4689440994,0,0,0.14,0.14
0.2626458146,0.4186335404,0,0,0.15,0.15
0.2029611588,0.349689441,0,0,0.16,0.16
0.1523394437,0.2838509317,0,0,0.17,0.17
0.1080758877,0.2086956522,0,0,0.18,0.18
0.0861684399,0.1795031056,0,0,0.19,0.19
0.0681835662,0.1527950311,0,0,0.2,0.2
0.0588386104,0.1385093168,0,0,0.21,0.21
0.0493141905,0.1236024845,0,0,0.22,0.22
0.0398282272,0.101863354,0,0,0.23,0.23
0.0322009999,0.0906832298,0,0,0.24,0.24
0.0272016408,0.0819875776,0,0,0.25,0.25
0.023061146,0.0677018634,0,0,0.26,0.26
0.019036021,0.0621118012,0,0,0.27,0.27
0.0157543905,0.051552795,0,0,0.28,0.28
0.0133059864,0.0453416149,0,0,0.29,0.29
0.012459941,0.0434782609,0,0,0.3,0.3
0.0107037559,0.0409937888,0,0,0.31,0.31
0.0090629406,0.0360248447,0,0,0.32,0.32
0.007460582,0.0316770186,0,0,0.33,0.33
0.0063581592,0.0273291925,0,0,0.34,0.34
0.0050121779,0.0180124224,0,0,0.35,0.35
0.0044353288,0.0161490683,0,0,0.36,0.36
0.0039097552,0.0149068323,0,0,0.37,0.37
0.0036790155,0.0142857143,0,0,0.38,0.38
0.0032559928,0.0124223602,0,0,0.39,0.39
0.0030252532,0.0111801242,0,0,0.4,0.4
0.0024740418,0.0105590062,0,0,0.41,0.41
0.0022048455,0.0105590062,0,0,0.42,0.42
0.0018971927,0.0093167702,0,0,0.43,0.43
0.0015510832,0.0074534161,0,0,0.44,0.44
0.0014100756,0.0068322981,0,0,0.45,0.45
0.0011921549,0.0062111801,0,0,0.46,0.46
0.0010511473,0.0062111801,0,0,0.47,0.47
0.0009742341,0.0049689441,0,0,0.48,0.48
0.0008204076,0.0049689441,0,0,0.49,0.49
0.000781951,0.0043478261,0,0,0.5,0.5
0.0006922189,0.0031055901,0,0,0.51,0.51
0.0006922189,0.0031055901,0,0,0.52,0.52
0.000589668,0.0031055901,0,0,0.53,0.53
0.000589668,0.0031055901,0,0,0.54,0.54
0.0005127548,0.002484472,0,0,0.55,0.55
0.0004742982,0.002484472,0,0,0.56,0.56
0.0004614793,0.002484472,0,0,0.57,0.57
0.0004102038,0.002484472,0,0,0.58,0.58
0.000397385,0.002484472,0,0,0.59,0.59
0.0003461095,0.002484472,0,0,0.6,0.6
0.0003076529,0.001863354,0,0,0.61,0.61
0.000294834,0.001863354,0,0,0.62,0.62
0.000294834,0.001863354,0,0,0.63,0.63
0.0002820151,0.001863354,0,0,0.64,0.64
0.0002691963,0.001863354,0,0,0.65,0.65
0.0002435585,0.000621118,0,0,0.66,0.66
0.0002435585,0.000621118,0,0,0.67,0.67
0.0002435585,0.000621118,0,0,0.68,0.68
0.0001666453,0.000621118,0,0,0.69,0.69
0.0001538264,0.000621118,0,0,0.7,0.7
0.0001538264,0.000621118,0,0,0.71,0.71
0.000102551,0.000621118,0,0,0.72,0.72
0.000102551,0.000621118,0,0,0.73,0.73
0.000102551,0.000621118,0,0,0.74,0.74
0.000102551,0.000621118,0,0,0.75,0.75
8.97321e-05,0.000621118,0,0,0.76,0.76
8.97321e-05,0.000621118,0,0,0.77,0.77
8.97321e-05,0.000621118,0,0,0.78,0.78
8.97321e-05,0.000621118,0,0,0.79,0.79
8.97321e-05,0.000621118,0,0,0.8,0.8
6.40943e-05,0.000621118,0,0,0.81,0.81
6.40943e-05,0.000621118,0,0,0.82,0.82
6.40943e-05,0.000621118,0,0,0.83,0.83
5.12755e-05,0.000621118,0,0,0.84,0.84
5.12755e-05,0.000621118,0,0,0.85,0.85
2.56377e-05,0.000621118,0,0,0.86,0.86
2.56377e-05,0.000621118,0,0,0.87,0.87
0.0,0.000621118,0,0,0.88,0.88
0.0,0.000621118,0,0,0.89,0.89
0.0,0.000621118,0,0,0.9,0.9
0.0,0.000621118,0,0,0.91,0.91
0.0,0.000621118,0,0,0.92,0.92
0.0,0.000621118,0,0,0.93,0.93
0.0,0.0,0,0,0.94,0.94
0.0,0.0,0,0,0.95,0.95
0.0,0.0,0,0,0.96,0.96
0.0,0.0,0,0,0.97,0.97
0.0,0.0,0,0,0.98,0.98
0.0,0.0,0,0,0.99,0.99
