"Predicted Probability, x; Observed Probability, x","Predicted Probability, y","Observed Probability, y",text,size
1786a7,463016,8ecd79,577e26,697255
1,0.9,1.1,Cluster : 1 (Size : 445)<br>eg Vector : 0.5|0.6000000000000001|1.0|0.0|0|0|0<br>Obs Prob : 1.1%<br>Pred Prob : 0.9%,44.5
2,0.9,0.8,Cluster : 2 (Size : 620)<br>eg Vector : 0.5|0.39999999999999997|1.0|0.0|0|0|0<br>Obs Prob : 0.8%<br>Pred Prob : 0.9%,62.0
3,1.0,2.0,Cluster : 3 (Size : 204)<br>eg Vector : 0.0|0.6000000000000001|1.0|0.0|0|0|0<br>Obs Prob : 2.0%<br>Pred Prob : 1.0%,20.4
4,1.0,0.0,Cluster : 4 (Size : 269)<br>eg Vector : 0.0|0.39999999999999997|1.0|0.0|0|0|0<br>Obs Prob : 0.0%<br>Pred Prob : 1.0%,26.9
5,1.1,1.2,Cluster : 5 (Size : 344)<br>eg Vector : 0.5|0.7999999999999999|1.0|0.0|0|0|0<br>Obs Prob : 1.2%<br>Pred Prob : 1.1%,34.4
6,1.1,1.0,Cluster : 6 (Size : 880)<br>eg Vector : 0.5|0.19999999999999998|1.0|0.0|0|0|0<br>Obs Prob : 1.0%<br>Pred Prob : 1.1%,88.0
7,1.2,1.1,Cluster : 7 (Size : 348)<br>eg Vector : 0.0|0.19999999999999998|1.0|0.0|0|0|0<br>Obs Prob : 1.1%<br>Pred Prob : 1.2%,34.8
8,1.2,0.7,Cluster : 8 (Size : 270)<br>eg Vector : 0.5|0.6000000000000001|0.875|0.1111...<br>Obs Prob : 0.7%<br>Pred Prob : 1.2%,27.0
9,1.2,0.3,Cluster : 9 (Size : 398)<br>eg Vector : 0.5|0.39999999999999997|0.875|0.111...<br>Obs Prob : 0.3%<br>Pred Prob : 1.2%,39.8
10,1.3,1.7,Cluster : 10 (Size : 297)<br>eg Vector : 0.0|0.39999999999999997|0.875|0.111...<br>Obs Prob : 1.7%<br>Pred Prob : 1.3%,29.7
11,1.3,1.0,Cluster : 11 (Size : 874)<br>eg Vector : 0.5|0.7999999999999999|0.375|0.0|0|0|0<br>Obs Prob : 1.0%<br>Pred Prob : 1.3%,87.4
12,1.3,1.0,Cluster : 12 (Size : 395)<br>eg Vector : 0.5|0.7999999999999999|0.5|0.0|0|0|0<br>Obs Prob : 1.0%<br>Pred Prob : 1.3%,39.5
13,1.3,1.0,Cluster : 13 (Size : 983)<br>eg Vector : 0.5|0.6000000000000001|0.375|0.0|0|0|0<br>Obs Prob : 1.0%<br>Pred Prob : 1.3%,98.3
14,1.3,2.3,Cluster : 14 (Size : 396)<br>eg Vector : 0.5|0.6000000000000001|0.5|0.0|0|0|0<br>Obs Prob : 2.3%<br>Pred Prob : 1.3%,39.6
15,1.4,1.5,Cluster : 15 (Size : 334)<br>eg Vector : 0.0|0.7999999999999999|1.0|0.0|0|0|0<br>Obs Prob : 1.5%<br>Pred Prob : 1.4%,33.4
16,1.4,1.6,Cluster : 16 (Size : 487)<br>eg Vector : 0.5|1.0|1.0|0.0|0|0|0<br>Obs Prob : 1.6%<br>Pred Prob : 1.4%,48.7
17,1.4,1.1,Cluster : 17 (Size : 466)<br>eg Vector : 0.0|0.7999999999999999|0.375|0.0|0|0|0<br>Obs Prob : 1.1%<br>Pred Prob : 1.4%,46.6
18,1.4,1.6,Cluster : 18 (Size : 494)<br>eg Vector : 0.0|0.6000000000000001|0.375|0.0|0|0|0<br>Obs Prob : 1.6%<br>Pred Prob : 1.4%,49.4
19,1.4,0.7,Cluster : 19 (Size : 803)<br>eg Vector : 0.5|1.0|0.375|0.0|0|0|0<br>Obs Prob : 0.7%<br>Pred Prob : 1.4%,80.3
20,1.4,2.5,Cluster : 20 (Size : 365)<br>eg Vector : 0.5|1.0|0.5|0.0|0|0|0<br>Obs Prob : 2.5%<br>Pred Prob : 1.4%,36.5
