" Source Coho..., x;  Matched Coh..., x"," Source Coho..., y"," Matched Coh..., y",Base Cohort
e495db,c7a7be,14102d,356883
0.0,1,1,0.0
0.01,1,1,0.01
0.02,2,2,0.02
0.03,9,9,0.03
0.04,8,8,0.04
0.05,8,8,0.05
0.06,3,3,0.06
0.07,10,10,0.07
0.08,3,3,0.08
0.09,7,7,0.09
0.11,6,6,0.1
0.12,4,4,0.11
0.13,4,4,0.12
0.14,3,3,0.13
0.15,3,3,0.14
0.16,8,8,0.15
0.17,6,6,0.16
0.18,2,2,0.17
0.19,9,8,0.18
0.2,1,1,0.19
0.21,2,2,0.2
0.22,4,5,0.21
0.23,2,2,0.22
0.24,7,7,0.23
0.25,5,5,0.24
0.26,8,8,0.25
0.27,1,1,0.26
0.28,13,13,0.27
0.29,2,2,0.28
0.3,5,5,0.29
0.31,1,1,0.3
0.32,5,5,0.31
0.33,2,2,0.32
0.34,7,7,0.33
0.35,13,13,0.34
0.36,17,17,0.35
0.37,25,25,0.36
0.38,35,35,0.37
0.39,35,35,0.38
0.4,22,22,0.39
0.41,38,38,0.4
0.42,25,25,0.41
0.43,12,12,0.42
0.44,12,12,0.43
0.45,10,11,0.44
0.46,23,23,0.45
0.47,26,26,0.46
0.48,33,33,0.47
0.49,22,22,0.48
0.5,35,34,0.49
0.51,18,18,0.5
0.52,26,26,0.51
0.53,28,28,0.52
0.54,15,15,0.53
0.55,15,15,0.54
0.56,1,1,0.55
0.57,22,22,0.56
0.58,23,23,0.57
0.59,28,29,0.58
0.6,38,38,0.59
0.61,37,37,0.6
0.62,31,31,0.61
0.63,11,11,0.62
0.64,37,37,0.63
0.65,17,17,0.64
0.66,17,17,0.65
0.67,18,18,0.66
0.68,8,9,0.67
0.69,27,27,0.68
0.7,20,20,0.69
0.71,30,30,0.7
0.72,35,35,0.71
0.73,31,31,0.72
0.74,25,25,0.73
0.75,31,31,0.74
0.76,26,26,0.75
0.77,20,20,0.76
0.78,20,20,0.77
0.79,23,23,0.78
0.8,38,38,0.79
0.81,37,37,0.8
0.82,26,26,0.81
0.83,75,75,0.82
0.84,22,22,0.83
0.85,61,60,0.84
0.86,12,12,0.85
0.87,39,39,0.86
0.88,31,31,0.87
0.89,19,19,0.88
0.9,22,22,0.89
0.91,35,35,0.9
0.92,52,52,0.91
0.93,24,24,0.92
0.94,46,46,0.93
0.95,58,58,0.94
0.96,49,48,0.95
0.97,83,83,0.96
0.98,8,8,0.97
0.99,40,40,0.98
1.0,15,15,0.99
