"Predicted Probability, x; Observed Probability, x","Predicted Probability, y","Observed Probability, y",text,size
9d8cbe,5bd8f0,f9dbb0,bab22b,6e59e5
1,0.0,1.3,Cluster : 1 (Size : 238)<br>eg Vector : 1.0|0.75|1|0|0|0|0|1<br>Obs Prob : 1.3%<br>Pred Prob : 0.0%,23.8
2,0.0,4.5,Cluster : 2 (Size : 200)<br>eg Vector : 0.0|0.625|0|0|0|0|1|1<br>Obs Prob : 4.5%<br>Pred Prob : 0.0%,20.0
3,0.0,2.8,Cluster : 3 (Size : 211)<br>eg Vector : 1.0|0.875|0|0|0|0|1|1<br>Obs Prob : 2.8%<br>Pred Prob : 0.0%,21.1
4,0.0,0.0,Cluster : 4 (Size : 226)<br>eg Vector : 1.0|0.75|1|0|0|0|1|0<br>Obs Prob : 0.0%<br>Pred Prob : 0.0%,22.6
5,0.0,0.5,Cluster : 5 (Size : 203)<br>eg Vector : 0.0|0.25|0|0|0|0|1|1<br>Obs Prob : 0.5%<br>Pred Prob : 0.0%,20.3
6,0.0,1.2,Cluster : 6 (Size : 250)<br>eg Vector : 1.0|0.5|0|0|0|0|1|1<br>Obs Prob : 1.2%<br>Pred Prob : 0.0%,25.0
7,0.2,0.6,Cluster : 7 (Size : 362)<br>eg Vector : 0.0|0.875|0|0|0|1|0|0<br>Obs Prob : 0.6%<br>Pred Prob : 0.2%,36.2
8,0.2,0.6,Cluster : 8 (Size : 886)<br>eg Vector : 0.0|0.625|0|0|0|1|0|0<br>Obs Prob : 0.6%<br>Pred Prob : 0.2%,88.6
9,0.2,0.5,Cluster : 9 (Size : 407)<br>eg Vector : 0.0|0.25|1|0|0|0|0|0<br>Obs Prob : 0.5%<br>Pred Prob : 0.2%,40.7
10,0.2,0.1,Cluster : 10 (Size : 2295)<br>eg Vector : 1.0|0.25|0|0|0|1|0|0<br>Obs Prob : 0.1%<br>Pred Prob : 0.2%,229.5
11,0.2,0.0,Cluster : 11 (Size : 453)<br>eg Vector : 1.0|0.875|0|0|0|1|0|0<br>Obs Prob : 0.0%<br>Pred Prob : 0.2%,45.3
12,0.2,0.0,Cluster : 12 (Size : 489)<br>eg Vector : 0.0|0.0|0|0|0|1|0|0<br>Obs Prob : 0.0%<br>Pred Prob : 0.2%,48.9
13,0.2,0.0,Cluster : 13 (Size : 996)<br>eg Vector : 0.0|0.125|0|0|0|1|0|0<br>Obs Prob : 0.0%<br>Pred Prob : 0.2%,99.6
14,0.2,0.4,Cluster : 14 (Size : 1113)<br>eg Vector : 1.0|0.75|0|0|0|1|0|0<br>Obs Prob : 0.4%<br>Pred Prob : 0.2%,111.3
15,0.2,0.0,Cluster : 15 (Size : 468)<br>eg Vector : 1.0|0.0|0|0|0|1|0|0<br>Obs Prob : 0.0%<br>Pred Prob : 0.2%,46.8
16,0.2,0.0,Cluster : 16 (Size : 1008)<br>eg Vector : 1.0|0.125|0|0|0|1|0|0<br>Obs Prob : 0.0%<br>Pred Prob : 0.2%,100.8
17,0.2,0.2,Cluster : 17 (Size : 576)<br>eg Vector : 0.0|0.75|0|0|0|1|0|0<br>Obs Prob : 0.2%<br>Pred Prob : 0.2%,57.6
18,0.2,0.1,Cluster : 18 (Size : 1409)<br>eg Vector : 1.0|0.625|0|0|0|1|0|0<br>Obs Prob : 0.1%<br>Pred Prob : 0.2%,140.9
19,0.2,0.0,Cluster : 19 (Size : 1267)<br>eg Vector : 0.0|0.25|0|0|0|1|0|0<br>Obs Prob : 0.0%<br>Pred Prob : 0.2%,126.7
20,0.2,0.1,Cluster : 20 (Size : 1875)<br>eg Vector : 1.0|0.375|0|0|0|1|0|0<br>Obs Prob : 0.1%<br>Pred Prob : 0.2%,187.5
21,0.2,0.1,Cluster : 21 (Size : 1491)<br>eg Vector : 1.0|0.5|0|0|0|1|0|0<br>Obs Prob : 0.1%<br>Pred Prob : 0.2%,149.1
22,0.2,0.3,Cluster : 22 (Size : 776)<br>eg Vector : 0.0|0.5|0|0|0|1|0|0<br>Obs Prob : 0.3%<br>Pred Prob : 0.2%,77.6
23,0.2,0.2,Cluster : 23 (Size : 876)<br>eg Vector : 0.0|0.375|0|0|0|1|0|0<br>Obs Prob : 0.2%<br>Pred Prob : 0.2%,87.6
24,0.4,0.0,Cluster : 24 (Size : 626)<br>eg Vector : 1.0|0.25|1|0|0|0|0|0<br>Obs Prob : 0.0%<br>Pred Prob : 0.4%,62.6
25,0.4,0.0,Cluster : 25 (Size : 693)<br>eg Vector : 0.0|0.375|1|0|0|0|0|0<br>Obs Prob : 0.0%<br>Pred Prob : 0.4%,69.3
26,0.4,0.3,Cluster : 26 (Size : 332)<br>eg Vector : 1.0|1.0|0|0|0|0|1|0<br>Obs Prob : 0.3%<br>Pred Prob : 0.4%,33.2
27,0.4,0.2,Cluster : 27 (Size : 650)<br>eg Vector : 0.0|0.0|0|0|0|0|1|0<br>Obs Prob : 0.2%<br>Pred Prob : 0.4%,65.0
28,0.4,0.8,Cluster : 28 (Size : 1073)<br>eg Vector : 1.0|0.875|1|0|0|0|0|0<br>Obs Prob : 0.8%<br>Pred Prob : 0.4%,107.3
29,0.4,0.9,Cluster : 29 (Size : 1290)<br>eg Vector : 1.0|0.875|0|0|0|0|1|0<br>Obs Prob : 0.9%<br>Pred Prob : 0.4%,129.0
