"Max Distance Metric, x; GENDER, x; AGEGROUP, x; HEPATITIS BC, x; TUBERCULOSIS, x; HIV, x; TACROLIMUS, x; AZATHIOPRINE, x; L1 Balance Metric, x; Pruning Level, x","Max Distance Metric, y","GENDER, y","AGEGROUP, y","HEPATITIS BC, y; TUBERCULOSIS, y; HIV, y; TACROLIMUS, y; AZATHIOPRINE, y","L1 Balance Metric, y","Pruning Level, y","Trace 10, x; Trace 11, x; Trace 12, x","Trace 10, y","Trace 11, y","Trace 12, y"
cf614a,9f1b94,402598,766836,be5a22,3e16c6,3e3204,8eedf5,21bbac,c59e73,4702db
20632,0,0,0,0,0,0.0050135248,20825,0.0,-0.005333321,0.0
20633,0,0,0,0,0,0.0050135248,20825,0.0020054099,-0.0052069617,0.0001094575
20634,0,0,0,0,0,0.0050135248,20825,0.0040108198,-0.0050806025,0.000218915
20635,0,0,0,0,0,0.0050135248,20825,0.0060162298,-0.0049542433,0.0003283725
20636,0,0,0,0,0,0.0050135248,20825,0.0080216397,-0.004827884,0.0004378301
20637,0,0,0,0,0,0.0050135248,20825,0.0100270496,-0.0047015248,0.0005472876
20638,0,0,0,0,0,0.0050135248,20825,0.0120324595,-0.0045751655,0.0006567451
20639,0,0,0,0,0,0.0050135248,20825,0.0140378694,-0.0044488063,0.0007662026
20640,0,0,0,0,0,0.0050135248,20825,0.0160432794,-0.0043224471,0.0008756601
20641,0,0,0,0,0,0.0050135248,20825,0.0180486893,-0.0041960878,0.0009851176
20642,0,0,0,0,0,0.0050135248,20825,0.0200540992,-0.0040697286,0.0010945751
20643,0,0,0,0,0,0.0050135248,20825,0.0220595091,-0.0039433693,0.0012040326
20644,0,0,0,0,0,0.0050135248,20825,0.024064919,-0.0038170101,0.0013134902
20645,0,0,0,0,0,0.0050135248,20825,0.026070329,-0.0036906508,0.0014229477
20646,0,0,0,0,0,0.0050135248,20825,0.0280757389,-0.0035642916,0.0015324052
20647,0,0,0,0,0,0.0050135248,20825,0.0300811488,-0.0034379324,0.0016418627
20648,0,0,0,0,0,0.0050135248,20825,0.0320865587,-0.0033115731,0.0017513202
20649,0,0,0,0,0,0.0050135248,20825,0.0340919686,-0.0031852139,0.0018607777
20650,0,0,0,0,0,0.0050135248,20825,0.0360973786,-0.0030588546,0.0019702352
20651,0,0,0,0,0,0.0050135248,20825,0.0381027885,-0.0029324954,0.0020796928
20652,0,0,0,0,0,0.0050135248,20825,0.0401081984,-0.0028061362,0.0021891503
20653,0,0,0,0,0,0.0050135248,20825,0.0421136083,-0.0026797769,0.0022986078
20654,0,0,0,0,0,0.0050135248,20825,0.0441190182,-0.0025534177,0.0024080653
20655,0,0,0,0,0,0.0050135248,20825,0.0461244282,-0.0024270584,0.0025175228
20656,0,0,0,0,0,0.0050135248,20825,0.0481298381,-0.0023006992,0.0026269803
20657,0,0,0,0,0,0.0050135248,20825,0.050135248,-0.0021743399,0.0027364378
20658,0,0,0,0,0,0.0050135248,20825,0.0521406579,-0.0020479807,0.0028458953
20659,0,0,0,0,0,0.0050135248,20825,0.0541460678,-0.0019216215,0.0029553529
20660,0,0,0,0,0,0.0050135248,20825,0.0561514778,-0.0017952622,0.0030648104
20661,0,0,0,0,0,0.0050135248,20825,0.0581568877,-0.001668903,0.0031742679
20662,0,0,0,0,0,0.0050135248,20825,0.0601622976,-0.0015425437,0.0032837254
20663,0,0,0,0,0,0.0050135248,20825,0.0621677075,-0.0014161845,0.0033931829
20664,0,0,0,0,0,0.0050135248,20825,0.0641731174,-0.0012898252,0.0035026404
20665,0,0,0,0,0,0.0050135248,20825,0.0661785273,-0.001163466,0.0036120979
20666,0,0,0,0,0,0.0050135248,20825,0.0681839373,-0.0010371068,0.0037215554
20667,0,0,0,0,0,0.0050135248,20825,0.0701893472,-0.0009107475,0.003831013
20668,0,0,0,0,0,0.0050135248,20825,0.0721947571,-0.0007843883,0.0039404705
20669,0,0,0,0,0,0.0050135248,20825,0.074200167,-0.000658029,0.004049928
20670,0,0,0,0,0,0.0050135248,20825,0.0762055769,-0.0005316698,0.0041593855
20671,0,0,0,0,0,0.0050135248,20825,0.0782109869,-0.0004053106,0.004268843
20672,0,0,0,0,0,0.0050135248,20825,0.0802163968,-0.0002789513,0.0043783005
20673,0,0,0,0,0,0.0050135248,20825,0.0822218067,-0.0001525921,0.004487758
20674,0,0,0,0,0,0.0050135248,20825,0.0842272166,-2.62328e-05,0.0045972156
20675,0,0,0,0,0,0.0050135248,20825,0.0862326265,0.0001001264,0.0047066731
20676,0,0,0,0,0,0.0050135248,20825,0.0882380365,0.0002264857,0.0048161306
20677,0,0,0,0,0,0.0050135248,20825,0.0902434464,0.0003528449,0.0049255881
20678,0,0,0,0,0,0.0050135248,20825,0.0922488563,0.0004792041,0.0050350456
20679,0,0,0,0,0,0.0050135248,20825,0.0942542662,0.0006055634,0.0051445031
20680,0,0,0,0,0,0.0050135248,20825,0.0962596761,0.0007319226,0.0052539606
20681,0,0,0,0,0,0.0050135248,20825,0.0982650861,0.0008582819,0.0053634181
20682,0,0.0,0.0,0.0,0,0.0050135248,,,,
20683,0.0019016838,0.0,-3.47573e-05,0.0,4.83489e-05,0.0050135248,,,,
20684,0.0019016838,0.0,-6.94955e-05,0.0,9.66931e-05,0.0050135248,,,,
20685,0.0019016838,0.0,-0.0001042146,0.0,0.0001450326,0.0050135248,,,,
20686,0.0019016838,0.0,-0.0001389146,0.0,0.0001933675,0.0050135248,,,,
20687,0.0019016838,0.0,-0.0001735956,0.0,0.0002416977,0.0050135248,,,,
20688,0.0019016838,0.0,-0.0002082576,0.0,0.0002900232,0.0050135248,,,,
20689,0.0019016838,0.0,-0.0002429005,0.0,0.000338344,0.0050135248,,,,
20690,0.0019016838,0.0,-0.0002775245,0.0,0.0003866602,0.0050135248,,,,
20691,0.0019016838,0.0,-0.0003121295,0.0,0.0004349717,0.0050135248,,,,
20692,0.0019016838,0.0,-0.0003467155,0.0,0.0004832786,0.0050135248,,,,
20693,0.0019016838,0.0,-0.0003812827,0.0,0.0005315807,0.0050135248,,,,
20694,0.0019016838,0.0,-0.000415831,0.0,0.0005798782,0.0050135248,,,,
20695,0.0019016838,0.0,-0.0004503604,0.0,0.0006281711,0.0050135248,,,,
20696,0.0019016838,0.0,-0.000484871,0.0,0.0006764592,0.0050135248,,,,
20697,0.0024012299,0.0,-0.0005193627,0.0,0.0007247427,0.0050135248,,,,
20698,0.0024012299,0.0,-0.0005538357,0.0,0.0007730215,0.0050135248,,,,
20699,0.0024012299,0.0,-0.0005882899,0.0,0.0008212957,0.0050135248,,,,
20700,0.0024012299,0.0,-0.0006227253,0.0,0.0008695652,0.0050135248,,,,
20701,0.0024012299,0.0,-0.000657142,0.0,0.0009178301,0.0050135248,,,,
20702,0.0024012299,0.0,-0.00069154,0.0,0.0009660902,0.0050135248,,,,
20703,0.0024012299,0.0,-0.0007259193,0.0,0.0010143457,0.0050135248,,,,
20704,0.0024012299,0.0,-0.00076028,0.0,0.0010625966,0.0050135248,,,,
20705,0.0024012299,0.0,-0.0007946221,0.0,0.0011108428,0.0050135248,,,,
20706,0.0024012299,0.0,-0.0008289455,0.0,0.0011590843,0.0050135248,,,,
20707,0.0024012299,0.0,-0.0008632503,0.0,0.0012073212,0.0050135248,,,,
20708,0.0024012299,0.0,-0.0008975366,0.0,0.0012555534,0.0050135248,,,,
20709,0.0024012299,0.0,-0.0009318043,0.0,0.001303781,0.0050135248,,,,
20710,0.0024012299,0.0,-0.0009660536,0.0,0.0013520039,0.0050135248,,,,
20711,0.0024012299,0.0,-0.0010002843,0.0,0.0014002221,0.0050135248,,,,
20712,0.0024012299,0.0,-0.0010344965,0.0,0.0014484357,0.0050135248,,,,
20713,0.0024012299,0.0,-0.0010686903,0.0,0.0014966446,0.0050135248,,,,
20714,0.0024012299,0.0,-0.0011028656,0.0,0.0015448489,0.0050135248,,,,
20715,0.0024012299,0.0,-0.0011370226,0.0,0.0015930485,0.0050135248,,,,
20716,0.0024012299,0.0,-0.0011711611,0.0,0.0016412435,0.0050135248,,,,
20717,0.0024012299,0.0,-0.0012052813,0.0,0.0016894338,0.0050135248,,,,
20718,0.0024012299,0.0,-0.0012393832,0.0,0.0017376195,0.0050135248,,,,
20719,0.0024012299,0.0,-0.0012734667,0.0,0.0017858005,0.0050135248,,,,
20720,0.0024012299,0.0,-0.001307532,0.0,0.0018339768,0.0050135248,,,,
20721,0.0024012299,0.0,-0.0013415789,0.0,0.0018821485,0.0050135248,,,,
20722,0.0024012299,0.0,-0.0013756077,0.0,0.0019303156,0.0050135248,,,,
20723,0.0024012299,0.0,-0.0014096181,0.0,0.001978478,0.0050135248,,,,
20724,0.0024012299,0.0,-0.0014436104,0.0,0.0020266358,0.0050135248,,,,
20725,0.0024012299,0.0,-0.0014775845,0.0,0.0020747889,0.0050135248,,,,
20726,0.0024012299,0.0,-0.0015115404,0.0,0.0021229374,0.0050135248,,,,
20727,0.0024012299,0.0,-0.0015454782,0.0,0.0021710812,0.0050135248,,,,
20728,0.0024012299,0.0,-0.0015793979,0.0,0.0022192204,0.0050135248,,,,
20729,0.0024012299,0.0,-0.0016132994,0.0,0.0022673549,0.0050135248,,,,
20730,0.0024012299,0.0,-0.0016471829,0.0,0.0023154848,0.0050135248,,,,
20731,0.0024330084,0.0,-0.0016812102,0.0,0.0023153731,0.0050135248,,,,
20732,0.0024330084,0.0,-0.0017152257,0.0,0.0023152614,0.0050135248,,,,
20733,0.0024330084,0.0,-0.0017492297,0.0,0.0023151498,0.0050135248,,,,
20734,0.0024330084,0.0,-0.001783222,0.0,0.0023150381,0.0050135248,,,,
20735,0.0024330084,0.0,-0.0018172027,0.0,0.0023149265,0.0050135248,,,,
20736,0.0024330084,0.0,-0.0018511718,0.0,0.0023148148,0.0050135248,,,,
20737,0.0024330084,0.0,-0.0018851293,0.0,0.0023147032,0.0050135248,,,,
20738,0.0024330084,0.0,-0.0019190752,0.0,0.0023145916,0.0050135248,,,,
20739,0.0024330084,0.0,-0.0019530095,0.0,0.00231448,0.0050135248,,,,
20740,0.0024330084,0.0,-0.0019869322,0.0,0.0023143684,0.0050135248,,,,
20741,0.0024330084,0.0,-0.0020208434,0.0,0.0023142568,0.0050135248,,,,
20742,0.0024330084,0.0,-0.002054743,0.0,0.0023141452,0.0050135248,,,,
20743,0.0024330084,0.0,-0.0020886311,0.0,0.0023140336,0.0050135248,,,,
20744,0.0024330084,0.0,-0.0021225076,0.0,0.0023139221,0.0050135248,,,,
20745,0.0024330084,0.0,-0.0021563726,0.0,0.0023138106,0.0050135248,,,,
20746,0.0024330084,0.0,-0.002190226,0.0,0.002313699,0.0050135248,,,,
20747,0.0024330084,0.0,-0.002224068,0.0,0.0023135875,0.0050135248,,,,
20748,0.0024330084,0.0,-0.0022578984,0.0,0.002313476,0.0050135248,,,,
20749,0.0024330084,0.0,-0.0022917174,0.0,0.0023133645,0.0050135248,,,,
20750,0.0024330084,0.0,-0.0023255249,0.0,0.002313253,0.0050135248,,,,
20751,0.0024330084,0.0,-0.0023593209,0.0,0.0023131415,0.0050135248,,,,
20752,0.0024330084,0.0,-0.0023931054,0.0,0.0023130301,0.0050135248,,,,
20753,0.0024330084,0.0,-0.0024268784,0.0,0.0023129186,0.0050135248,,,,
20754,0.0024330084,0.0,-0.00246064,0.0,0.0023128072,0.0050135248,,,,
20755,0.0024330084,0.0,-0.0024943902,0.0,0.0023126957,0.0050135248,,,,
20756,0.0024330084,0.0,-0.0025281289,0.0,0.0023125843,0.0050135248,,,,
20757,0.0024330084,0.0,-0.0025618562,0.0,0.0023124729,0.0050135248,,,,
20758,0.0024330084,0.0,-0.0025955721,0.0,0.0023123615,0.0050135248,,,,
20759,0.0024330084,0.0,-0.0026292766,0.0,0.0023122501,0.0050135248,,,,
20760,0.0024330084,0.0,-0.0026629697,0.0,0.0023121387,0.0050135248,,,,
20761,0.0024330084,0.0,-0.0026966514,0.0,0.0023120274,0.0050135248,,,,
20762,0.0024330084,0.0,-0.0027303217,0.0,0.002311916,0.0050135248,,,,
20763,0.0024330084,0.0,-0.0027639806,0.0,0.0023118047,0.0050135248,,,,
20764,0.0024330084,0.0,-0.0027976282,0.0,0.0023116933,0.0050135248,,,,
20765,0.0024330084,0.0,-0.0028312644,0.0,0.0023597399,0.0050135248,,,,
20766,0.0024330084,0.0,-0.0028648893,0.0,0.002407782,0.0050135248,,,,
20767,0.0024330084,0.0,-0.0028985028,0.0,0.0024558193,0.0050135248,,,,
20768,0.0024330084,0.0,-0.0029321051,0.0,0.0025038521,0.0050135248,,,,
20769,0.0024330084,0.0,-0.0029656959,0.0,0.0025518802,0.0050135248,,,,
20770,0.0024330084,0.0,-0.0029992755,0.0,0.0025999037,0.0050135248,,,,
20771,0.0024330084,0.0,-0.0030328438,0.0,0.0026479226,0.0050135248,,,,
20772,0.0024330084,0.0,-0.0030664007,0.0,0.0026959368,0.0050135248,,,,
20773,0.0024330084,0.0,-0.0030999464,0.0,0.0027439465,0.0050135248,,,,
20774,0.0024330084,0.0,-0.0031334808,0.0,0.0027919515,0.0050135248,,,,
20775,0.0024330084,0.0,-0.003167004,0.0,0.0028399519,0.0050135248,,,,
20776,0.0024330084,0.0,-0.0032005158,0.0,0.0028879476,0.0050135248,,,,
20777,0.0024330084,0.0,-0.0032340165,0.0,0.0029359388,0.0050135248,,,,
20778,0.0024330084,0.0,-0.0032675058,0.0,0.0029839253,0.0050135248,,,,
20779,0.0024330084,0.0,-0.003300984,0.0,0.0030319072,0.0050135248,,,,
20780,0.0024330084,0.0,-0.0033344509,0.0,0.0030798845,0.0050135248,,,,
20781,0.0024330084,0.0,-0.0033679066,0.0,0.0031278572,0.0050135248,,,,
20782,0.0024330084,0.0,-0.0034013511,0.0,0.0031758252,0.0050135248,,,,
20783,0.0024330084,0.0,-0.0034347844,0.0,0.0032237887,0.0050135248,,,,
20784,0.0024330084,0.0,-0.0034682065,0.0,0.0032717475,0.0050135248,,,,
20785,0.0024330084,0.0,-0.0035016174,0.0,0.0033197017,0.0050135248,,,,
20786,0.0024330084,0.0,-0.0035350171,0.0,0.0033676513,0.0050135248,,,,
20787,0.0024330084,0.0,-0.0035684057,0.0,0.0034155963,0.0050135248,,,,
20788,0.0024330084,0.0,-0.0036017831,0.0,0.0034635367,0.0050135248,,,,
20789,0.0024330084,0.0,-0.0036351494,0.0,0.0035114724,0.0050135248,,,,
20790,0.0024330084,0.0,-0.0036685045,0.0,0.0035594036,0.0050135248,,,,
20791,0.0024330084,0.0,-0.0037018485,0.0,0.0036073301,0.0050135248,,,,
20792,0.0024330084,0.0,-0.0037351813,0.0,0.003655252,0.0050135248,,,,
20793,0.0024330084,0.0,-0.0037685031,0.0,0.0037031693,0.0050135248,,,,
20794,0.0024330084,0.0,-0.0038018137,0.0,0.003751082,0.0050135248,,,,
20795,0.0024330084,0.0,-0.0038351132,0.0,0.0037989901,0.0050135248,,,,
20796,0.0024330084,0.0,-0.0038684017,0.0,0.0038468936,0.0050135248,,,,
20797,0.0024330084,0.0,-0.003901679,0.0,0.0038947925,0.0050135248,,,,
20798,0.0024330084,0.0,-0.0039349453,0.0,0.0039426868,0.0050135248,,,,
20799,0.0024330084,0.0,-0.0039682005,0.0,0.0039905765,0.0050135248,,,,
20800,0.0024330084,0.0,-0.0040014447,0.0,0.0040384615,0.0050135248,,,,
20801,0.0024330084,0.0,-0.0040346778,0.0,0.004086342,0.0050135248,,,,
20802,0.0024330084,0.0,-0.0040678999,0.0,0.0041342179,0.0050135248,,,,
20803,0.0024330084,0.0,-0.0041011109,0.0,0.0041820891,0.0050135248,,,,
20804,0.0024330084,0.0,-0.0041343109,0.0,0.0042299558,0.0050135248,,,,
20805,0.0024330084,0.0,-0.0041674999,0.0,0.0042778178,0.0050135248,,,,
20806,0.0024330084,0.0,-0.0042006779,0.0,0.0043256753,0.0050135248,,,,
20807,0.0024330084,0.0,-0.0042338449,0.0,0.0043735281,0.0050135248,,,,
20808,0.0024330084,0.0,-0.0042670009,0.0,0.0044213764,0.0050135248,,,,
20809,0.0024330084,0.0,-0.0043001459,0.0,0.00446922,0.0050135248,,,,
20810,0.0024330084,0.0,-0.0043332799,0.0,0.0045170591,0.0050135248,,,,
20811,0.0024330084,0.0,-0.004366403,0.0,0.0045648936,0.0050135248,,,,
20812,0.0024330084,0.0,-0.0043995151,0.0,0.0046127234,0.0050135248,,,,
20813,0.0024330084,0.0,-0.0044326162,0.0,0.0046605487,0.0050135248,,,,
20814,0.0024330084,0.0,-0.0044657064,0.0,0.0047083694,0.0050135248,,,,
20815,0.0024330084,0.0,-0.0044987857,0.0,0.0047561854,0.0050135248,,,,
20816,0.0024330084,0.0,-0.0045318541,0.0,0.0048039969,0.0050135248,,,,
20817,0.0024330084,0.0,-0.0045649115,0.0,0.0048518038,0.0050135248,,,,
20818,0.0024330084,0.0,-0.004597958,0.0,0.0048996061,0.0050135248,,,,
20819,0.0024330084,0.0,-0.0046309937,0.0,0.0049474038,0.0050135248,,,,
20820,0.0024330084,0.0,-0.0046640184,0.0,0.0049951969,0.0050135248,,,,
20821,0.0024330084,0.0,-0.0046970322,0.0,0.0050429854,0.0050135248,,,,
20822,0.0024330084,0.0,-0.0047300352,0.0,0.0050907694,0.0050135248,,,,
20823,0.0024330084,0.0,-0.0047630273,0.0,0.0051385487,0.0050135248,,,,
20824,0.0024330084,0.0,-0.0047960085,0.0,0.0051863235,0.0050135248,,,,
20825,0.0024330084,0.0,-0.0048289789,0.0,0.0052340936,0.0050135248,,,,
20826,0.0929233617,0.0001971799,-0.0049636335,0.0,0.0052818592,0.0050135248,,,,
20827,0.0965806909,0.0003942338,-0.0050645274,0.0,0.0053296202,0.0050135248,,,,
20828,0.0965806909,0.0005911618,-0.0051654053,0.0,0.0053773766,0.0050135248,,,,
20829,0.0965806909,0.0007879642,-0.0052662671,0.0,0.0054251284,0.0050135248,,,,
20830,0.100270496,0.0009846411,-0.005333321,0.0,0.0054728757,0.0050135248,,,,
