" Source Coho..., x"," Source Coho..., y"," Matched Coh..., x"," Matched Coh..., y",Base Cohort
581719,0b123d,ef20aa,083f16,5fb6cd
0.0,1,0.0,1,0.0
0.012,6,0.013,6,0.01
0.025,2,0.025,3,0.02
0.037,1,0.076,1,0.03
0.074,1,0.089,86,0.04
0.086,63,0.101,87,0.05
0.099,85,0.114,20,0.06
0.111,45,0.127,8,0.07
0.123,6,0.139,54,0.08
0.136,41,0.152,235,0.09
0.148,153,0.165,90,0.1
0.16,187,0.177,52,0.11
0.173,39,0.19,2,0.12
0.185,15,0.215,330,0.13
0.222,2087,0.228,5008,0.14
0.235,5356,0.241,7691,0.15
0.247,9077,0.253,5394,0.16
0.259,2449,0.266,1111,0.17
0.272,637,0.278,120,0.18
0.284,48,0.823,6,0.19
0.815,4,0.835,4,0.2
0.827,2,0.873,7,0.21
0.84,4,0.886,9,0.22
0.864,4,0.899,1,0.23
0.877,3,0.911,1,0.24
0.889,10,0.949,43,0.25
0.901,1,0.962,192,0.26
0.938,4,0.975,168,0.27
0.951,39,0.987,85,0.28
0.963,261,1.0,10,0.29
0.975,99,,,0.3
0.988,85,,,0.31
1.0,10,,,0.32
