z[0],z[1],z[2],z[3],z[4],z[5],z[6],z[7],z[8],text[0],text[1],text[2],text[3],text[4],text[5],text[6],text[7],text[8]
ca119f,c6ba38,39ee79,55937a,f97067,c39fe5,20e55f,fcbd1b,7ada82,7b9a69,fe95bd,865a21,249c6d,4da9b5,689cd0,975cf1,0c508e,4a2802
1.0,0.0157392055,0.0360786819,0.0,0.0034737794,0.0444888566,-0.0340296182,0.0189946836,-0.0630113352,x: GENDER<br>y: GENDER<br>Correlation: 1.00000,x: AGEGROUP<br>y: GENDER<br>Correlation: 0.01574,x: TUMOUR NECROSIS FACTOR PRODUCTS<br>y: GENDER<br>Correlation: 0.03608,x: INTESTINAL OBSTRUCTION<br>y: GENDER<br>Correlation: 0.00000,x: HEPATITIS BC<br>y: GENDER<br>Correlation: 0.00347,x: TUBERCULOSIS<br>y: GENDER<br>Correlation: 0.04449,x: TACROLIMUS<br>y: GENDER<br>Correlation: -0.03403,x: AZATHIOPRINE<br>y: GENDER<br>Correlation: 0.01899,x: COLOSTOMY / ILEOSTOMY<br>y: GENDER<br>Correlation: -0.06301
0.0157392055,1.0,0.146271006,0.0,0.0096631811,-0.2422705124,-0.1090177538,0.0678938306,0.2096863404,x: GENDER<br>y: AGEGROUP<br>Correlation: 0.01574,x: AGEGROUP<br>y: AGEGROUP<br>Correlation: 1.00000,x: TUMOUR NECROSIS FACTOR PRODUCTS<br>y: AGEGROUP<br>Correlation: 0.14627,x: INTESTINAL OBSTRUCTION<br>y: AGEGROUP<br>Correlation: 0.00000,x: HEPATITIS BC<br>y: AGEGROUP<br>Correlation: 0.00966,x: TUBERCULOSIS<br>y: AGEGROUP<br>Correlation: -0.24227,x: TACROLIMUS<br>y: AGEGROUP<br>Correlation: -0.10902,x: AZATHIOPRINE<br>y: AGEGROUP<br>Correlation: 0.06789,x: COLOSTOMY / ILEOSTOMY<br>y: AGEGROUP<br>Correlation: 0.20969
0.0360786819,0.146271006,1.0,0.0,-0.0267924212,-0.204147723,-0.3444962879,-0.1723064881,-0.1759280676,x: GENDER<br>y: TUMOUR NECROSIS FACTOR PRODUCTS<br>Correlation: 0.03608,x: AGEGROUP<br>y: TUMOUR NECROSIS FACTOR PRODUCTS<br>Correlation: 0.14627,x: TUMOUR NECROSIS FACTOR PRODUCTS<br>y: TUMOUR NECROSIS FACTOR PRODUCTS<br>Correlation: 1.00000,x: INTESTINAL OBSTRUCTION<br>y: TUMOUR NECROSIS FACTOR PRODUCTS<br>Correlation: 0.00000,x: HEPATITIS BC<br>y: TUMOUR NECROSIS FACTOR PRODUCTS<br>Correlation: -0.02679,x: TUBERCULOSIS<br>y: TUMOUR NECROSIS FACTOR PRODUCTS<br>Correlation: -0.20415,x: TACROLIMUS<br>y: TUMOUR NECROSIS FACTOR PRODUCTS<br>Correlation: -0.34450,x: AZATHIOPRINE<br>y: TUMOUR NECROSIS FACTOR PRODUCTS<br>Correlation: -0.17231,x: COLOSTOMY / ILEOSTOMY<br>y: TUMOUR NECROSIS FACTOR PRODUCTS<br>Correlation: -0.17593
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,x: GENDER<br>y: INTESTINAL OBSTRUCTION<br>Correlation: 0.00000,x: AGEGROUP<br>y: INTESTINAL OBSTRUCTION<br>Correlation: 0.00000,x: TUMOUR NECROSIS FACTOR PRODUCTS<br>y: INTESTINAL OBSTRUCTION<br>Correlation: 0.00000,x: INTESTINAL OBSTRUCTION<br>y: INTESTINAL OBSTRUCTION<br>Correlation: 0.00000,x: HEPATITIS BC<br>y: INTESTINAL OBSTRUCTION<br>Correlation: 0.00000,x: TUBERCULOSIS<br>y: INTESTINAL OBSTRUCTION<br>Correlation: 0.00000,x: TACROLIMUS<br>y: INTESTINAL OBSTRUCTION<br>Correlation: 0.00000,x: AZATHIOPRINE<br>y: INTESTINAL OBSTRUCTION<br>Correlation: 0.00000,x: COLOSTOMY / ILEOSTOMY<br>y: INTESTINAL OBSTRUCTION<br>Correlation: 0.00000
0.0034737794,0.0096631811,-0.0267924212,0.0,1.0,-0.025798613,-0.0442591497,-0.0245302638,-0.021881735,x: GENDER<br>y: HEPATITIS BC<br>Correlation: 0.00347,x: AGEGROUP<br>y: HEPATITIS BC<br>Correlation: 0.00966,x: TUMOUR NECROSIS FACTOR PRODUCTS<br>y: HEPATITIS BC<br>Correlation: -0.02679,x: INTESTINAL OBSTRUCTION<br>y: HEPATITIS BC<br>Correlation: 0.00000,x: HEPATITIS BC<br>y: HEPATITIS BC<br>Correlation: 1.00000,x: TUBERCULOSIS<br>y: HEPATITIS BC<br>Correlation: -0.02580,x: TACROLIMUS<br>y: HEPATITIS BC<br>Correlation: -0.04426,x: AZATHIOPRINE<br>y: HEPATITIS BC<br>Correlation: -0.02453,x: COLOSTOMY / ILEOSTOMY<br>y: HEPATITIS BC<br>Correlation: -0.02188
0.0444888566,-0.2422705124,-0.204147723,0.0,-0.025798613,1.0,-0.3583128578,-0.1938930153,-0.1763951461,x: GENDER<br>y: TUBERCULOSIS<br>Correlation: 0.04449,x: AGEGROUP<br>y: TUBERCULOSIS<br>Correlation: -0.24227,x: TUMOUR NECROSIS FACTOR PRODUCTS<br>y: TUBERCULOSIS<br>Correlation: -0.20415,x: INTESTINAL OBSTRUCTION<br>y: TUBERCULOSIS<br>Correlation: 0.00000,x: HEPATITIS BC<br>y: TUBERCULOSIS<br>Correlation: -0.02580,x: TUBERCULOSIS<br>y: TUBERCULOSIS<br>Correlation: 1.00000,x: TACROLIMUS<br>y: TUBERCULOSIS<br>Correlation: -0.35831,x: AZATHIOPRINE<br>y: TUBERCULOSIS<br>Correlation: -0.19389,x: COLOSTOMY / ILEOSTOMY<br>y: TUBERCULOSIS<br>Correlation: -0.17640
-0.0340296182,-0.1090177538,-0.3444962879,0.0,-0.0442591497,-0.3583128578,1.0,-0.2877739646,-0.2943610971,x: GENDER<br>y: TACROLIMUS<br>Correlation: -0.03403,x: AGEGROUP<br>y: TACROLIMUS<br>Correlation: -0.10902,x: TUMOUR NECROSIS FACTOR PRODUCTS<br>y: TACROLIMUS<br>Correlation: -0.34450,x: INTESTINAL OBSTRUCTION<br>y: TACROLIMUS<br>Correlation: 0.00000,x: HEPATITIS BC<br>y: TACROLIMUS<br>Correlation: -0.04426,x: TUBERCULOSIS<br>y: TACROLIMUS<br>Correlation: -0.35831,x: TACROLIMUS<br>y: TACROLIMUS<br>Correlation: 1.00000,x: AZATHIOPRINE<br>y: TACROLIMUS<br>Correlation: -0.28777,x: COLOSTOMY / ILEOSTOMY<br>y: TACROLIMUS<br>Correlation: -0.29436
0.0189946836,0.0678938306,-0.1723064881,0.0,-0.0245302638,-0.1938930153,-0.2877739646,1.0,-0.1258600623,x: GENDER<br>y: AZATHIOPRINE<br>Correlation: 0.01899,x: AGEGROUP<br>y: AZATHIOPRINE<br>Correlation: 0.06789,x: TUMOUR NECROSIS FACTOR PRODUCTS<br>y: AZATHIOPRINE<br>Correlation: -0.17231,x: INTESTINAL OBSTRUCTION<br>y: AZATHIOPRINE<br>Correlation: 0.00000,x: HEPATITIS BC<br>y: AZATHIOPRINE<br>Correlation: -0.02453,x: TUBERCULOSIS<br>y: AZATHIOPRINE<br>Correlation: -0.19389,x: TACROLIMUS<br>y: AZATHIOPRINE<br>Correlation: -0.28777,x: AZATHIOPRINE<br>y: AZATHIOPRINE<br>Correlation: 1.00000,x: COLOSTOMY / ILEOSTOMY<br>y: AZATHIOPRINE<br>Correlation: -0.12586
-0.0630113352,0.2096863404,-0.1759280676,0.0,-0.021881735,-0.1763951461,-0.2943610971,-0.1258600623,1.0,x: GENDER<br>y: COLOSTOMY / ILEOSTOMY<br>Correlation: -0.06301,x: AGEGROUP<br>y: COLOSTOMY / ILEOSTOMY<br>Correlation: 0.20969,x: TUMOUR NECROSIS FACTOR PRODUCTS<br>y: COLOSTOMY / ILEOSTOMY<br>Correlation: -0.17593,x: INTESTINAL OBSTRUCTION<br>y: COLOSTOMY / ILEOSTOMY<br>Correlation: 0.00000,x: HEPATITIS BC<br>y: COLOSTOMY / ILEOSTOMY<br>Correlation: -0.02188,x: TUBERCULOSIS<br>y: COLOSTOMY / ILEOSTOMY<br>Correlation: -0.17640,x: TACROLIMUS<br>y: COLOSTOMY / ILEOSTOMY<br>Correlation: -0.29436,x: AZATHIOPRINE<br>y: COLOSTOMY / ILEOSTOMY<br>Correlation: -0.12586,x: COLOSTOMY / ILEOSTOMY<br>y: COLOSTOMY / ILEOSTOMY<br>Correlation: 1.00000
