x,y
6b7018,b7c9ae
2018-01-12_00:00:09,22.875
2018-01-12_00:00:41,23.375
2018-01-12_00:01:13,23.687
2018-01-12_00:01:45,23.875
2018-01-12_00:02:17,22.812
2018-01-12_00:02:49,21.812
2018-01-12_00:03:21,21.0
2018-01-12_00:03:53,20.437
2018-01-12_00:04:25,20.125
2018-01-12_00:04:56,20.25
2018-01-12_00:05:28,20.437
2018-01-12_00:06:00,20.625
2018-01-12_00:06:32,20.75
2018-01-12_00:07:04,20.875
2018-01-12_00:07:36,20.312
2018-01-12_00:08:08,20.187
2018-01-12_00:08:40,20.062
2018-01-12_00:09:12,20.062
2018-01-12_00:09:43,20.062
2018-01-12_00:10:15,20.062
2018-01-12_00:10:47,20.062
2018-01-12_00:11:19,20.062
2018-01-12_00:11:51,20.062
2018-01-12_00:12:23,20.125
2018-01-12_00:12:55,20.125
2018-01-12_00:13:28,20.125
2018-01-12_00:14:00,20.125
2018-01-12_00:14:31,20.125
2018-01-12_00:15:03,20.187
2018-01-12_00:15:35,20.187
2018-01-12_00:16:07,20.187
2018-01-12_00:16:39,20.187
2018-01-12_00:17:11,20.25
2018-01-12_00:17:43,20.25
2018-01-12_00:18:15,20.25
2018-01-12_00:18:47,20.312
2018-01-12_00:19:18,20.25
2018-01-12_00:19:50,20.25
2018-01-12_00:20:22,20.25
2018-01-12_00:20:54,20.25
2018-01-12_00:21:26,20.312
2018-01-12_00:21:58,20.25
2018-01-12_00:22:30,20.25
2018-01-12_00:23:02,20.25
2018-01-12_00:23:34,20.25
2018-01-12_00:24:06,20.25
2018-01-12_00:24:37,20.312
2018-01-12_00:25:09,20.25
2018-01-12_00:25:41,20.25
2018-01-12_00:26:13,20.312
2018-01-12_00:26:45,20.312
2018-01-12_00:27:17,20.25
2018-01-12_00:27:49,20.312
2018-01-12_00:28:21,20.312
2018-01-12_00:28:53,20.312
2018-01-12_00:29:25,20.312
2018-01-12_00:29:57,20.312
2018-01-12_00:30:29,20.375
2018-01-12_00:31:00,20.312
2018-01-12_00:31:32,20.312
2018-01-12_00:32:04,20.375
2018-01-12_00:32:36,20.375
2018-01-12_00:33:08,20.375
2018-01-12_00:33:40,20.5
2018-01-12_00:34:13,20.5
2018-01-12_00:34:45,20.5
2018-01-12_00:35:17,20.5
2018-01-12_00:35:49,20.5
2018-01-12_00:36:21,20.5
2018-01-12_00:36:53,20.5
2018-01-12_00:37:25,20.5
2018-01-12_00:37:57,20.562
2018-01-12_00:38:29,20.562
2018-01-12_00:39:00,20.625
2018-01-12_00:39:32,20.562
2018-01-12_00:40:04,20.625
2018-01-12_00:40:36,20.562
2018-01-12_00:41:08,20.625
2018-01-12_00:41:40,20.562
2018-01-12_00:42:12,20.625
2018-01-12_00:42:44,20.625
2018-01-12_00:43:16,20.625
2018-01-12_00:43:48,20.625
2018-01-12_00:44:20,20.562
2018-01-12_00:44:52,20.625
2018-01-12_00:45:24,20.625
2018-01-12_00:45:56,20.625
2018-01-12_00:46:28,20.625
2018-01-12_00:47:00,20.625
2018-01-12_00:47:31,20.625
2018-01-12_00:48:03,20.687
2018-01-12_00:48:35,20.625
2018-01-12_00:49:07,20.687
2018-01-12_00:49:39,20.687
2018-01-12_00:50:10,20.687
2018-01-12_00:50:42,20.625
2018-01-12_00:51:14,20.687
2018-01-12_00:51:46,20.75
2018-01-12_00:52:18,20.687
2018-01-12_00:52:50,20.75
2018-01-12_00:53:22,20.75
2018-01-12_00:53:54,20.812
2018-01-12_00:54:26,20.812
2018-01-12_00:54:58,20.75
2018-01-12_00:55:30,20.75
2018-01-12_00:56:02,20.75
2018-01-12_00:56:34,20.812
2018-01-12_00:57:06,20.937
2018-01-12_00:57:38,20.937
