"GROMOS 54A7, x","GROMOS 54A7, y","GROMOS 54A7, z","CHARMM 36/PAR, x; OPLS-AA/L, x","CHARMM 36/PAR, y","CHARMM 36/PAR, z","OPLS-AA/L, y","OPLS-AA/L, z","AMBER 99SB-ILDN, x","AMBER 99SB-ILDN, y","AMBER 99SB-ILDN, z","MARTINI, x","MARTINI, y","MARTINI, z"
305de2,1c7c42,6e43c4,99adc5,dcf7e9,63ee9b,c41c61,0e6c1f,f0ab4a,217e09,9b5cd9,6f4708,1ac7c6,45926e
0.0,5.611946106,3.8239786625,0.0,5.3045301437,3.7253201008,5.357278347,3.8054628372,0.0,5.4848790169,3.6010205746,0.0,5.7791385651,3.9316942692
0.200000003,6.6356263161,1.7956984043,0.200000003,5.0822806358,1.372500062,2.4827384949,3.823127985,0.200000003,4.1164975166,6.9064049721,0.200000003,5.2739667892,2.8057711124
0.400000006,7.013299942,1.6740908623,0.400000006,4.5882096291,1.0399143696,2.4971137047,6.2408475876,0.400000006,4.805803299,6.9715390205,0.400000006,3.9849653244,3.2565813065
0.6000000238,8.2985363007,0.9478251338,0.6000000238,4.1840953827,1.3507225513,1.5092523098,4.4147071838,0.6000000238,0.215133518,7.3513741493,0.6000000238,3.8871874809,4.0403423309
0.8000000119,8.5280513763,-1.8330110312,0.8000000119,3.6163229942,2.7975182533,0.4486737549,5.6678657532,0.8000000119,-0.8983361721,6.8380112648,0.8000000119,5.4273071289,4.5958042145
1.0,8.3715047836,-2.5336024761,1.0,2.7622761726,2.5725836754,0.912604332,4.743434906,1.0,1.4961364269,7.6993913651,1.0,4.0500469208,5.5492873192
1.2000000477,8.5117235184,-2.0169155598,1.2000000477,2.8759391308,2.8633804321,2.2905209064,5.0245542526,1.2000000477,3.6195189953,10.5956201553,1.2000000477,5.9318904877,4.3388829231
1.3999999762,8.5023756027,-1.8015928268,1.3999999762,2.8494923115,2.7704212666,1.9003673792,7.2217507362,1.3999999762,1.032310009,10.5406990051,1.3999999762,5.555419445,4.9877586365
1.6000000238,6.5836901665,-2.2015011311,1.6000000238,2.7913284302,3.0825898647,2.128895998,4.9542870522,1.6000000238,1.7898898125,12.2509155273,1.6000000238,6.0641942024,4.4665637016
1.7999999523,4.0385270119,-5.2779102325,1.7999999523,0.5740644336,4.891020298,-1.1541420221,3.3244757652,1.7999999523,3.170935154,15.0389041901,1.7999999523,5.3932538033,5.1186609268
2.0,5.9879174232,-7.209751606,2.0,3.0969347954,6.1417412758,0.2012434751,2.0482540131,2.0,5.2897157669,14.6425361633,2.0,6.27038908,3.6240711212
2.2000000477,6.8464331627,-7.161646843,2.2000000477,0.7086473107,8.4252290726,-3.1292181015,3.9940805435,2.2000000477,1.5400327444,14.4808368683,2.2000000477,5.7454996109,3.6677377224
2.4000000954,6.1962776184,-8.6437606812,2.4000000954,1.3694324493,5.8508267403,-3.4904494286,7.126932621,2.4000000954,-0.0681957379,15.572098732,2.4000000954,4.3995857239,5.4137587547
2.5999999046,6.6025047302,-8.0545005798,2.5999999046,0.6453130245,7.424074173,-3.7576248646,7.0449724197,2.5999999046,1.2198703289,15.9053373337,2.5999999046,6.5244455338,4.9919624329
2.7999999523,6.3417797089,-8.4560117722,2.7999999523,3.442237854,9.4809322357,-3.3489437103,5.400727272,2.7999999523,0.6968691945,17.3138408661,2.7999999523,5.8929538727,5.2213792801
3.0,7.1237134933,-8.5842914581,3.0,2.426460743,9.0537281036,-4.339322567,4.892334938,3.0,-0.5629585981,17.2221660614,3.0,6.2636375427,5.9448776245
3.2000000477,6.1742687225,-7.8433241844,3.2000000477,4.714990139,9.8004188538,-5.7110362053,6.1146030426,3.2000000477,-0.3371675909,17.1183223724,3.2000000477,5.6706266403,7.3966207504
3.4000000954,7.5631170273,-8.026348114,3.4000000954,6.3242721558,6.58335495,-6.7289042473,6.043258667,3.4000000954,0.8464955091,15.3304662704,3.4000000954,6.6278586388,7.3086228371
3.5999999046,6.4643731117,-9.0812005997,3.5999999046,5.2493062019,8.1383953094,-4.8660469055,5.1974825859,3.5999999046,2.0306787491,11.1419153214,3.5999999046,6.0287570953,7.7413716316
3.7999999523,6.0313053131,-8.4415168762,3.7999999523,5.5701880455,5.4955101013,-4.1940259933,4.8556485176,3.7999999523,1.2322547436,10.4569654465,3.7999999523,4.8453483582,8.7695102692
4.0,5.6671214104,-9.4621648788,4.0,5.4387664795,4.9080610275,-3.7544741631,4.9617624283,4.0,2.8980941772,11.3450660706,4.0,5.4868345261,9.4591617584
4.1999998093,5.6459584236,-7.9126477242,4.1999998093,4.5310759544,3.7737748623,-4.1030697823,1.9614588022,4.1999998093,2.6529326439,9.6503314972,4.1999998093,5.9985156059,7.7447195053
4.4000000954,6.0545244217,-6.8163051605,4.4000000954,2.433921814,4.402946949,-4.4344410896,1.0132005215,4.4000000954,3.939978838,11.6359443665,4.4000000954,6.6611804962,11.0203380585
4.5999999046,6.3126907349,-7.5167541504,4.5999999046,1.8724864721,3.5818190575,-5.4380950928,0.7314283252,4.5999999046,5.6872777939,11.1545286179,4.5999999046,4.7670683861,10.8521270752
4.8000001907,6.4449210167,-7.0485935211,4.8000001907,3.3104982376,2.9732513428,-5.1150355339,-1.2937858105,4.8000001907,6.1641597748,15.8407678604,4.8000001907,3.9957129955,11.3533573151
5.0,5.550383091,-5.730430603,5.0,1.9731792212,1.9141651392,-5.4085383415,0.648360908,5.0,5.7512664795,17.3536128998,5.0,4.7958126068,14.224322319
5.1999998093,5.6335663795,-6.3517694473,5.1999998093,2.1713619232,1.9911689758,-5.0645632744,1.1776747704,5.1999998093,7.4540071487,17.6114444733,5.1999998093,6.2455105782,15.5993871689
5.4000000954,6.8613815308,-6.4944815636,5.4000000954,3.7957620621,2.6804392338,-4.3075304031,-0.0615912378,5.4000000954,4.9540171623,18.3364143372,5.4000000954,5.6380615234,15.8316020966
5.5999999046,5.5515584946,-7.1640701294,5.5999999046,2.7815492153,2.5909042358,-5.5561547279,0.3285777569,5.5999999046,7.0148773193,20.8330860138,5.5999999046,7.3951625824,17.8584365845
5.8000001907,6.4209656715,-8.1277074814,5.8000001907,2.2278912067,2.4987125397,-6.0172576904,0.0478055552,5.8000001907,5.3797264099,18.3819141388,5.8000001907,7.2625670433,16.5412940979
6.0,7.5458450317,-6.7066259384,6.0,3.0307600498,2.7890775204,-6.3339538574,-0.6829610467,6.0,3.6470692158,18.3146495819,6.0,6.2551651001,15.3627061844
6.1999998093,5.9486894608,-6.6364717484,6.1999998093,4.0733299255,2.0174224377,-5.8809227943,-0.4780756533,6.1999998093,5.9465312958,17.5341033936,6.1999998093,10.1703577042,16.1794815063
6.4000000954,7.1659870148,-6.950056076,6.4000000954,0.9581222534,2.5375947952,-5.9082622528,-0.1187204048,6.4000000954,5.4844136238,16.5174541473,6.4000000954,10.0668888092,15.8858184814
6.5999999046,7.2757916451,-7.9960665703,6.5999999046,1.0630908012,2.3811256886,-6.1326913834,-0.9134652615,6.5999999046,6.0666513443,14.747710228,6.5999999046,11.2115478516,14.8070745468
6.8000001907,10.5727758408,-5.7262310982,6.8000001907,2.201972723,2.1052801609,-5.0982074738,-2.4234611988,6.8000001907,5.174987793,13.2607555389,6.8000001907,9.0681390762,13.4170789719
7.0,9.4050283432,-7.2233500481,7.0,2.0834376812,6.5856199265,-4.544198513,-1.8357926607,7.0,5.8669614792,12.4240942001,7.0,8.5563678741,13.6418962479
7.1999998093,8.0928373337,-8.2178897858,7.1999998093,0.9330895543,5.544113636,-4.1942486763,-2.7523972988,7.1999998093,3.2328677177,11.4358072281,7.1999998093,9.3933439255,13.2127513885
7.4000000954,7.6929316521,-7.5911951065,7.4000000954,-0.6356869936,7.4579610825,-4.1317529678,-2.1683263779,7.4000000954,5.5961427689,11.9770812988,7.4000000954,10.618393898,12.7885894775
7.5999999046,7.2766060829,-8.8616437912,7.5999999046,0.0591476858,8.5214262009,-4.6692318916,-2.0579140186,7.5999999046,5.114127636,13.2294750214,7.5999999046,10.128200531,13.5842638016
7.8000001907,5.8803677559,-8.9309654236,7.8000001907,1.9196730852,8.9628610611,-5.1262979507,-1.8713212013,7.8000001907,6.4767260551,9.2942428589,7.8000001907,8.9641437531,13.5307598114
8.0,6.9363541603,-8.2245864868,8.0,3.4454855919,9.2661037445,-6.1864795685,-1.1321418285,8.0,6.1824059486,7.8217167854,8.0,8.5678939819,14.967716217
8.1999998093,5.9441871643,-8.7135305405,8.1999998093,5.282977581,4.7514266968,-5.1454982758,-0.259275943,8.1999998093,7.8033628464,9.5292720795,8.1999998093,7.9154191017,14.2416410446
8.3999996185,6.8789114952,-9.225361824,8.3999996185,5.5814328194,3.8051359653,-4.3865213394,-0.8935277462,8.3999996185,7.1159567833,8.3200044632,8.3999996185,6.5367994308,13.5209617615
8.6000003815,6.6298828125,-9.9250993729,8.6000003815,6.6412653923,2.1872503757,-4.6778407097,-1.2276540995,8.6000003815,5.8927311897,9.9389286041,8.6000003815,4.4598460197,13.5704345703
8.8000001907,6.510307312,-9.044421196,8.8000001907,5.8942351341,1.8816736937,-5.652636528,-0.6892925501,8.8000001907,8.4589767456,11.2591848373,8.8000001907,3.5460457802,12.9977722168
9.0,5.5223016739,-9.4005413055,9.0,5.83659935,3.1105175018,-4.4104971886,-0.8609395623,9.0,6.5238342285,12.8680276871,9.0,4.022356987,14.5927352905
9.1999998093,7.1370449066,-8.7605657578,9.1999998093,5.8526206017,2.0742526054,-5.4749693871,-0.0440467,9.1999998093,9.5797491074,10.4106826782,9.1999998093,4.1328735352,14.5420217514
