"Temperature, x; Humidity, x; Total VOC), x; Barometric pressure, x","Temperature, y","Humidity, y","Total VOC), y","Barometric pressure, y"
d8f45b,32d4b6,0a18b8,bfff36,4e3f33
2018-01-10 00:00:44,17.3,55.7,9,1009.3
2018-01-10 00:01:44,17.3,55.8,9,1009.4
2018-01-10 00:02:45,17.3,55.8,8,1009.4
2018-01-10 00:03:45,17.3,55.8,8,1009.4
2018-01-10 00:04:45,17.3,55.8,8,1009.4
2018-01-10 00:05:45,17.3,55.8,7,1009.4
2018-01-10 00:06:46,17.3,55.8,7,1009.4
2018-01-10 00:07:46,17.3,55.9,7,1009.4
2018-01-10 00:08:46,17.3,55.9,7,1009.4
2018-01-10 00:09:46,17.3,55.9,7,1009.4
2018-01-10 00:10:46,17.3,55.9,6,1009.4
2018-01-10 00:11:47,17.3,56,5,1009.4
2018-01-10 00:12:47,17.3,55.9,5,1009.4
2018-01-10 00:13:47,17.3,55.8,5,1009.3
2018-01-10 00:14:47,17.3,55.9,5,1009.3
2018-01-10 00:15:47,17.2,55.8,4,1009.4
2018-01-10 00:16:47,17.2,55.8,4,1009.4
2018-01-10 00:17:48,17.2,56,4,1009.3
2018-01-10 00:18:48,17.2,56,3,1009.4
2018-01-10 00:19:48,17.2,55.9,3,1009.4
2018-01-10 00:20:48,17.2,55.9,3,1009.3
2018-01-10 00:21:49,17.2,55.9,2,1009.4
2018-01-10 00:22:49,17.2,55.9,2,1009.3
2018-01-10 00:23:49,17.2,56.1,2,1009.4
2018-01-10 00:24:49,17.2,56,2,1009.4
2018-01-10 00:25:49,17.2,56.1,7,1009.4
2018-01-10 00:26:50,17.2,55.9,6,1009.4
2018-01-10 00:27:50,17.2,56,6,1009.4
2018-01-10 00:28:50,17.2,56.1,6,1009.4
2018-01-10 00:29:50,17.1,56.1,2,1009.4
2018-01-10 00:30:50,17.2,56,6,1009.4
2018-01-10 00:31:51,17.1,55.9,5,1009.3
2018-01-10 00:32:51,17.1,56,4,1009.3
2018-01-10 00:33:51,17.1,56.1,4,1009.3
2018-01-10 00:34:51,17.1,56.1,4,1009.4
2018-01-10 00:35:51,17.1,56.2,3,1009.3
2018-01-10 00:36:52,17.1,56.1,3,1009.3
2018-01-10 00:37:52,17.1,56.2,3,1009.3
2018-01-10 00:38:52,17.1,56.5,3,1009.3
2018-01-10 00:39:52,17.1,56.6,3,1009.3
2018-01-10 00:40:52,17.1,56.4,8,1009.3
2018-01-10 00:41:53,17.1,56.4,8,1009.3
2018-01-10 00:42:53,17.1,56.4,8,1009.3
2018-01-10 00:43:53,17.1,56.6,7,1009.3
2018-01-10 00:44:53,17.1,56.5,7,1009.3
2018-01-10 00:45:53,17,56.7,7,1009.3
2018-01-10 00:46:54,17,56.6,6,1009.3
2018-01-10 00:47:54,17,56.6,6,1009.3
2018-01-10 00:48:54,17,56.6,6,1009.3
2018-01-10 00:49:56,17,56.9,5,1009.3
2018-01-10 00:50:56,17,56.8,5,1009.3
2018-01-10 00:51:56,17,56.8,5,1009.3
2018-01-10 00:52:57,17,56.9,4,1009.3
2018-01-10 00:53:57,17,56.9,4,1009.3
2018-01-10 00:54:57,17,57,4,1009.3
2018-01-10 00:55:57,17,56.8,3,1009.3
2018-01-10 00:56:57,17,56.9,3,1009.2
2018-01-10 00:57:58,17,56.9,3,1009.2
2018-01-10 00:58:58,17,56.9,3,1009.2
2018-01-10 00:59:58,17,56.9,3,1009.2
2018-01-10 01:00:58,17,57,3,1009.2
2018-01-10 01:01:58,17,56.9,3,1009.2
2018-01-10 01:02:59,17,56.9,2,1009.2
2018-01-10 01:03:59,16.9,57,2,1009.2
2018-01-10 01:04:59,16.9,57,1,1009.1
2018-01-10 01:05:59,16.9,56.9,1,1009.1
2018-01-10 01:06:59,16.9,57,1,1009.1
2018-01-10 01:08:00,16.9,56.9,0,1009.1
2018-01-10 01:09:00,16.9,56.9,4,1009.1
2018-01-10 01:10:00,16.9,56.9,4,1009.1
2018-01-10 01:11:00,16.9,57,3,1009.1
2018-01-10 01:12:00,16.9,56.9,3,1009.1
