x,y
2fd399,d35ab9
2018-01-06T13:11:10.768Z,100
2018-01-06T22:09:50.410Z,78
2018-01-07T18:35:08.832Z,57
2018-01-07T22:08:49.005Z,35
2018-01-07T23:00:07.657Z,100
2018-01-08T09:16:13.957Z,74
2018-01-08T11:04:13.481Z,69
2018-01-08T22:13:22.731Z,60
2018-01-09T09:07:28.295Z,55
2018-01-09T13:06:07.052Z,50
2018-01-09T19:12:56.491Z,44
2018-01-09T21:07:15.546Z,100
2018-01-10T17:09:47.805Z,95
2018-01-10T17:13:04.666Z,90
2018-01-10T18:55:45.174Z,68
2018-01-11T01:16:06.862Z,25
2018-01-11T01:19:29.337Z,100
2018-01-11T14:08:00.682Z,81
2018-01-11T17:52:53.017Z,59
2018-01-11T19:11:32.173Z,38
2018-01-11T19:54:00.905Z,100
2018-01-12T07:49:12.645Z,95
2018-01-12T08:03:01.785Z,90
2018-01-12T14:41:23.497Z,68
