"20171230, x; 20180106, x","20171230, y","20180106, y","20180113, x","20180113, y"
a401e5,323984,e53f67,f91da1,c9304a
1,101149,69700,1,50798
2,9900,19349,2,37389
3,47168,0,3,14900
4,25500,33400,4,33400
5,39600,147500,5,48500
6,0,74437,,
7,18000,0,,
8,31449,20299,,
9,56978,56658,,
10,170788,93375.99974823,,
11,193756,334766,,
12,192815,180835,,
13,200356,64798,,
14,70800,119618,,
15,180126,185986,,
16,130136,174506,,
17,182617,150015.99974823,,
18,155156,186167,,
19,173985,223146,,
20,129385,93869,,
21,167854,153207,,
22,231555,196246,,
23,137425,0,,
24,74147,96826,,
