"Solar, x; Wind, x; Gen DC, x; Gen AC, x; Solar (1), x; Wind (1), x; Gen DC (1), x; Gen AC (1), x","Solar, y; Solar (1), y","Wind, y; Wind (1), y","Gen DC, y; Gen DC (1), y","Gen AC, y; Gen AC (1), y"
3c91aa,169e74,00e466,b347bc,2905d8
Jan,652.773212,370.146891,1845.19481,982.880506387
Feb,961.231672,218.760619,547.341298,242.822527828
Mar,925.404478,297.803915,631.423521,297.246144838
Apr,930.541967,215.43819,497.003433,231.572723388
May,1264.746285,160.33757,209.925749,96.910206273
Jun,1580.322805,72.680658,444.982538,316.530700885
July,1183.182815,14.826715,1188.099949,1591.857854889
Aug,1365.648271,15.243658,604.037623,441.91179811
Sep,1374.826769,6.697496,591.779972,513.909779112
Oct,793.991474,189.918626,613.377419,304.286481555
Nov,744.571871,-3942.352056,25688.646385,-24093.018825839
Dec,722.919004,233.977412,1041.84929,570.230158334
