"Solar, x; Wind, x","Solar, y","Wind, y","Solar kWh, x; Wind kWh, x","Solar kWh, y","Wind kWh, y"
4ae0d6,35c50a,24722a,720371,5e5b21,3f8949
2017-01-01 00:08:04,-0.00588,-0.00294,2017-01-01 12:00:00,62.217478,1.152491
2017-01-01 00:18:04,-0.005904,-0.002952,2017-01-02 12:00:00,27.467317,5.422579
2017-01-01 00:28:04,-0.002952,-0.005904,2017-01-03 12:00:00,30.275911,25.917793
2017-01-01 00:38:04,-0.00588,-0.00294,2017-01-04 12:00:00,70.472969,10.213037
2017-01-01 00:48:04,-0.00588,-0.00294,2017-01-05 12:00:00,44.686344,0.519425
2017-01-01 00:58:04,-0.005868,-0.005868,2017-01-06 12:00:00,91.431563,1.604385
2017-01-01 01:08:04,-0.00294,-0.00294,2017-01-07 12:00:00,42.351154,10.366669
2017-01-01 01:18:04,-0.00588,-0.00588,2017-01-08 12:00:00,44.576738,9.557298
2017-01-01 01:28:04,-0.005868,-0.002934,2017-01-09 12:00:00,11.714871,29.595255
2017-01-01 01:38:04,-0.00294,-0.00588,2017-01-10 12:00:00,7.262114,86.900744
2017-01-01 01:48:04,-0.005856,-0.002928,2017-01-11 12:00:00,5.37457,41.305724
2017-01-01 01:58:04,-0.005868,-0.002934,2017-01-12 12:00:00,17.10981,19.888967
2017-01-01 02:08:03,-0.005868,-0.005868,2017-01-13 12:00:00,19.182049,0.042737
2017-01-01 02:18:03,-0.002934,-0.002934,2017-01-14 12:00:00,3.79179,0.0
2017-01-01 02:28:03,-0.005868,-0.005868,2017-01-15 12:00:00,5.447857,0.0
2017-01-01 02:38:03,-0.005808,-0.002904,2017-01-16 12:00:00,1.063718,0.705878
2017-01-01 02:48:03,-0.005808,-0.005808,2017-01-17 12:00:00,2.353848,6.354213
2017-01-01 02:58:03,-0.00582,-0.00291,2017-01-18 12:00:00,12.194518,0.087546
2017-01-01 03:08:03,-0.00582,-0.00291,2017-01-19 12:00:00,4.096043,0.082036
2017-01-01 03:18:03,-0.008694,-0.005796,2017-01-20 12:00:00,7.323122,0.059954
2017-01-01 03:28:03,-0.00291,-0.00291,2017-01-21 12:00:00,49.275909,12.842953
2017-01-01 03:38:03,-0.005856,-0.005856,2017-01-22 12:00:00,7.174849,1.247309
2017-01-01 03:48:03,-0.005844,-0.002922,2017-01-23 12:00:00,4.982246,0.067069
2017-01-01 03:58:03,-0.005856,-0.002928,2017-01-24 12:00:00,3.947089,7.505894
2017-01-01 04:08:04,-0.00582,0.02328,2017-01-25 12:00:00,3.046518,27.808801
2017-01-01 04:18:04,-0.002922,0.046752,2017-01-26 12:00:00,5.399061,15.591909
2017-01-01 04:28:04,-0.005832,0.002916,2017-01-27 12:00:00,9.144328,5.213245
2017-01-01 04:38:04,-0.005844,0.040908,2017-01-28 12:00:00,15.14911,11.637073
2017-01-01 04:48:04,-0.005832,0.078732,2017-01-29 12:00:00,3.797574,3.873377
2017-01-01 04:58:04,-0.00582,-0.00291,2017-01-30 12:00:00,26.800073,13.409554
2017-01-01 05:08:04,-0.002922,-0.002922,2017-01-31 12:00:00,13.662671,21.409807
2017-01-01 05:18:04,-0.00582,-0.00291,2017-02-01 12:00:00,31.916336,7.631608
2017-01-01 05:28:04,-0.00582,0.0,2017-02-02 12:00:00,29.884185,0.681065
2017-01-01 05:38:04,-0.00582,0.0,2017-02-03 12:00:00,55.328134,0.002979
2017-01-01 05:48:04,-0.00582,0.01164,2017-02-04 12:00:00,9.527412,20.370219
2017-01-01 05:58:04,-0.005808,-0.002904,2017-02-05 12:00:00,38.42965,1.669187
2017-01-01 06:08:04,-0.002904,-0.005808,2017-02-06 12:00:00,26.97134,0.317603
2017-01-01 06:18:04,-0.005808,-0.002904,2017-02-07 12:00:00,3.087542,19.938001
2017-01-01 06:28:04,-0.005808,-0.002904,2017-02-08 12:00:00,2.954176,2.389305
2017-01-01 06:38:04,-0.00582,-0.00582,2017-02-09 12:00:00,62.415039,0.680125
2017-01-01 06:48:04,-0.005808,-0.002904,2017-02-10 12:00:00,32.235586,23.377621
2017-01-01 06:58:04,-0.002904,-0.005808,2017-02-11 12:00:00,31.74757,0.748717
2017-01-01 07:08:04,-0.005808,-0.002904,2017-02-12 12:00:00,33.315779,15.097605
2017-01-01 07:18:04,-0.008676,-0.002892,2017-02-13 12:00:00,52.771386,0.888425
2017-01-01 07:28:04,0.011592,-0.005796,2017-02-14 12:00:00,51.191927,6.511265
2017-01-01 07:38:04,0.6111,-0.00291,2017-02-15 12:00:00,60.556513,4.825542
2017-01-01 07:48:04,1.769202,-0.005868,2017-02-16 12:00:00,38.491035,4.514799
2017-01-01 07:58:04,2.745672,-0.002946,2017-02-17 12:00:00,56.41992,11.584361
2017-01-01 08:08:04,3.54144,-0.005952,2017-02-18 12:00:00,55.164052,1.536507
2017-01-01 08:18:04,4.09632,-0.003012,2017-02-19 12:00:00,50.273978,0.920379
2017-01-01 08:28:04,4.545,-0.00606,2017-02-20 12:00:00,18.282991,23.57402
2017-01-01 08:38:04,4.89888,-0.006048,2017-02-21 12:00:00,21.870938,0.0
2017-01-01 08:48:04,5.1918,-0.003054,2017-02-22 12:00:00,37.42705,5.456718
2017-01-01 08:58:04,5.46816,-0.006144,2017-02-23 12:00:00,4.274537,4.208454
2017-01-01 09:08:04,5.6916,-0.00612,2017-02-24 12:00:00,5.336268,6.780269
