x,y
e79d62,b2a26e
2017-01-03,157.7
2017-01-04,157.44
2017-01-05,154.0
2017-01-06,154.1
2017-01-09,154.4
2017-01-10,157.97
2017-01-11,157.01
2017-01-12,157.25
2017-01-13,157.95
2017-01-16,155.81
2017-01-17,153.65
2017-01-18,152.86
2017-01-19,150.85
2017-01-20,149.7
2017-01-23,148.1
2017-01-24,150.15
2017-01-25,147.65
2017-01-26,150.49
2017-01-27,154.09
2017-01-30,150.8
2017-01-31,149.8
2017-02-01,149.65
2017-02-02,148.8
2017-02-03,149.35
2017-02-06,148.5
2017-02-07,148.7
2017-02-08,145.2
2017-02-09,142.11
2017-02-10,140.5
2017-02-13,141.2
2017-02-14,140.62
2017-02-15,139.72
2017-02-16,139.16
2017-02-17,138.12
2017-02-20,138.5
2017-02-21,138.35
2017-02-22,136.68
2017-02-24,136.75
2017-02-27,135.07
2017-02-28,134.0
2017-03-01,133.85
2017-03-02,131.3
2017-03-03,134.8
2017-03-06,134.6
2017-03-07,132.89
2017-03-09,129.0
2017-03-10,128.78
2017-03-13,129.93
2017-03-14,128.8
2017-03-15,127.6
2017-03-16,128.05
2017-03-17,128.94
2017-03-20,128.79
2017-03-21,129.3
2017-03-22,131.65
2017-03-23,130.99
2017-03-24,130.05
2017-03-27,128.8
2017-03-28,129.2
2017-03-29,128.81
2017-03-30,128.49
2017-03-31,127.9
2017-04-03,127.21
2017-04-04,128.81
2017-04-05,130.69
2017-04-06,130.5
2017-04-07,128.72
2017-04-10,126.16
2017-04-11,126.0
2017-04-12,125.05
2017-04-13,124.54
2017-04-14,122.85
2017-04-17,123.7
2017-04-18,122.22
2017-04-19,121.55
2017-04-20,121.99
2017-04-21,123.0
2017-04-24,128.0
2017-04-25,130.2
2017-04-26,133.43
2017-04-27,133.41
2017-04-28,136.75
2017-05-02,136.52
2017-05-03,135.81
2017-05-04,134.93
2017-05-05,134.41
2017-05-10,134.19
2017-05-11,131.1
2017-05-12,132.5
2017-05-15,131.5
2017-05-16,131.13
2017-05-17,132.07
2017-05-18,126.9
2017-05-19,124.19
2017-05-22,122.52
2017-05-23,123.23
2017-05-24,122.0
2017-05-25,121.61
2017-05-26,122.2
2017-05-29,123.11
2017-05-30,122.1
2017-05-31,120.28
2017-06-01,118.0
2017-06-02,119.69
2017-06-05,119.0
2017-06-06,119.05
2017-06-07,118.92
2017-06-08,119.3
2017-06-09,120.5
2017-06-13,118.15
2017-06-14,115.35
2017-06-15,115.49
2017-06-16,116.02
2017-06-19,117.33
2017-06-20,117.44
2017-06-21,117.97
2017-06-22,119.55
2017-06-23,119.1
2017-06-26,118.67
2017-06-27,119.35
2017-06-28,119.7
2017-06-29,119.16
2017-06-30,118.49
2017-07-03,119.86
2017-07-04,122.73
2017-07-05,122.7
2017-07-06,122.68
2017-07-07,123.0
2017-07-10,124.25
2017-07-11,124.78
2017-07-12,124.87
2017-07-13,125.55
2017-07-14,125.0
2017-07-17,125.14
2017-07-18,124.49
2017-07-19,120.11
2017-07-20,120.6
2017-07-21,118.95
2017-07-24,119.17
2017-07-25,118.4
2017-07-26,119.0
2017-07-27,118.68
2017-07-28,116.9
2017-07-31,116.1
2017-08-01,117.99
2017-08-02,119.09
2017-08-03,119.58
2017-08-04,119.45
2017-08-07,119.5
2017-08-08,119.67
2017-08-09,118.68
2017-08-10,118.05
2017-08-11,116.93
2017-08-14,117.4
2017-08-15,117.59
2017-08-16,116.75
2017-08-17,116.22
2017-08-18,116.0
2017-08-21,115.92
2017-08-22,116.0
2017-08-23,115.75
2017-08-24,116.56
2017-08-25,117.85
2017-08-28,118.75
2017-08-29,118.3
2017-08-30,118.2
2017-08-31,117.97
2017-09-01,117.4
2017-09-04,117.0
2017-09-05,116.0
2017-09-06,117.14
2017-09-07,117.95
2017-09-08,120.34
2017-09-11,121.0
2017-09-12,121.99
2017-09-13,123.55
2017-09-14,123.33
2017-09-15,122.5
2017-09-18,122.72
2017-09-19,121.75
2017-09-20,122.25
2017-09-21,122.34
2017-09-22,121.95
2017-09-25,123.03
2017-09-26,123.03
2017-09-27,123.36
2017-09-28,122.5
2017-09-29,122.2
2017-10-02,121.9
2017-10-03,120.78
2017-10-04,121.76
2017-10-05,123.5
2017-10-06,123.47
2017-10-09,124.81
2017-10-10,124.44
2017-10-11,126.0
2017-10-12,125.93
2017-10-13,126.86
2017-10-16,127.17
2017-10-17,125.15
2017-10-18,126.7
2017-10-19,125.5
2017-10-20,126.7
2017-10-23,126.8
2017-10-24,126.02
2017-10-25,125.0
2017-10-26,124.2
2017-10-27,125.94
2017-10-30,125.98
2017-10-31,125.9
2017-11-01,126.5
2017-11-02,125.67
2017-11-03,125.9
2017-11-07,132.28
2017-11-08,132.3
2017-11-09,131.5
2017-11-10,132.5
2017-11-13,133.32
2017-11-14,132.93
2017-11-15,131.21
2017-11-16,129.2
2017-11-17,129.65
2017-11-20,129.96
2017-11-21,132.49
2017-11-22,132.57
2017-11-23,131.6
2017-11-24,133.57
2017-11-27,133.5
2017-11-28,135.18
2017-11-29,133.55
2017-11-30,132.15
2017-12-01,133.02
2017-12-04,133.77
2017-12-05,133.65
2017-12-06,134.0
2017-12-07,133.02
