"Intl Download, x; Intl Upload, x","Intl Download, y","Intl Upload, y","local Download, x; local Upload, x","local Download, y","local Upload, y"
ff3766,753c88,b9aa4a,9fb08f,d5727c,d93331
2017-04-13T20:40:07.084843,20205867.40384493,6867532.065092523,2017-04-13T20:40:06.791064,18442472.123069264,10822799.466215717
2017-04-13T21:00:06.242040,14786775.982048465,7547868.393394145,2017-04-13T21:00:05.971264,17451618.06938328,10810620.95478594
2017-04-13T21:20:05.320929,20107535.22259312,9933577.989362193,2017-04-13T21:20:05.330254,4455751.315438281,2880697.1757768025
2017-04-13T21:40:06.123449,18873697.00959954,6166416.923940764,2017-04-13T21:40:06.129978,17372272.722036824,12000536.693255765
2017-04-13T22:00:06.543911,9835717.853331413,4526125.0675038835,2017-04-13T22:00:06.557883,16239971.25689556,10180116.865867715
2017-04-13T22:20:06.174889,15481108.005458722,4688129.272692334,2017-04-13T22:20:06.182174,15639150.253151275,9356130.940088978
2017-04-13T22:40:06.519652,15810498.701454965,4652516.6325941365,2017-04-13T22:40:06.538200,16049450.84438294,10982486.870877983
2017-04-13T23:00:06.259376,17716536.209503856,4673242.148599636,2017-04-13T23:00:06.268330,16581431.44587746,10439196.594559107
2017-04-13T23:20:06.413470,18840689.751430877,4479559.200286819,2017-04-13T23:20:06.432790,16915467.833241668,10764921.42741608
2017-04-13T23:40:06.141019,18454822.992730647,4610173.829719531,2017-04-13T23:40:06.123556,15847123.063881336,9002290.28693624
2017-04-14T00:00:06.238530,18012346.129896913,4557718.422312287,2017-04-14T00:00:06.217393,16298030.825260842,10680024.561200734
2017-04-14T00:20:06.875510,18828184.31499235,4684385.068638632,2017-04-14T00:20:06.869277,16285857.624770625,11629413.070995895
2017-04-14T00:40:06.427341,20071724.338424437,4432233.505049205,2017-04-14T00:40:06.418313,17528265.275734384,11680919.511579717
2017-04-14T01:00:06.554641,19137042.068863228,4622675.443802225,2017-04-14T01:00:06.582564,15937375.743117718,11127606.587157413
2017-04-14T01:20:06.474422,17179398.933692314,4623488.451707798,2017-04-14T01:20:06.490214,16562290.901200125,10760624.222940572
2017-04-14T01:40:06.731518,17983567.35583511,4788673.943560632,2017-04-14T01:40:06.748626,16546955.019155828,10854425.47441694
2017-04-14T02:00:06.783613,12197666.758835198,4635083.497753542,2017-04-14T02:00:06.802954,15951425.10095386,9790978.717644334
2017-04-14T02:20:06.429533,16971286.621817708,4728750.879590483,2017-04-14T02:20:06.446915,15808322.57866219,9105272.051527385
2017-04-14T02:40:06.957460,18632079.05313095,4603762.320671368,2017-04-14T02:40:06.942246,16730809.73241431,10690818.738227174
2017-04-14T03:00:06.421146,16873860.41834853,5001205.381514603,2017-04-14T03:00:06.409387,16472998.070727622,9402113.361752937
2017-04-14T03:20:06.818800,17896562.028081942,4923589.23214586,2017-04-14T03:20:06.837317,17014951.404058225,10801156.853048293
2017-04-14T03:40:06.560610,18221028.784224745,4630179.147433248,2017-04-14T03:40:06.569814,16663061.376923775,10831109.859331956
2017-04-14T04:00:06.767341,19135887.58469837,4504772.636023481,2017-04-14T04:00:06.753680,17141737.53306523,10597658.845775867
2017-04-14T04:20:06.853930,18619543.420387834,4551239.57103756,2017-04-14T04:20:06.858448,16542098.291182455,10862521.23147486
2017-04-14T04:40:06.292233,17461934.06437852,4713018.915262889,2017-04-14T04:40:06.283179,15992310.772266993,9601325.688005386
2017-04-14T05:00:06.461251,17861617.74207057,4832399.342489997,2017-04-14T05:00:06.470994,15444005.80997083,8623185.8203138
2017-04-14T05:20:07.204831,17361761.61098681,4635862.300099897,2017-04-14T05:20:07.174380,16579778.90207146,8908948.349681186
2017-04-14T05:40:06.363626,18223036.400671463,4605720.961167436,2017-04-14T05:40:06.353902,16687011.332323115,9155760.76906229
2017-04-14T06:00:06.514399,16313973.451936616,4678795.923728386,2017-04-14T06:00:06.521724,15458240.23787418,9060924.906961244
2017-04-14T06:20:06.799626,15425852.2657759,4829072.032137127,2017-04-14T06:20:06.806424,16022264.989381365,9441716.483821226
2017-04-14T06:40:07.133389,18316893.583899047,4877948.918824754,2017-04-14T06:40:07.152151,16340105.491050702,10660380.836668987
2017-04-14T07:00:06.513061,17305889.029346507,4937918.634199742,2017-04-14T07:00:06.526473,15971069.294221498,9271894.47295702
2017-04-14T07:20:06.571403,17615719.025074635,4713504.043655401,2017-04-14T07:20:06.578984,15750072.028405204,10237396.870106757
2017-04-14T07:40:06.822083,17736181.438100386,4601528.660038814,2017-04-14T07:40:06.841295,16636095.412723413,9710428.637781253
2017-04-14T08:00:06.888498,16990133.158240505,4610222.517347566,2017-04-14T08:00:06.873941,14886333.282755755,9212015.117144767
2017-04-14T08:20:06.713739,17877724.519104462,4500877.14113408,2017-04-14T08:20:06.704486,16007790.051833784,10094562.595648706
2017-04-14T08:40:07.284994,20212371.997443136,4395799.412969303,2017-04-14T08:40:07.300114,16753660.22475718,11682474.657408996
2017-04-14T09:00:06.824691,18787675.93173073,4479842.800277893,2017-04-14T09:00:06.804956,16650340.73768046,10779363.100610284
2017-04-14T09:20:06.192635,18006631.59745071,4459439.635273749,2017-04-14T09:20:06.210351,16126766.558644686,9266525.76288306
2017-04-14T09:40:06.808355,19066409.42730187,4565354.369370833,2017-04-14T09:40:06.774615,16185652.655350884,9209902.849155847
2017-04-14T10:00:06.434120,21184472.935091585,8115798.398266203,2017-04-14T10:00:06.442919,29091538.40372211,18853884.73293885
2017-04-14T10:20:06.468199,20841739.692928426,4444857.3515035985,2017-04-14T10:20:06.452862,17286538.87735922,10844264.90877347
2017-04-14T10:40:08.125308,17576198.316295207,3913166.677257521,2017-04-14T10:40:08.119516,15149922.593289988,7946923.555570288
2017-04-14T11:00:06.591450,19964716.31379089,4460579.791523875,2017-04-14T11:00:06.609996,16844262.452141654,11868502.534938762
2017-04-14T11:20:06.747336,20537830.543776546,4304794.986104686,2017-04-14T11:20:06.730778,17114906.71349585,12547969.20881507
2017-04-14T11:40:06.427732,19122358.9725422,4540845.166143802,2017-04-14T11:40:06.413559,16368565.504893284,10668393.619287552
2017-04-14T12:00:06.536916,17841564.92635267,4420225.694903906,2017-04-14T12:00:06.520791,17385256.16831403,11018782.080353687
2017-04-14T12:20:06.432451,16428985.946062233,5113517.972733637,2017-04-14T12:20:06.447341,14265159.032268202,8273579.351553935
2017-04-14T12:40:07.195650,19878905.45440129,4607717.695459276,2017-04-14T12:40:07.182938,16790211.13496326,12119947.129346104
2017-04-14T13:00:06.922258,19580959.385489665,4586474.200725347,2017-04-14T13:00:06.938156,16597555.31692095,10650364.611507984
2017-04-14T13:20:07.241254,20379740.67804389,4511339.273007108,2017-04-14T13:20:07.259838,16068514.139291352,12337498.32496512
2017-04-14T13:40:06.644008,20336937.21006252,4527849.814954094,2017-04-14T13:40:06.653767,16591563.624115584,11902023.631836062
2017-04-14T14:00:06.804315,19184713.001813304,4811456.338973453,2017-04-14T14:00:06.811494,16685629.263052365,11009398.18246724
2017-04-14T14:20:07.304621,16452228.883191315,4920443.495453419,2017-04-14T14:20:07.317257,17195001.348523393,9661595.800780693
2017-04-14T14:40:06.596806,21957045.69285363,4616553.158836809,2017-04-14T14:40:06.584155,17250117.29308493,13112277.952716876
2017-04-14T15:00:07.041663,17613340.72948335,4669979.949421925,2017-04-14T15:00:07.022661,15749712.33766216,10277257.043454066
2017-04-14T15:20:07.762990,19544812.43043302,4609343.8358999565,2017-04-14T15:20:07.768979,16407338.88532689,12775077.944301672
2017-04-14T15:40:07.112656,21293592.215639755,4650453.953007743,2017-04-14T15:40:07.119290,16100265.08562731,12677952.081726322
2017-04-14T16:00:06.782434,19235873.05978373,4963648.680101559,2017-04-14T16:00:06.798436,16848206.97400855,10787016.32839717
2017-04-14T16:20:07.099547,18328161.42537337,4516069.176423858,2017-04-14T16:20:07.094859,16474400.79274593,9585329.97321556
2017-04-14T16:40:06.861840,19565673.87602161,4496525.228188678,2017-04-14T16:40:06.868677,16718997.424572434,12546188.26905599
2017-04-14T17:00:06.830562,21502902.725922026,4279608.938068146,2017-04-14T17:00:06.813800,16761007.291937718,12290307.137968754
2017-04-14T17:20:06.342259,19423860.626342632,4460022.132686294,2017-04-14T17:20:06.360110,17156693.010869835,10904012.31652794
2017-04-14T17:40:07.171357,19055449.197630037,4572632.089403563,2017-04-14T17:40:07.162001,16604390.056198634,11012463.3348535
2017-04-14T18:00:06.918413,15386592.183693364,4952704.392036108,2017-04-14T18:00:06.954373,14860674.88698861,8646206.013498915
2017-04-14T18:20:06.462491,20385763.23317958,4424213.995908551,2017-04-14T18:20:06.471596,17027105.6700571,12361327.831687968
2017-04-14T18:40:07.143992,19696745.070107087,4380962.2798911985,2017-04-14T18:40:07.133531,17010465.370582957,12002160.747359287
2017-04-14T19:00:06.731528,17492286.464333348,4506353.644190316,2017-04-14T19:00:06.742366,16390544.031313544,10385253.227233108
2017-04-14T19:20:06.595757,19044601.89631193,4624076.993425028,2017-04-14T19:20:06.737771,17310450.86412056,10420945.61660874
2017-04-14T19:40:06.855441,20889707.913243253,4362748.1876498,2017-04-14T19:40:06.796328,16967103.400418237,12563462.94276059
2017-04-14T20:00:06.946729,20145573.44951448,4304264.650246424,2017-04-14T20:00:06.917222,17245574.38367225,11760712.898094058
2017-04-14T20:20:07.005980,16824286.037764896,4514204.521141308,2017-04-14T20:20:07.031743,16385272.809660194,13212638.15939196
2017-04-14T20:40:07.282944,19759706.39598474,4235371.525531678,2017-04-14T20:40:07.292136,17019965.856044088,5268846.271792178
2017-04-14T21:00:06.430654,18727623.374668166,4602826.823860755,2017-04-14T21:00:06.412506,15973881.559578516,11428028.526865898
2017-04-14T21:20:06.653776,21898720.818370294,12813519.290720567,2017-04-14T21:20:06.663824,42971040.38840758,18638003.57109152
2017-04-14T21:40:07.031725,18129272.08565507,4640401.950053687,2017-04-14T21:40:07.040564,15589205.845380845,9466486.192669233
2017-04-14T22:00:06.481868,18828701.97391093,4557862.762559316,2017-04-14T22:00:06.473600,16657025.66629408,10703385.375769233
2017-04-14T22:20:06.637043,13944417.444791267,4629875.900470026,2017-04-14T22:20:06.619993,15953817.691060206,10916027.136319565
2017-04-14T22:40:06.372533,19894569.429498304,4523527.669133838,2017-04-14T22:40:06.362999,16684446.416976102,11378203.213748954
2017-04-14T23:00:06.573411,16824263.45220678,3987308.5822741226,2017-04-14T23:00:06.570034,15901693.585745625,8232443.2733201925
2017-04-14T23:20:06.832707,19053402.65816965,4543021.713246535,2017-04-14T23:20:06.838072,15533269.048677713,8677453.087813975
2017-04-14T23:40:06.598775,20388070.678232446,4436876.655792153,2017-04-14T23:40:06.590537,16856675.991303165,11273609.600274526
2017-04-15T00:00:07.290852,15905166.499779684,4811491.106779919,2017-04-15T00:00:07.264309,15182886.256332565,9239092.230051823
2017-04-15T00:20:06.523516,18438816.149355948,4697305.017679484,2017-04-15T00:20:06.554107,17124344.941509593,11485064.461050816
2017-04-15T00:40:06.868765,20933457.383148488,5378093.165549351,2017-04-15T00:40:06.851578,17726509.186248593,13240160.808793385
2017-04-15T01:00:06.709436,21210309.980711907,5718229.217829375,2017-04-15T01:00:06.671327,19297182.357606936,14755437.729775885
2017-04-15T01:20:06.302068,21189880.53395181,5218813.017551675,2017-04-15T01:20:06.293518,17974369.777499937,7215836.383017461
2017-04-15T01:40:06.490935,21018840.38049031,4485519.999619902,2017-04-15T01:40:06.484481,16846790.940436997,12204560.85239822
2017-04-15T02:00:06.993321,21408098.750749994,4926128.130353691,2017-04-15T02:00:07.004317,17844584.42776659,13506772.835263878
2017-04-15T02:20:06.573757,21291519.47711706,8204138.541708544,2017-04-15T02:20:06.588377,29215506.13818561,18711416.25189364
2017-04-15T02:40:06.558266,0.0,931380.3820164956,2017-04-15T02:40:06.913239,40132850.54158404,15152981.211002402
2017-04-15T03:00:06.414209,21281819.116278213,6218023.794295683,2017-04-15T03:00:06.390624,42698704.86947069,17691211.715157073
2017-04-15T03:20:06.620616,18339041.39694597,4557085.136706964,2017-04-15T03:20:06.603781,16262769.049715376,9740390.879732823
2017-04-15T03:40:07.218811,17882590.447756227,4587785.51218253,2017-04-15T03:40:07.226724,16099983.059244365,10810413.226438742
2017-04-15T04:00:06.844051,17168192.997624792,4851099.725408499,2017-04-15T04:00:06.856124,14901132.442720994,8952758.23316231
2017-04-15T04:20:06.741803,20350914.32461299,4642642.150976805,2017-04-15T04:20:06.750510,17173389.289771635,13344637.63848643
2017-04-15T04:40:06.258270,20921194.139812846,4430979.923532981,2017-04-15T04:40:06.248709,17116518.49577478,13176672.013416605
2017-04-15T05:00:06.642087,21401604.083258897,4596255.608891752,2017-04-15T05:00:06.633898,17221344.05381671,13206012.258253913
2017-04-15T05:20:06.531484,20854711.571426947,4422796.678986499,2017-04-15T05:20:06.546346,16437543.698457932,12587396.227631582
2017-04-15T05:40:06.242401,20853497.42597194,4438185.805871705,2017-04-15T05:40:06.256504,16562321.544496534,12888433.016573893
2017-04-15T06:00:06.352945,21341838.109308127,4978075.543932933,2017-04-15T06:00:06.357795,13288077.704917755,12234104.760840472
2017-04-15T06:20:07.054771,18035107.82164409,4568045.6490597455,2017-04-15T06:20:07.072548,16519277.879102604,9059106.101416754
2017-04-15T06:40:07.020411,17603517.27447516,4753825.975599762,2017-04-15T06:40:06.994052,15648616.96749216,8043703.395842807
2017-04-15T07:00:07.013522,21961843.08188867,4399673.667468406,2017-04-15T07:00:07.025895,17351625.715329833,12670467.899341196
2017-04-15T07:20:06.715718,22329492.28107259,8954502.566351198,2017-04-15T07:20:06.709484,36523187.31235378,18516063.387549493
2017-04-15T07:40:06.753340,22236192.1552559,4476815.726926265,2017-04-15T07:40:06.768717,16695662.45733198,12837721.963698406
2017-04-15T08:00:06.638795,19002881.590320986,4387817.8458556915,2017-04-15T08:00:06.631005,16461131.184658324,10415958.415643904
2017-04-15T08:20:06.724494,20753701.10805899,4740946.92568122,2017-04-15T08:20:06.740906,16490006.92142561,10861599.14196558
2017-04-15T08:40:06.874946,17639075.325717326,4823536.083888611,2017-04-15T08:40:06.887879,17418292.008070398,12855088.93180049
2017-04-15T09:00:06.537498,17837549.939549908,4710742.194646885,2017-04-15T09:00:06.528774,16080298.115493866,8928381.48400655
2017-04-15T09:20:06.721790,21757926.65561535,4904479.988666117,2017-04-15T09:20:06.714959,17802059.35390158,15114362.650073456
2017-04-15T09:40:07.149299,19199520.52379488,7654183.7354120035,2017-04-15T09:40:07.156000,26273706.963725414,17345484.294519
