"Correct guesses, x","Correct guesses, y","Wrong guesses, x","Wrong guesses, y"
e25456,e7ba1b,b7ee89,4f3407
0,0.3460875531,3,-0.4679417132
1,-0.2948995078,4,0.2227914224
2,0.2990803164,5,-0.1454789912
7,0.1096077193,6,-0.3027441462
8,-0.5431036377,9,0.0809016457
10,-0.8009734016,12,-0.1076890976
11,-0.1706529363,15,-1.3993673796
13,0.6647249176,17,1.3784440419
14,0.1950898249,18,-0.0239877928
16,-0.5766985366,19,0.6176261371
21,-0.754715765,20,-3.8917435643
23,1.4293636574,22,2.0886903299
24,2.6588265802,25,-0.5937685556
26,7.1900932124,27,-0.3519098883
28,0.4414602365,31,-0.6640203433
29,0.3670921755,32,0.6094332653
30,1.0510712252,34,1.1080287322
33,-0.7166595504,36,-2.0797817108
35,-0.2851887207,37,-0.7745202819
39,1.1336236209,38,0.2610074041
40,-0.2417413866,42,0.6199417191
41,-0.1234820451,43,-0.4195604627
44,-0.2711345687,46,-0.294604642
45,0.796404776,48,0.0931167316
47,0.2993782215,51,0.0652660607
49,-0.4674173032,53,-0.671860531
50,-0.8303249854,54,-0.021316417
52,0.1104488027,55,-0.1307200135
56,-0.2227118669,61,-1.7267925988
57,-0.2773550744,63,0.184611544
58,0.1385847109,65,0.2628313645
59,0.9936803552,66,-0.5049279345
60,-0.0468047335,68,0.1387967959
62,0.6183531124,70,-0.1644480334
64,0.5331752242,71,0.2424104122
67,-0.0296518636,73,-0.6492826867
69,-0.1143344497,74,0.9364066412
72,-0.1208249276,75,0.1405065261
77,-1.271621959,76,0.3153363096
78,-0.3806781214,79,0.1034765956
82,-0.7083568351,80,-0.2090449853
83,0.596349306,81,0.7124969991
84,-0.6620246774,87,-0.4771867228
85,-0.3042151529,89,0.5607249742
86,-0.4326147586,90,0.1113204621
88,-0.7856640301,92,-1.3152845362
91,1.065935692,96,-0.4148388195
93,0.2307075573,97,-0.6924725984
94,0.4802116686,98,0.184587732
95,-0.147821483,99,0.3744914327
102,-2.5134770944,100,-0.8995879166
110,0.1731334369,101,-0.41437151
111,0.8488913758,103,-0.9299694871
114,-0.7776809939,104,-3.6116142144
117,0.3156739356,105,1.1597266843
119,-0.9878690609,106,-0.1415383102
122,-1.1910966433,107,-2.6137786723
126,0.4291819206,108,1.0249232052
128,-0.5315578996,109,0.463838706
129,-0.4389417879,112,-0.8766220222
130,-0.2289317978,113,1.5641820525
131,-0.0781672315,115,1.1601007858
132,0.1989671862,116,-0.3631178256
133,-0.3635321637,118,-1.8732183237
134,-0.0640584004,120,0.0268198515
135,-0.2356559172,121,-0.8151296074
136,0.1906275633,123,-0.0420643545
138,-0.3695514405,124,0.1284162812
139,-0.3261598288,125,-0.4278017502
140,1.2710124614,127,0.5281355145
141,0.0210872526,137,0.5925391615
142,0.0228165398,146,0.4127942237
143,-0.019045786,149,0.3376559288
144,-0.3313942295,152,-0.0612210664
145,-0.3537022835,153,-0.1236296654
147,-0.351811583,154,-0.1176804535
148,-0.3560649673,155,-0.0320070027
150,0.0372841339,157,0.1095693071
151,0.3703142243,159,0.1174060679
156,-0.1503299668,162,0.9231564366
158,0.0026082802,166,-0.6576296744
160,0.4232965345,167,-0.2992782281
161,0.0715650835,170,0.0177228321
163,0.3631751714,173,0.5493594349
164,0.3244150037,176,-0.3270763986
165,-0.3468674914,177,-0.2618119071
168,0.784621167,179,0.203424336
169,0.0421551459,192,-0.2237764186
171,0.4501554744,194,-0.125532084
172,-0.15352962,195,0.0537351621
174,0.4792160452,196,-0.2560164862
175,-0.2684072154,198,-1.1227904434
178,0.1959249557,199,-0.4492224303
180,-0.9261384584,200,-0.1423403163
181,-0.0067131551,208,2.2353388408
182,-0.084514006,209,-2.2429831916
