"75$/sqft, lat","75$/sqft, lon","125$/sqft, lat","125$/sqft, lon","175$/sqft, lat","175$/sqft, lon","225$/sqft, lat","225$/sqft, lon","275$/sqft, lat","275$/sqft, lon","325$/sqft, lat","325$/sqft, lon","375$/sqft, lat","375$/sqft, lon","425$/sqft, lat","425$/sqft, lon","475$/sqft, lat","475$/sqft, lon","525$/sqft, lat","525$/sqft, lon","575$/sqft, lat","575$/sqft, lon","625$/sqft, lat","625$/sqft, lon","675$/sqft, lat","675$/sqft, lon","Votre maison, lat","Votre maison, lon"
f32497,4e6244,83dbcc,db7290,e1d3f6,6792c6,dbe524,1d88bf,0167eb,fb8f0e,2b9a22,f616fd,9b66cf,3c7282,6da1d1,8c42a3,b64b7f,124054,2f0684,224afd,70fceb,debd18,c7d366,754d88,1c8410,b5e68a,7ef01f,568b3b
47.7379,-122.233,47.3097,-122.327,47.5112,-122.257,47.7277,-121.962,47.6168,-122.045,47.721,-122.319,47.69,-122.292,47.5208,-122.393,47.5316,-122.233,47.6386,-122.36,47.6338,-122.358,47.5666,-122.231,47.6166,-122.287,47.6080359,-122.3096377
47.4965,-122.303,47.5123,-122.337,47.4095,-122.315,47.3533,-122.166,47.6561,-122.005,47.5714,-122.375,47.67,-122.394,47.6827,-122.31,47.6823,-122.368,47.4041,-122.451,47.6636,-122.33,47.5821,-122.39,47.6053,-122.077,,
47.3537,-122.0,47.3684,-122.031,47.7558,-122.229,47.3048,-122.218,47.6007,-122.145,47.6648,-122.343,47.6221,-122.314,47.6413,-122.364,47.6796,-122.301,47.5636,-122.394,47.7183,-122.258,47.6374,-122.279,47.6891,-122.159,,
47.7721,-122.093,47.3266,-122.169,47.3089,-122.21,47.5391,-122.07,47.6127,-122.045,47.6889,-122.375,47.6702,-122.362,47.6808,-122.384,47.6597,-122.29,47.6647,-122.284,47.6597,-122.274,47.6364,-122.3,47.6821,-122.196,,
47.7461,-122.195,47.3739,-122.172,47.3343,-122.306,47.7274,-122.357,47.7025,-122.341,47.445,-122.347,47.6989,-122.369,47.6506,-122.391,47.6337,-122.365,47.6759,-122.151,47.6583,-122.351,47.6696,-122.261,47.7142,-122.286,,
47.6499,-121.909,47.3663,-122.114,47.4276,-122.157,47.5301,-122.18,47.695,-122.304,47.6571,-122.281,47.5815,-122.192,47.687,-122.386,47.5873,-122.249,47.5836,-122.387,47.6476,-122.318,47.6338,-122.319,47.5602,-122.227,,
47.4672,-122.291,47.3663,-122.122,47.3341,-122.282,47.6848,-122.016,47.7073,-122.11,47.588,-122.116,47.6303,-122.215,47.6823,-122.349,47.5814,-122.196,47.6221,-122.193,47.6655,-122.369,47.6367,-122.318,47.5747,-122.283,,
47.3109,-122.376,47.3378,-122.257,47.7443,-121.977,47.4485,-122.175,47.6621,-122.132,47.6765,-122.32,47.7168,-122.287,47.6981,-122.368,47.6141,-122.212,47.4169,-122.348,47.6271,-122.197,47.6702,-122.26,47.6948,-122.286,,
47.467,-122.215,47.3608,-122.036,47.3066,-122.371,47.4366,-122.335,47.6145,-122.027,47.5394,-122.387,47.7073,-122.34,47.6734,-122.38,47.6763,-122.352,47.6935,-122.352,47.6849,-122.273,47.6565,-122.278,47.5347,-122.38,,
47.2638,-121.906,47.518,-122.194,47.4258,-122.322,47.4428,-122.344,47.6194,-122.151,47.6775,-122.372,47.6415,-122.315,47.6354,-122.353,47.65,-122.34,47.6245,-122.198,47.6609,-122.324,47.5859,-122.291,47.6482,-122.412,,
47.2997,-122.269,47.2897,-122.372,47.4934,-122.189,47.5747,-122.304,47.4336,-122.339,47.5386,-122.053,47.6878,-122.38,47.6627,-122.188,47.6362,-122.302,47.5708,-122.359,47.6227,-122.31,47.574,-122.415,47.689,-122.352,,
47.683,-122.176,47.322,-122.351,47.5059,-122.149,47.3621,-122.11,47.6113,-122.297,47.6824,-122.347,47.7135,-122.287,47.5884,-122.291,47.6452,-122.411,47.682,-122.348,47.6919,-122.294,47.5363,-122.385,47.5825,-122.4,,
47.3099,-122.09,47.3576,-122.277,47.7362,-122.179,47.6034,-122.125,47.6525,-122.16,47.587,-122.294,47.6722,-122.381,47.6979,-122.32,47.5818,-122.402,47.7,-122.292,47.6258,-122.302,47.6341,-122.208,47.653,-122.415,,
47.4785,-122.229,47.3813,-122.322,47.3511,-122.073,47.342,-122.025,47.5822,-121.987,47.5343,-122.054,47.6873,-122.336,47.7618,-122.261,47.5553,-122.22,47.6372,-122.352,47.5442,-122.38,47.5922,-122.388,47.59,-122.229,,
47.6248,-122.301,47.3129,-122.39,47.3512,-122.008,47.5474,-122.291,47.687,-122.386,47.697,-122.072,47.6838,-122.353,47.6239,-122.298,47.5951,-122.307,47.5533,-122.391,47.5744,-122.283,47.3509,-122.323,47.643,-122.361,,
47.4819,-122.223,47.2761,-122.152,47.349,-122.031,47.7264,-122.31,47.7731,-122.08,47.7421,-122.026,47.655,-122.359,47.6794,-122.357,47.6362,-122.322,47.5529,-122.281,47.6377,-122.212,47.634,-122.288,47.6797,-122.359,,
47.3737,-122.312,47.3257,-122.296,47.4811,-122.149,47.5228,-122.199,47.7728,-122.386,47.679,-122.3,47.7171,-122.193,47.565,-122.381,47.7174,-122.282,47.654,-122.342,47.6499,-122.37,47.6777,-122.306,47.657,-122.394,,
47.4509,-122.275,47.3309,-122.299,47.2909,-122.189,47.7304,-122.082,47.6897,-122.098,47.5868,-122.308,47.6993,-122.102,47.5815,-122.402,47.5437,-122.388,47.6861,-122.354,47.5487,-122.197,47.6235,-122.306,47.6306,-122.288,,
47.4799,-122.296,47.4563,-122.171,47.3036,-122.378,47.7288,-122.226,47.5517,-121.998,47.6101,-122.307,47.5673,-122.21,47.5505,-122.221,47.6763,-122.37,47.5917,-122.386,47.6794,-122.37,47.6901,-122.356,47.7161,-122.219,,
47.5056,-122.244,47.408,-122.327,47.4109,-121.958,47.6999,-122.364,47.7689,-122.266,47.5384,-122.376,47.6692,-122.297,47.717,-122.281,47.6416,-122.397,47.6684,-122.331,47.6406,-122.304,47.6909,-122.339,47.5203,-122.393,,
47.3911,-122.191,47.3026,-122.374,47.4838,-121.714,47.5299,-122.266,47.7144,-122.351,47.5378,-122.219,47.5503,-122.102,47.5645,-122.082,47.6231,-122.293,47.5934,-122.244,47.5829,-122.247,47.6321,-122.304,47.6319,-122.288,,
47.2881,-122.294,47.1976,-121.999,47.4375,-122.184,47.5319,-121.85,47.4877,-122.335,47.5733,-122.381,47.5503,-122.102,47.684,-122.205,47.6051,-122.319,47.5739,-122.234,47.5988,-122.207,47.6427,-122.304,47.5596,-122.403,,
47.3313,-122.198,47.3099,-122.379,47.4431,-122.133,47.5495,-122.174,47.6012,-122.023,47.5133,-122.379,47.669,-122.275,47.6454,-122.373,47.6561,-122.332,47.6513,-122.346,47.6999,-122.393,47.6801,-122.348,47.6245,-122.327,,
47.3035,-122.307,47.4616,-122.184,47.6417,-122.109,47.5262,-121.943,47.7319,-122.224,47.5123,-122.373,47.6666,-122.331,47.4711,-122.084,47.7,-122.292,47.6275,-122.227,47.674,-122.196,47.6515,-122.197,47.5996,-122.288,,
47.505,-122.171,47.7481,-122.3,47.3624,-122.031,47.525,-122.172,47.565,-122.125,47.4497,-122.375,47.5644,-122.289,47.6376,-122.353,47.6272,-122.209,47.6711,-122.364,47.5762,-122.415,47.621,-122.302,47.6634,-122.2,,
47.374,-122.296,47.2779,-122.347,47.5474,-122.295,47.2086,-121.996,47.7028,-122.231,47.6727,-122.299,47.3889,-122.482,47.5502,-122.311,47.6749,-122.323,47.692,-122.338,47.6689,-122.37,47.7213,-122.29,47.6285,-122.361,,
47.4938,-122.262,47.3777,-122.165,47.3183,-122.253,47.7209,-122.168,47.4776,-122.337,47.6779,-122.353,47.6885,-122.337,47.6136,-122.299,47.617,-122.282,47.5831,-122.193,47.6896,-122.362,47.6312,-122.291,47.6104,-122.303,,
47.3494,-122.153,47.4604,-122.339,47.5009,-122.248,47.7458,-122.331,47.5619,-122.125,47.6846,-122.345,47.5724,-122.179,47.6634,-122.34,47.6196,-122.292,47.5684,-122.06,47.6344,-122.214,47.7404,-122.284,47.5554,-122.077,,
47.4075,-122.294,47.398,-122.299,47.5091,-122.244,47.7658,-122.339,47.6106,-122.31,47.5964,-122.299,47.6408,-122.219,47.6844,-122.113,47.5786,-122.236,47.6852,-122.311,47.6563,-122.401,47.6055,-122.285,47.5876,-122.204,,
47.4762,-122.293,47.4075,-122.214,47.5707,-122.128,47.6477,-122.182,47.7044,-122.2,47.4683,-122.438,47.559,-122.164,47.5894,-122.195,47.7053,-122.34,47.686,-122.391,47.643,-122.359,47.6729,-122.334,47.6801,-122.357,,
47.2109,-121.985,47.3103,-122.339,47.3887,-122.286,47.7224,-122.358,47.62,-122.043,47.6802,-122.29,47.6344,-122.174,47.7142,-122.286,47.6106,-122.31,47.6158,-122.293,47.693,-121.868,47.6624,-122.361,47.6288,-122.284,,
47.4889,-122.259,47.3076,-122.395,47.3255,-122.304,47.7606,-122.336,47.6647,-122.153,47.7285,-122.042,47.6179,-122.005,47.6893,-122.349,47.4815,-122.47,47.6305,-122.3,47.6367,-121.958,47.6413,-122.405,47.5803,-122.403,,
47.2841,-122.255,47.2785,-122.213,47.4479,-122.176,47.4058,-121.994,47.5505,-122.219,47.7107,-122.352,47.7081,-122.215,47.6585,-122.273,47.7345,-122.285,47.5732,-122.411,47.6799,-122.268,47.6392,-122.165,47.5427,-122.265,,
47.3891,-122.282,47.3656,-122.278,47.3135,-122.369,47.7073,-122.114,47.5511,-122.312,47.5712,-122.143,47.6192,-122.301,47.6921,-122.38,47.6537,-122.195,47.5806,-122.244,47.7124,-122.253,47.5708,-122.192,47.6454,-122.218,,
47.4933,-122.245,47.4369,-122.111,47.4715,-122.118,47.6143,-122.017,47.5488,-122.372,47.7776,-122.384,47.5872,-122.39,47.5912,-122.384,47.6191,-122.099,47.664,-122.287,47.6368,-122.354,47.6701,-122.259,47.5979,-122.197,,
47.4976,-122.262,47.4207,-122.29,47.4582,-122.023,47.5458,-122.268,47.675,-122.394,47.601,-122.294,47.6554,-122.018,47.6347,-122.396,47.4781,-122.49,47.5373,-122.224,47.5862,-122.198,47.6344,-122.369,47.6363,-122.207,,
47.422,-122.066,47.4045,-122.171,47.3505,-122.179,47.7145,-122.367,47.7067,-122.343,47.7357,-122.333,47.6734,-122.173,47.6675,-122.289,47.6078,-122.157,47.6249,-122.311,47.6313,-122.369,47.6277,-122.286,47.6217,-122.192,,
47.4869,-122.34,47.2988,-122.371,47.3848,-122.039,47.5836,-122.026,47.4889,-122.299,47.6638,-122.345,47.6033,-121.943,47.6402,-122.37,47.7591,-122.073,47.6921,-122.283,47.5786,-122.287,47.6768,-122.39,47.6385,-122.348,,
47.483,-122.33,47.4145,-122.166,47.726,-122.191,47.6794,-122.034,47.7663,-122.215,47.644,-122.319,47.6368,-122.097,47.69,-122.304,47.6515,-122.346,47.6331,-122.31,47.6472,-122.373,47.6395,-122.214,47.6626,-122.269,,
47.3679,-122.182,47.5048,-122.272,47.5385,-121.911,47.5218,-122.164,47.7076,-122.013,47.592,-122.166,47.5897,-122.292,47.6804,-122.358,47.686,-122.395,47.7602,-122.278,47.6344,-122.215,47.6187,-122.284,47.5722,-122.236,,
47.3585,-121.975,47.7486,-122.23,47.5093,-122.184,47.5575,-122.303,47.6489,-122.183,47.5639,-122.217,47.5494,-122.216,47.6972,-122.4,47.647,-122.41,47.6362,-122.282,47.6578,-122.28,47.6242,-122.306,47.6542,-122.373,,
47.3357,-122.175,47.3494,-122.301,47.3025,-122.37,47.3459,-121.95,47.6136,-122.303,47.5603,-122.222,47.7047,-122.373,47.6653,-122.372,47.6194,-122.208,47.5232,-122.383,47.5404,-122.268,47.6574,-122.278,47.6182,-122.215,,
47.4752,-122.271,47.529,-121.837,47.4787,-122.158,47.4616,-121.711,47.7641,-122.023,47.4853,-121.709,47.6372,-122.395,47.5303,-122.378,47.4881,-121.721,47.6405,-122.301,47.6429,-122.327,47.6342,-122.289,47.6725,-122.327,,
47.4899,-122.337,47.4441,-122.125,47.354,-122.047,47.5405,-122.27,47.5308,-122.376,47.4508,-122.359,47.682,-122.372,47.6707,-122.328,47.6446,-122.403,47.639,-122.219,47.6367,-122.364,47.6215,-122.29,47.6641,-122.293,,
47.3046,-122.215,47.4957,-122.352,47.3185,-122.275,47.5278,-122.345,47.5544,-122.358,47.6831,-122.329,47.6821,-122.273,47.6593,-122.327,47.5588,-122.364,47.6786,-122.367,47.5636,-122.231,47.6257,-122.208,47.6145,-122.284,,
47.4191,-122.33,47.4957,-122.352,47.3758,-122.217,47.4756,-122.147,47.4672,-122.165,47.5543,-122.148,47.5395,-122.39,47.6807,-122.369,47.612,-122.292,47.6458,-122.32,47.5727,-122.409,47.6875,-122.357,47.6961,-122.316,,
47.5828,-122.382,47.3483,-122.052,47.3828,-122.023,47.7048,-122.109,47.5461,-122.151,47.5483,-122.226,47.5044,-122.35,47.5634,-122.156,47.6848,-122.326,47.5954,-122.206,47.6136,-122.297,47.6712,-122.272,47.6735,-122.332,,
47.4745,-122.343,47.3581,-122.173,47.2922,-122.371,47.6154,-122.047,47.7128,-122.223,47.5634,-122.213,47.6718,-122.267,47.6397,-122.388,47.6503,-122.338,47.6803,-122.387,47.5738,-122.215,47.6582,-122.28,47.6572,-122.346,,
