"Following, x","Following, y","Followers, x","Followers, y"
8cab92,1a5643,d93951,038c1d
2017-12-02 21:00:06.862917,4213,2017-12-02 21:00:06.864838,1658
2017-12-02 21:15:02.485691,4207,2017-12-02 21:15:02.487399,1658
2017-12-02 21:30:05.729087,4202,2017-12-02 21:30:05.730387,1658
2017-12-02 21:57:52.563758,4190,2017-12-02 21:57:52.565240,1658
2017-12-02 22:02:21.097976,4188,2017-12-02 22:02:21.100014,1658
2017-12-03 00:00:05.623468,4130,2017-12-03 00:00:05.624782,1656
2017-12-03 06:00:05.801145,3953,2017-12-03 06:00:05.803637,1661
2017-12-03 12:00:05.391501,3776,2017-12-03 12:00:05.392922,1659
2017-12-03 18:00:06.124592,3660,2017-12-03 18:00:06.140915,1663
2017-12-03 20:48:34.268490,3660,2017-12-03 20:48:34.273361,1663
2017-12-04 00:00:05.930043,3660,2017-12-04 00:00:05.933475,1660
2017-12-04 06:00:06.038346,3661,2017-12-04 06:00:06.042118,1663
2017-12-04 12:00:05.296528,3661,2017-12-04 12:00:05.300400,1662
2017-12-04 18:00:05.369664,3504,2017-12-04 18:00:05.374168,1666
2017-12-05 00:00:05.788302,3237,2017-12-05 00:00:05.791842,1666
2017-12-05 06:00:06.210761,3500,2017-12-05 06:00:06.215499,1667
2017-12-05 12:00:06.707914,3749,2017-12-05 12:00:06.711547,1667
2017-12-05 18:00:07.474020,3911,2017-12-05 18:00:07.477966,1667
2017-12-08 02:29:56.376891,3810,2017-12-08 02:29:56.388772,1683
2017-12-08 06:00:05.872719,3654,2017-12-08 06:00:05.875635,1684
2017-12-08 12:00:05.974855,3386,2017-12-08 12:00:05.976501,1684
2017-12-08 17:12:17.319011,3153,2017-12-08 17:12:17.324220,1683
2017-12-08 17:12:52.869642,3152,2017-12-08 17:12:52.871722,1683
2017-12-08 17:17:02.645682,3149,2017-12-08 17:17:02.647821,1683
2017-12-08 17:34:50.626680,3136,2017-12-08 17:34:50.629107,1683
2017-12-08 17:48:03.323302,3131,2017-12-08 17:48:03.352393,1683
2017-12-08 18:00:05.367463,3123,2017-12-08 18:00:05.369547,1683
2017-12-09 00:00:07.713676,2896,2017-12-09 00:00:07.719665,1684
2017-12-09 06:00:05.358510,2630,2017-12-09 06:00:05.362401,1684
2017-12-09 12:00:05.779157,2360,2017-12-09 12:00:05.789878,1683
2017-12-09 18:00:06.029828,2214,2017-12-09 18:00:06.034767,1681
2017-12-09 19:16:23.568654,2198,2017-12-09 19:16:23.571424,1682
2017-12-10 00:00:05.250691,2198,2017-12-10 00:00:05.255159,1681
2017-12-10 06:00:05.808438,2199,2017-12-10 06:00:05.810446,1682
2017-12-10 12:00:05.503486,2199,2017-12-10 12:00:05.505696,1682
2017-12-10 18:00:06.052162,2132,2017-12-10 18:00:06.069319,1681
2017-12-11 00:00:05.916538,1871,2017-12-11 00:00:05.918736,1682
2017-12-11 06:00:05.331840,1605,2017-12-11 06:00:05.334199,1681
2017-12-11 12:00:05.340188,1490,2017-12-11 12:00:05.342200,1682
2017-12-11 18:00:05.383581,1492,2017-12-11 18:00:05.385695,1680
2017-12-12 00:00:05.419968,1491,2017-12-12 00:00:05.424361,1679
2017-12-12 06:00:05.162480,1491,2017-12-12 06:00:05.164641,1676
2017-12-12 12:00:05.017214,1491,2017-12-12 12:00:05.019579,1677
2017-12-12 18:00:05.096153,1492,2017-12-12 18:00:05.098288,1678
2017-12-13 00:00:06.782518,1490,2017-12-13 00:00:06.786679,1678
2017-12-13 06:00:05.734138,1492,2017-12-13 06:00:05.736446,1680
2017-12-13 12:00:05.666216,1492,2017-12-13 12:00:05.668415,1680
2017-12-13 18:00:05.567577,1492,2017-12-13 18:00:05.570090,1679
2017-12-14 00:00:05.504888,1493,2017-12-14 00:00:05.507265,1678
2017-12-14 06:00:05.824222,1509,2017-12-14 06:00:05.833249,1677
2017-12-14 12:00:05.960630,1508,2017-12-14 12:00:05.965004,1677
2017-12-14 18:00:06.019522,1508,2017-12-14 18:00:06.021917,1678
2017-12-15 00:00:05.762924,1510,2017-12-15 00:00:05.767569,1678
2017-12-15 06:00:05.164806,1513,2017-12-15 06:00:05.181890,1680
2017-12-15 12:00:05.281625,1513,2017-12-15 12:00:05.284081,1679
2017-12-15 18:00:05.445144,1512,2017-12-15 18:00:05.447544,1678
2017-12-16 00:00:05.528720,1512,2017-12-16 00:00:05.531427,1679
2017-12-16 06:00:05.622124,1520,2017-12-16 06:00:05.625320,1681
