"Balance in $, x; Funds in $, x; Funds in Ƀ, x; Ƀ value in $, x; Trace 7, x; Trace 8, x","Balance in $, y","Funds in $, y","Funds in Ƀ, y","Ƀ value in $, y","RSI-14 below 30, x","RSI-14 below 30, y","RSI-14 above 70, x","RSI-14 above 70, y","RSI-14 value, x","RSI-14 value, y","Trace 7, y","Trace 8, y"
c97e77,3ab237,60300d,55b17d,d76113,326a6c,25282f,535d42,5ff5a2,31b6f7,cab095,8fd071,12d32f
2017-11-29T00:00:00+00:00,10000.0,10000,0,9900,2017-12-08T12:00:00+00:00,14705,2017-12-01T19:00:00+00:00,10550.09,2017-11-29T15:00:00+00:00,66.7729909203,70,30
2017-11-29T01:00:00+00:00,10000.0,10000,0,9996.7,2017-12-09T16:00:00+00:00,14029.86,2017-12-01T20:00:00+00:00,10773.66,2017-11-29T16:00:00+00:00,64.4230892324,70,30
2017-11-29T02:00:00+00:00,10000.0,10000,0,10124.01,2017-12-09T17:00:00+00:00,13216.76,2017-12-01T21:00:00+00:00,10903.5,2017-11-29T17:00:00+00:00,56.1842180822,70,30
2017-11-29T03:00:00+00:00,10000.0,10000,0,10263.96,2017-12-18T00:00:00+00:00,18001,2017-12-01T22:00:00+00:00,10815,2017-11-29T18:00:00+00:00,47.7433140718,70,30
2017-11-29T04:00:00+00:00,10000.0,10000,0,10424.95,2017-12-19T11:00:00+00:00,17759.44,2017-12-02T00:00:00+00:00,10897.61,2017-11-29T19:00:00+00:00,40.271794718,70,30
2017-11-29T05:00:00+00:00,10000.0,10000,0,10083.99,2017-12-19T21:00:00+00:00,17059.08,2017-12-02T01:00:00+00:00,11035,2017-11-29T20:00:00+00:00,44.8069060637,70,30
2017-11-29T06:00:00+00:00,10000.0,10000,0,10301.36,2017-12-19T22:00:00+00:00,17279.79,2017-12-02T02:00:00+00:00,11039.87,2017-11-29T21:00:00+00:00,45.3841443538,70,30
2017-11-29T07:00:00+00:00,10000.0,10000,0,10508.02,2017-12-21T02:00:00+00:00,16338.55,2017-12-02T09:00:00+00:00,11147.17,2017-11-29T22:00:00+00:00,40.0593619469,70,30
2017-11-29T08:00:00+00:00,10000.0,10000,0,10629.19,2017-12-21T17:00:00+00:00,15322.09,2017-12-03T05:00:00+00:00,11060,2017-11-29T23:00:00+00:00,37.2101154048,70,30
2017-11-29T09:00:00+00:00,10000.0,10000,0,10709.96,2017-12-21T18:00:00+00:00,15289.97,2017-12-03T11:00:00+00:00,11584.34,2017-11-30T00:00:00+00:00,38.0992260516,70,30
2017-11-29T10:00:00+00:00,10000.0,10000,0,10843,2017-12-21T19:00:00+00:00,15372.95,2017-12-03T12:00:00+00:00,11601,2017-11-30T01:00:00+00:00,44.9790296257,70,30
2017-11-29T11:00:00+00:00,10000.0,10000,0,10770.24,2017-12-21T20:00:00+00:00,15269.62,2017-12-03T13:00:00+00:00,11650.3,2017-11-30T02:00:00+00:00,43.5664501013,70,30
2017-11-29T12:00:00+00:00,10000.0,10000,0,10881.77,2017-12-21T21:00:00+00:00,15715.11,2017-12-03T14:00:00+00:00,11600,2017-11-30T03:00:00+00:00,38.7775387539,70,30
2017-11-29T13:00:00+00:00,10000.0,10000,0,11220,2017-12-21T22:00:00+00:00,15656.43,2017-12-03T15:00:00+00:00,11744.22,2017-11-30T04:00:00+00:00,41.1698732772,70,30
2017-11-29T14:00:00+00:00,10000.0,10000,0,11154.93,2017-12-21T23:00:00+00:00,15600.01,2017-12-03T16:00:00+00:00,11669.57,2017-11-30T05:00:00+00:00,43.0483352274,70,30
2017-11-29T15:00:00+00:00,9999.01,9999.01,0,10819.12,2017-12-22T00:00:00+00:00,15050,2017-12-03T17:00:00+00:00,11662.95,2017-11-30T06:00:00+00:00,40.5366636688,70,30
2017-11-29T16:00:00+00:00,9999.01,9999.01,0,10800,2017-12-22T01:00:00+00:00,14588,2017-12-03T18:00:00+00:00,11725,2017-11-30T07:00:00+00:00,44.5996965316,70,30
2017-11-29T17:00:00+00:00,9999.01,9999.01,0,10565.5,2017-12-22T02:00:00+00:00,14000,2017-12-03T19:00:00+00:00,11725,2017-11-30T08:00:00+00:00,48.6408751814,70,30
2017-11-29T18:00:00+00:00,9999.01,9999.01,0,10310.68,2017-12-22T03:00:00+00:00,14298.57,2017-12-05T01:00:00+00:00,11555,2017-11-30T09:00:00+00:00,63.9207613391,70,30
2017-11-29T19:00:00+00:00,9999.01,9999.01,0,9500,2017-12-22T06:00:00+00:00,13408,2017-12-05T03:00:00+00:00,11598.17,2017-11-30T10:00:00+00:00,40.6753954251,70,30
2017-11-29T20:00:00+00:00,9999.01,9999.01,0,9964,2017-12-22T07:00:00+00:00,13300.06,2017-12-05T07:00:00+00:00,11728.14,2017-11-30T11:00:00+00:00,40.3293157999,70,30
2017-11-29T21:00:00+00:00,9999.01,9999.01,0,10204.99,2017-12-22T08:00:00+00:00,13200,2017-12-05T08:00:00+00:00,11745.46,2017-11-30T12:00:00+00:00,47.9699119583,70,30
2017-11-29T22:00:00+00:00,9999.01,9999.01,0,9949.98,2017-12-22T13:00:00+00:00,12367.08,2017-12-05T09:00:00+00:00,11649.2,2017-11-30T13:00:00+00:00,38.8745217047,70,30
2017-11-29T23:00:00+00:00,9999.01,9999.01,0,9824.68,2017-12-22T14:00:00+00:00,12267.39,2017-12-06T02:00:00+00:00,12151.49,2017-11-30T14:00:00+00:00,41.3532168888,70,30
2017-11-30T00:00:00+00:00,9999.01,9999.01,0,10007.43,2017-12-24T11:00:00+00:00,13223.98,2017-12-06T03:00:00+00:00,12251,2017-11-30T15:00:00+00:00,30.9959682542,70,30
2017-11-30T01:00:00+00:00,9999.01,9999.01,0,10386.91,2017-12-24T12:00:00+00:00,12950,2017-12-06T04:00:00+00:00,12200.43,2017-11-30T16:00:00+00:00,31.0657952303,70,30
2017-11-30T02:00:00+00:00,9999.01,9999.01,0,10402.89,2017-12-27T18:00:00+00:00,15029.99,2017-12-06T05:00:00+00:00,12230,2017-11-30T17:00:00+00:00,37.0738800919,70,30
2017-11-30T03:00:00+00:00,9999.01,9999.01,0,10450,2017-12-27T19:00:00+00:00,14825.01,2017-12-06T06:00:00+00:00,12372,2017-11-30T18:00:00+00:00,35.9650429053,70,30
2017-11-30T04:00:00+00:00,9999.01,9999.01,0,10543.97,2017-12-27T20:00:00+00:00,14723.52,2017-12-06T07:00:00+00:00,12379.88,2017-11-30T19:00:00+00:00,42.4185413743,70,30
2017-11-30T05:00:00+00:00,9999.01,9999.01,0,10359.12,2017-12-30T04:00:00+00:00,13050.42,2017-12-06T08:00:00+00:00,12399,2017-11-30T20:00:00+00:00,40.171785906,70,30
2017-11-30T06:00:00+00:00,9999.01,9999.01,0,10135,2017-12-30T06:00:00+00:00,13497.25,2017-12-06T09:00:00+00:00,12470,2017-11-30T21:00:00+00:00,43.0656309457,70,30
2017-11-30T07:00:00+00:00,9999.01,9999.01,0,10203.9,2017-12-30T09:00:00+00:00,13467.28,2017-12-06T10:00:00+00:00,12780,2017-11-30T22:00:00+00:00,44.97265674,70,30
