"[csgofast-fast], x; [csgo-blackjack], x; [csgofast-double], x; [csgofast], x; [csgo-lounge], x; [jersey2], x; [fanobet], x; [saloon2], x; [csgo-big], x; [easyplay], x","[csgofast-fast], y; [csgo-blackjack], y; [csgofast-double], y; [csgofast], y; [fanobet], y; [saloon2], y; [easyplay], y","[csgo-lounge], y","[jersey2], y","[csgo-big], y"
c19ca7,305727,63671e,0c3ce8,71efe6
12/29 - Fri,0,6,0,1
12/30 - Sat,0,2,0,1
12/31 - Sun,0,2,0,1
1/1 - Mon,0,0,0,1
1/2 - Tue,0,0,0,1
1/3 - Wed,0,0,11,0
1/4 - Thu,0,7,2,0
1/5 - Fri,0,12,28,1
1/6 - Sat,0,6,0,1
1/7 - Sun,0,5,0,1
1/8 - Mon,0,7,0,1
1/9 - Tue,0,2,11,1
1/10 - Wed,0,12,9,1
1/11 - Thu,0,13,6,1
