11/01/18,12/01/18,13/01/18,14/01/18,15/01/18,16/01/18,17/01/18,18/01/18,19/01/18,20/01/18,21/01/18,x,"Ultima Corrida, y"
3b2e6e,d10cc5,cd45e5,c7da57,93e092,de9f9b,236c80,d18ba6,afc683,3c441d,26479f,404bfd,65c7e6
0,0,0.0375,0,0.1125,0.05625,0.0375,0.075,0,0,0,11/01/18,0
0,0,0,0,0.1125,0.0375,0.0375,0.05625,0,0,,12/01/18,0
0.01875,0,0,0.01875,0.13125,0,0,0.09375,0.05625,0,,13/01/18,0
0,0,0,0.01875,0.09375,0,0,0.01875,0,0,,14/01/18,0
0.01875,0,0,0.075,0.05625,0,0,0.01875,0,0,,15/01/18,0.01875
0.01875,0,0,0.05625,0,0,0,0.01875,0,,,16/01/18,0
0,0,0.01875,0.1125,0.01875,0,0,0.0375,0,,,17/01/18,0
0,0,0.01875,0.1125,0.05625,0,0.05625,0.01875,0,,,18/01/18,0.05625
0.0375,0,0,0.13125,0.0375,0,0,0,0.01875,,,19/01/18,0.01875
0.075,0,0,0.09375,0.09375,0,0,0,,,,20/01/18,0
0.0375,0,0,0.05625,0.0375,0,0,0.0375,,,,21/01/18,0
0.075,0,0,0.01875,0.01875,0,0,0,,,,,
0.09375,0,0,0,0.01875,0,0,0.05625,,,,,
0.05625,0,0,0,0,0,0,,,,,,
0,0,0,0,0.01875,0,0,,,,,,
0.0375,0,0,0,0.01875,0,0,,,,,,
0,0,0,0,0,0,0,,,,,,
0,0,0,0.01875,0,0,,,,,,,
0,0,0,0,0,0,,,,,,,
0,0,0,0,0,0,,,,,,,
0,0,0,0,0,0,,,,,,,
0,0,0,0,0,,,,,,,,
0,0,0,0,0,,,,,,,,
0,0,0,0,0,,,,,,,,
0,0,0.01875,0,0.01875,,,,,,,,
0,0,0.01875,0,,,,,,,,,
0,0.01875,0,0,,,,,,,,,
0,0,0.01875,0,,,,,,,,,
0,0,0.0375,0,,,,,,,,,
0,0,0,,,,,,,,,,
0,0,0,,,,,,,,,,
0,0.16875,0,,,,,,,,,,
0,0.13125,0,,,,,,,,,,
0,0.09375,,,,,,,,,,,
0,0.05625,,,,,,,,,,,
0,0,,,,,,,,,,,
0,0,,,,,,,,,,,
