"Jacobi java, x; Gauss java, x; Siedel java, x; Monte carlo java, x; Partial eigen, x; Sparse eigen, x","Jacobi java, y","Gauss java, y","Siedel java, y","Monte carlo java, y","Partial eigen, y","Sparse eigen, y"
507654,42e687,a564da,d99bdb,4887b1,6eeb08,b60524
0,0.028556659,0.07403298,0.016767304,1.3823338148,0.000378,0.000536
1,0.019540582,0.255094313,0.014832164,1.4048114246,0.006966,0.007638
2,0.007385651,0.016548373,0.00343477,0.9336569755,0.00108,0.001513
3,0.00135294,0.172724172,0.017303712,1.2709205654,0.006741,0.000211
4,0.0058145,0.015885115,0.003913755,0.9830638236,0.001079,0.001605
5,0.026736759,0.128640103,0.017237424,1.2967035006,0.006666,0.007215
6,0.030126937,0.130918775,0.020171666,1.2893179069,0.006651,0.008191
7,0.001287183,0.124351294,0.01826025,1.2518723896,0.006661,0.000215
8,0.02921044,0.305537399,0.020267193,1.395434896,0.017101,0.01532
9,0.048753316,0.645421827,0.034583741,1.717687752,0.028452,0.022173
10,0.017784033,0.129830689,0.012604664,1.5101828878,0.006666,0.008177
11,0.018334942,0.12462303,0.010502719,1.5034043845,0.006512,0.007873
12,0.001121561,0.003801517,0.000620145,0.8227707935,0.000353,0.000553
13,0.063685413,0.599240841,0.054973653,1.9924254577,0.028207,0.021665
14,0.008271023,0.051359541,0.004496505,1.1874262992,0.002963,0.003065
15,0.056388852,0.287890479,0.05115205,1.7215825258,0.017336,0.014534
16,0.014275591,0.044909876,0.009536165,1.2479682567,0.003196,0.003099
17,0.009477142,0.014520356,0.002605016,1.1573605147,0.001051,0.001543
18,0.007741354,0.049052489,0.00398175,1.2850374899,0.002975,0.003087
19,0.001164269,0.004113855,0.000540232,0.8922787106,0.000339,0.000536
20,0.014062442,0.045272221,0.01089141,1.2843877985,0.003101,0.003421
21,0.073060012,0.613609092,0.061413728,1.9089711433,0.028822,0.021246
22,0.060169234,0.618792214,0.055521885,1.9045258632,0.028332,0.022286
23,0.053101709,0.293945469,0.040689774,1.7267980426,0.016768,0.014503
24,0.051074905,0.27954661,0.03890582,1.6848814763,0.017703,0.015659
25,0.001783866,0.00380176,0.000653969,0.8395888554,0.000344,0.000567
26,0.013142362,0.045461509,0.009844164,1.1834906876,0.003056,0.00297
27,0.077483133,0.590850109,0.066893395,1.8971534831,0.043134,0.0295
28,0.05978057,0.282793664,0.047505316,1.7373795802,0.017354,0.014341
29,0.014128658,0.045083314,0.009810893,1.1864675882,0.00296,0.003252
30,0.043957933,0.605943586,0.037743796,1.9017570944,0.028543,0.022071
31,0.00113286,0.125744408,0.015340141,1.3608232051,0.006964,0.000263
32,0.001084042,0.003768883,0.000499424,0.871492913,0.000355,0.000555
33,0.069052945,0.643059688,0.060285212,1.8296989885,0.029467,0.021433
34,0.013409406,0.053157806,0.008633022,1.2538193966,0.002965,0.003136
35,0.033978386,0.599545928,0.022518553,1.8480001965,0.028256,0.021817
36,0.055035135,0.292420705,0.048811781,1.6491450772,0.017022,0.014709
37,0.064689464,0.281578424,0.046370333,1.7000713107,0.01684,0.014358
38,0.039210379,0.118259754,0.028114758,1.4490032793,0.006774,0.009118
39,0.004987757,0.016961236,0.004283448,1.1059168151,0.001149,0.002401
40,0.000168695,0.016989208,0.001669525,1.038672073,0.00219,7.3e-05
41,0.00431763,0.014584097,0.002361115,1.0394627469,0.001074,0.001652
42,0.067195524,0.602164371,0.054812712,1.8756136662,0.029453,0.021608
43,0.004764213,0.014427775,0.00242084,1.0584377542,0.001094,0.001567
44,0.000269821,0.014504194,0.0023862,1.0351648828,0.001093,4.3e-05
45,0.012009581,0.048908063,0.006992639,1.1616066248,0.003381,0.003115
46,0.005188856,0.01469206,0.002401418,1.0133367381,0.001099,0.001623
47,0.019523139,0.121860209,0.010956142,1.4407443323,0.007024,0.008235
48,0.013996376,0.044689029,0.009357505,1.1848112297,0.00295,0.003236
49,0.000318336,0.01462528,0.002415729,1.0324612634,0.001424,9e-05
50,0.001121899,0.003871309,0.000534304,0.8482472626,0.000401,0.000533
51,0.066046952,0.606377062,0.058483266,1.8774381946,0.02965,0.024583
52,0.001088393,0.003887514,0.000513507,0.8048422556,0.000346,0.000582
53,0.008583244,0.051425469,0.005670286,1.2456292022,0.002997,0.003268
54,0.078901842,0.641024801,0.090287686,2.134835083,0.028764,0.023068
55,0.001096685,0.003819704,0.000549219,0.8873471133,0.000368,0.000816
56,0.00829083,0.047996211,0.004903114,1.2614402893,0.003221,0.003262
57,0.004824946,0.018715541,0.002388624,1.0231223597,0.001117,0.001636
58,0.005720056,0.017425232,0.002461873,1.1245798679,0.001149,0.001626
59,0.001270815,0.003738628,0.000549041,0.926542452,0.000358,0.000569
60,0.016526955,0.025770722,0.0088804,1.124091649,0.001909,0.002432
61,0.068316995,0.665605854,0.064954577,2.1376418054,0.0306,0.024545
62,0.014314486,0.044845641,0.009519722,1.2624538081,0.003429,0.003169
63,0.039966609,0.680394143,0.029394049,1.8085975698,0.027975,0.021688
64,0.015259568,0.1245151,0.008113637,1.414562396,0.006685,0.008076
65,0.003865409,0.018876234,0.00180523,0.9950540655,0.001081,0.001593
