"yaxis data, x; Trace 1, x","yaxis data, y","Trace 1, y"
08031f,689e15,eb2775
"#RDLS49 : KAZAKHSTAN, HOPITAL, PECHE ELECTRIQUE, SOUFFRANCE ANIMALE",94838,37.0
L'EXPLOSION DE LA BULLE FINANCIERE MENACE,41536,17.0
KAZAKHSTAN : Nazerbaiev est un abominable tyran,19595,9.62
LA RELATION FISCALE AVEC LA SUISSE DOIT CHANGER !,29274,9.35
LE GOUVERNEMENT INTRODUIT LA SELECTION A L'UNIVERSITE,59246,42.0
"#RDLS48 : MEDIAS, JERUSALEM, UNIVERSITE, ONE PLANET SUMMIT",126996,37.0
73% DES ETUDIANTS TRAVAILLENT POUR PAYER LEURS ETUDES : CA SUFFIT !,15392,7.66666666667
"Selection, baccalaureat, stages, francophonie : l'universite en debat a l'Assemblee",12056,10.0
ASSEZ D'ENTENDRE DIRE QUE L'EDUCATION NATIONALE N'EST BONNE A RIEN !,9288,2.3
ETUDES : VOUS ALLEZ CONTRE LA LIBERTE DE CHOISIR SA VIE,10524,2.13333333333
LE MEDIA DEVOILE SA REDACTION,48918,119.0
"#RDLS47 : JOHNNY HALLYDAY, DEONTOLOGIE MEDIATIQUE, PAUVRETE, GLYPHOSATE",185042,30.0
Jean-Luc Melenchon a L'Emission politique le 30 novembre 2017,168803,132.0
DRAPEAU EUROPEEN : IL N'EST JAMAIS DERISOIRE DE DEBATTRE DE SYMBOLES,24058,1.73333333333
MELENCHON - Discours a la convention de la France insoumise - #ConventionFi,74670,79.0
Le Media fait son point d'etape,32676,88.0
L'EUROPE EST MENACEE D'UN EMBRASEMENT GENERAL,95292,40.0
"#RDLS46 : MAJORITE SEXUELLE, CLIMAT, LAICITE, LAFARGE, NUCLEAIRE, INVESTISSEMENTS, LIBAN",130609,32.0
IL FAUT REGLER LA QUESTION DE LA DETTE,45600,15.0
"#RDLS45 : CLIMAT, COP23, PARADISE PAPERS, PETROLE, LIBAN, IRAN, ARABIE SAOUDITE, CONTRE-BUDGET",112324,33.0
C'EST AUX GRANDES ENTREPRISES DE PAYER L'ARDOISE,17976,4.26666666667
PARADISE PAPERS : 5 PROPOSITIONS CONTRE L'EVASION FISCALE,51108,13.0
"#RDLS44 : INSECTES, GLYPHOSATE, TRAVAIL DETACHE, SECURITE SOCIALE, NUCLEAIRE",116148,26.0
DEFENSE : LA FRANCE DOIT ETRE INDEPENDANTE,36193,14.0
EUROPE : NOUS AVONS UN PLAN B,29962,10.0
LA SUPPRESSION DE L'ISF EST CHOQUANTE POUR LA JUSTICE SOCIALE,27015,5.16666666667
SUR LA CONTRIBUTION DE LA FRANCE AU BUDGET DE L'UNION EUROPEENNE,17702,6.28333333333
QU'EST-CE QUE L'AUTO-ENTREPRENEUR ?,17149,2.05
"#RDLS43 : EUROPE, BUDGET, TERRORISME, EXTREME DROITE, SYNDICALISME",108730,32.0
"RIEN, JAMAIS, AUCUNE MENACE NE NOUS FERA CEDER",39318,7.55
