x,y
725f45,8d6130
"#RDLS49 : KAZAKHSTAN, HOPITAL, PECHE ELECTRIQUE, SOUFFRANCE ANIMALE",94838
L'EXPLOSION DE LA BULLE FINANCIERE MENACE,41536
KAZAKHSTAN : Nazerbaiev est un abominable tyran,19595
LA RELATION FISCALE AVEC LA SUISSE DOIT CHANGER !,29274
LE GOUVERNEMENT INTRODUIT LA SELECTION A L'UNIVERSITE,59246
"#RDLS48 : MEDIAS, JERUSALEM, UNIVERSITE, ONE PLANET SUMMIT",126996
73% DES ETUDIANTS TRAVAILLENT POUR PAYER LEURS ETUDES : CA SUFFIT !,15392
"Selection, baccalaureat, stages, francophonie : l'universite en debat a l'Assemblee",12056
ASSEZ D'ENTENDRE DIRE QUE L'EDUCATION NATIONALE N'EST BONNE A RIEN !,9288
ETUDES : VOUS ALLEZ CONTRE LA LIBERTE DE CHOISIR SA VIE,10524
LE MEDIA DEVOILE SA REDACTION,48918
"#RDLS47 : JOHNNY HALLYDAY, DEONTOLOGIE MEDIATIQUE, PAUVRETE, GLYPHOSATE",185042
Jean-Luc Melenchon a L'Emission politique le 30 novembre 2017,168803
DRAPEAU EUROPEEN : IL N'EST JAMAIS DERISOIRE DE DEBATTRE DE SYMBOLES,24058
MELENCHON - Discours a la convention de la France insoumise - #ConventionFi,74670
Le Media fait son point d'etape,32676
L'EUROPE EST MENACEE D'UN EMBRASEMENT GENERAL,95292
"#RDLS46 : MAJORITE SEXUELLE, CLIMAT, LAICITE, LAFARGE, NUCLEAIRE, INVESTISSEMENTS, LIBAN",130609
IL FAUT REGLER LA QUESTION DE LA DETTE,45600
"#RDLS45 : CLIMAT, COP23, PARADISE PAPERS, PETROLE, LIBAN, IRAN, ARABIE SAOUDITE, CONTRE-BUDGET",112324
C'EST AUX GRANDES ENTREPRISES DE PAYER L'ARDOISE,17976
PARADISE PAPERS : 5 PROPOSITIONS CONTRE L'EVASION FISCALE,51108
"#RDLS44 : INSECTES, GLYPHOSATE, TRAVAIL DETACHE, SECURITE SOCIALE, NUCLEAIRE",116148
DEFENSE : LA FRANCE DOIT ETRE INDEPENDANTE,36193
EUROPE : NOUS AVONS UN PLAN B,29962
LA SUPPRESSION DE L'ISF EST CHOQUANTE POUR LA JUSTICE SOCIALE,27015
SUR LA CONTRIBUTION DE LA FRANCE AU BUDGET DE L'UNION EUROPEENNE,17702
QU'EST-CE QUE L'AUTO-ENTREPRENEUR ?,17149
"#RDLS43 : EUROPE, BUDGET, TERRORISME, EXTREME DROITE, SYNDICALISME",108730
"RIEN, JAMAIS, AUCUNE MENACE NE NOUS FERA CEDER",39318
