z[0],z[1],z[2],z[3],z[4]
ce82bf,a9e8ed,021e83,45d12e,d6681b
0,0,0,0,0
0.5,0.5,0.5,0.5,0.5
1,1,1,1,1
0.5,0.5,0.5,0.5,0.5
1,1,1,1,1
0.5,0.5,0.5,0.5,0.5
1,1,1,1,1
0.5,0.5,0.5,0.5,0.5
1,1,1,1,1
0.5,0.5,0.5,0.5,0.5
1,1,1,1,1
0.5,0.5,0.5,0.5,0.5
1,1,1,1,1
0.5,0.5,0.5,0.5,0.5
1,1,1,1,1
0.5,0.5,0.5,0.5,0.5
1,1,1,1,1
0.5,0.5,0.5,0.5,0.5
1,1,1,1,1
0.5,0.5,0.5,0.5,0.5
1,1,1,1,1
0.5,0.5,0.5,0.5,0.5
1,1,1,1,1
0.5,0.5,0.5,0.5,0.5
1,1,1,1,1
0.5,0.5,0.5,0.5,0.5
1,1,1,1,1
0.5,0.5,0.5,0.5,0.5
1,1,1,1,1
0.5,0.5,0.5,0.5,0.5
1,1,1,1,1
0.5,0.5,0.5,0.5,0.5
1,1,1,1,1
0.5,0.5,0.5,0.5,0.5
1,1,1,1,1
0.5,0.5,0.5,0.5,0.5
1,1,1,1,1
0.5,0.5,0.5,0.5,0.5
