x,y
0d3d38,aaa486
2018-01-06 11:45:01,7.783
2018-01-06 11:45:02,15.369
2018-01-06 11:45:03,8.043
2018-01-06 11:45:04,9.09
2018-01-06 11:45:05,9.124
2018-01-06 11:45:06,8.925
2018-01-06 11:45:07,8.556
2018-01-06 11:45:08,8.744
2018-01-06 11:45:09,8.542
2018-01-06 11:45:10,8.043
2018-01-06 11:45:11,7.904
2018-01-06 11:45:12,7.942
2018-01-06 11:45:13,7.95
2018-01-06 11:45:14,7.912
2018-01-06 11:45:15,7.873
2018-01-06 11:45:16,8.483
2018-01-06 11:45:17,7.994
2018-01-06 11:45:18,8.381
2018-01-06 11:45:19,11.699
2018-01-06 11:45:20,8.286
2018-01-06 11:45:21,7.636
2018-01-06 11:45:22,7.618
2018-01-06 11:45:23,7.804
2018-01-06 11:45:24,8.253
2018-01-06 11:45:25,7.886
2018-01-06 11:45:26,7.609
2018-01-06 11:45:27,7.626
2018-01-06 11:45:28,7.912
2018-01-06 11:45:29,14.839
2018-01-06 11:45:30,8.432
2018-01-06 11:45:31,7.794
2018-01-06 11:45:32,7.744
2018-01-06 11:45:33,7.697
2018-01-06 11:45:34,7.788
2018-01-06 11:45:35,12.161
2018-01-06 11:45:36,9.233
2018-01-06 11:45:37,7.81
2018-01-06 11:45:38,11.358
2018-01-06 11:45:39,8.191
2018-01-06 11:45:40,7.543
2018-01-06 11:45:41,7.552
2018-01-06 11:45:42,7.553
2018-01-06 11:45:43,8.221
2018-01-06 11:45:44,13.977
2018-01-06 11:45:45,7.816
2018-01-06 11:45:46,8.183
2018-01-06 11:45:47,8.104
2018-01-06 11:45:48,7.838
2018-01-06 11:45:49,7.714
2018-01-06 11:45:50,7.774
2018-01-06 11:45:51,9.642
2018-01-06 11:45:52,8.783
2018-01-06 11:45:53,16.757
2018-01-06 11:45:54,8.214
2018-01-06 11:45:55,9.146
2018-01-06 11:45:56,9.159
2018-01-06 11:45:57,8.514
2018-01-06 11:45:58,8.829
2018-01-06 11:45:59,8.81
2018-01-06 11:46:00,8.28
2018-01-06 11:46:01,7.984
2018-01-06 11:46:02,7.905
2018-01-06 11:46:03,7.937
2018-01-06 11:46:04,7.95
2018-01-06 11:46:05,7.884
2018-01-06 11:46:06,7.923
2018-01-06 11:46:07,8.351
2018-01-06 11:46:08,8.445
2018-01-06 11:46:09,9.75
2018-01-06 11:46:10,10.087
2018-01-06 11:46:11,7.646
2018-01-06 11:46:12,7.596
2018-01-06 11:46:13,7.68
2018-01-06 11:46:14,7.794
2018-01-06 11:46:15,8.4
2018-01-06 11:46:16,7.59
2018-01-06 11:46:17,7.607
2018-01-06 11:46:18,8.14
2018-01-06 11:46:19,8.49
2018-01-06 11:46:20,13.957
2018-01-06 11:46:21,8.368
2018-01-06 11:46:22,7.794
2018-01-06 11:46:23,7.719
2018-01-06 11:46:24,7.741
2018-01-06 11:46:25,7.829
2018-01-06 11:46:26,13.119
2018-01-06 11:46:27,7.773
2018-01-06 11:46:28,7.951
2018-01-06 11:46:29,11.162
2018-01-06 11:46:30,8.208
2018-01-06 11:46:31,7.546
2018-01-06 11:46:32,7.522
2018-01-06 11:46:33,7.546
2018-01-06 11:46:34,8.321
2018-01-06 11:46:35,13.483
2018-01-06 11:46:36,7.975
2018-01-06 11:46:37,8.209
2018-01-06 11:46:38,7.966
2018-01-06 11:46:39,7.721
2018-01-06 11:46:40,7.71
2018-01-06 11:46:41,7.729
2018-01-06 11:46:42,10.398
2018-01-06 11:46:43,9.789
2018-01-06 11:46:44,16.091
2018-01-06 11:46:45,8.623
2018-01-06 11:46:46,9.191
2018-01-06 11:46:47,8.969
2018-01-06 11:46:48,8.343
2018-01-06 11:46:49,8.811
2018-01-06 11:46:50,8.741
2018-01-06 11:46:51,8.035
2018-01-06 11:46:52,7.962
2018-01-06 11:46:53,7.925
2018-01-06 11:46:54,7.976
2018-01-06 11:46:55,7.872
2018-01-06 11:46:56,7.892
2018-01-06 11:46:57,8.211
2018-01-06 11:46:58,8.226
2018-01-06 11:46:59,8.534
2018-01-06 11:47:00,11.106
2018-01-06 11:47:01,8.171
2018-01-06 11:47:02,7.578
2018-01-06 11:47:03,7.557
2018-01-06 11:47:04,7.725
2018-01-06 11:47:05,7.832
2018-01-06 11:47:06,8.278
2018-01-06 11:47:07,7.544
2018-01-06 11:47:08,7.628
2018-01-06 11:47:09,8.105
2018-01-06 11:47:10,14.223
2018-01-06 11:47:11,8.596
2018-01-06 11:47:12,7.835
2018-01-06 11:47:13,7.722
2018-01-06 11:47:14,7.725
2018-01-06 11:47:15,7.727
2018-01-06 11:47:16,8.079
2018-01-06 11:47:17,12.94
2018-01-06 11:47:18,7.798
2018-01-06 11:47:19,9.56
2018-01-06 11:47:20,10.312
2018-01-06 11:47:21,7.814
2018-01-06 11:47:22,7.567
2018-01-06 11:47:23,7.566
2018-01-06 11:47:24,7.6
2018-01-06 11:47:25,11.853
2018-01-06 11:47:26,10.526
2018-01-06 11:47:27,8.103
2018-01-06 11:47:28,8.153
2018-01-06 11:47:29,7.924
2018-01-06 11:47:30,7.717
2018-01-06 11:47:31,7.733
2018-01-06 11:47:32,8.219
2018-01-06 11:47:33,10.439
2018-01-06 11:47:34,16.177
2018-01-06 11:47:35,9.766
2018-01-06 11:47:36,9.041
2018-01-06 11:47:37,9.134
2018-01-06 11:47:38,8.786
2018-01-06 11:47:39,8.614
2018-01-06 11:47:40,8.862
2018-01-06 11:47:41,8.592
2018-01-06 11:47:42,8.013
2018-01-06 11:47:43,7.921
2018-01-06 11:47:44,7.89
2018-01-06 11:47:45,7.957
2018-01-06 11:47:46,7.894
2018-01-06 11:47:47,7.871
2018-01-06 11:47:48,8.386
2018-01-06 11:47:49,8.147
2018-01-06 11:47:50,8.383
2018-01-06 11:47:51,11.178
2018-01-06 11:47:52,8.295
2018-01-06 11:47:53,7.618
2018-01-06 11:47:54,7.6
2018-01-06 11:47:55,7.77
2018-01-06 11:47:56,8.194
2018-01-06 11:47:57,7.915
2018-01-06 11:47:58,7.595
2018-01-06 11:47:59,7.588
2018-01-06 11:48:00,8.309
2018-01-06 11:48:01,14.292
2018-01-06 11:48:02,8.383
2018-01-06 11:48:03,7.78
2018-01-06 11:48:04,7.748
2018-01-06 11:48:05,7.714
2018-01-06 11:48:06,7.709
2018-01-06 11:48:07,12.079
2018-01-06 11:48:08,8.378
2018-01-06 11:48:09,7.813
2018-01-06 11:48:10,11.38
2018-01-06 11:48:11,8.082
2018-01-06 11:48:12,7.555
2018-01-06 11:48:13,7.575
2018-01-06 11:48:14,7.502
2018-01-06 11:48:15,7.605
2018-01-06 11:48:16,13.856
2018-01-06 11:48:17,7.789
2018-01-06 11:48:18,8.192
2018-01-06 11:48:19,8.047
2018-01-06 11:48:20,7.812
2018-01-06 11:48:21,7.688
2018-01-06 11:48:22,7.773
2018-01-06 11:48:23,10.04
2018-01-06 11:48:24,8.143
2018-01-06 11:48:25,16.808
2018-01-06 11:48:26,8.192
2018-01-06 11:48:27,9.138
2018-01-06 11:48:28,9.032
2018-01-06 11:48:29,8.655
2018-01-06 11:48:30,8.778
2018-01-06 11:48:31,8.856
2018-01-06 11:48:32,8.266
2018-01-06 11:48:33,7.997
2018-01-06 11:48:34,7.909
2018-01-06 11:48:35,7.951
2018-01-06 11:48:36,7.931
2018-01-06 11:48:37,7.884
2018-01-06 11:48:38,7.944
2018-01-06 11:48:39,8.401
2018-01-06 11:48:40,8.411
2018-01-06 11:48:41,9.287
2018-01-06 11:48:42,10.019
2018-01-06 11:48:43,7.605
2018-01-06 11:48:44,7.63
2018-01-06 11:48:45,7.642
2018-01-06 11:48:46,7.826
2018-01-06 11:48:47,8.455
2018-01-06 11:48:48,7.613
2018-01-06 11:48:49,7.61
2018-01-06 11:48:50,8.124
2018-01-06 11:48:51,8.034
2018-01-06 11:48:52,14.272
2018-01-06 11:48:53,8.43
2018-01-06 11:48:54,7.749
2018-01-06 11:48:55,7.739
2018-01-06 11:48:56,7.759
2018-01-06 11:48:57,7.83
2018-01-06 11:48:58,12.87
2018-01-06 11:48:59,7.795
2018-01-06 11:49:00,7.813
2018-01-06 11:49:01,10.735
2018-01-06 11:49:02,8.176
2018-01-06 11:49:03,7.563
2018-01-06 11:49:04,7.542
2018-01-06 11:49:05,7.53
2018-01-06 11:49:06,8.275
2018-01-06 11:49:07,13.422
2018-01-06 11:49:08,7.983
2018-01-06 11:49:09,8.192
2018-01-06 11:49:10,8.077
2018-01-06 11:49:11,7.779
2018-01-06 11:49:12,7.737
2018-01-06 11:49:13,7.746
2018-01-06 11:49:14,10.311
2018-01-06 11:49:15,8.341
2018-01-06 11:49:16,16.769
2018-01-06 11:49:17,8.608
2018-01-06 11:49:18,9.186
2018-01-06 11:49:19,9.155
2018-01-06 11:49:20,8.529
2018-01-06 11:49:21,8.842
2018-01-06 11:49:22,8.846
2018-01-06 11:49:23,8.054
2018-01-06 11:49:24,7.968
2018-01-06 11:49:25,7.929
2018-01-06 11:49:26,7.979
2018-01-06 11:49:27,7.871
2018-01-06 11:49:28,7.878
2018-01-06 11:49:29,8.26
2018-01-06 11:49:30,8.039
2018-01-06 11:49:31,8.572
2018-01-06 11:49:32,11.365
2018-01-06 11:49:33,8.223
2018-01-06 11:49:34,7.621
2018-01-06 11:49:35,7.597
2018-01-06 11:49:36,7.695
2018-01-06 11:49:37,7.807
2018-01-06 11:49:38,8.249
2018-01-06 11:49:39,7.581
2018-01-06 11:49:40,7.645
2018-01-06 11:49:41,8.145
2018-01-06 11:49:42,14.021
2018-01-06 11:49:43,8.525
2018-01-06 11:49:44,7.777
2018-01-06 11:49:45,7.754
2018-01-06 11:49:46,7.753
2018-01-06 11:49:47,7.748
2018-01-06 11:49:48,8.094
2018-01-06 11:49:49,13.47
2018-01-06 11:49:50,7.784
2018-01-06 11:49:51,9.164
2018-01-06 11:49:52,10.609
2018-01-06 11:49:53,7.6
2018-01-06 11:49:54,7.569
2018-01-06 11:49:55,7.563
2018-01-06 11:49:56,7.538
2018-01-06 11:49:57,11.231
2018-01-06 11:49:58,8.71
2018-01-06 11:49:59,8.113
2018-01-06 11:50:00,8.148
2018-01-06 11:50:01,7.952
2018-01-06 11:50:02,7.777
2018-01-06 11:50:03,7.765
2018-01-06 11:50:04,8.241
2018-01-06 11:50:05,9.993
2018-01-06 11:50:06,15.587
2018-01-06 11:50:07,9.808
2018-01-06 11:50:08,9.105
2018-01-06 11:50:09,9.174
2018-01-06 11:50:10,8.947
2018-01-06 11:50:11,8.561
2018-01-06 11:50:12,8.825
2018-01-06 11:50:13,8.535
2018-01-06 11:50:14,8.0
2018-01-06 11:50:15,7.943
2018-01-06 11:50:16,7.929
2018-01-06 11:50:17,7.96
2018-01-06 11:50:18,7.915
2018-01-06 11:50:19,7.892
2018-01-06 11:50:20,8.489
2018-01-06 11:50:21,8.036
2018-01-06 11:50:22,8.441
2018-01-06 11:50:23,10.63
2018-01-06 11:50:24,8.467
2018-01-06 11:50:25,7.609
2018-01-06 11:50:26,7.593
2018-01-06 11:50:27,7.741
