"53228632, x","53228632, y","53228632 (1), x","53228632 (1), y","53228632 (2), x; 53236473 (2), x","53228632 (2), y","53236473, x","53236473, y","53236473 (1), x","53236473 (1), y","53236473 (2), y"
527513,c34939,431db0,3f9a8f,4c6708,1ced9b,fe4274,8c8970,c80ad0,997d6d,60eefc
2017-09-07 16:59:47.81,0,2017-10-16 00:00:17.46,0,2017-09-07,6.64,2017-09-07 16:58:55.19,0,2017-10-16 00:00:15.02,0,2.74
2017-09-07 17:00:16.48,0.01,2017-10-16 00:01:18.35,0.01,2017-09-08,20.1,2017-09-07 16:59:57.08,0.01,2017-10-16 00:00:43.74,0.0,8.26
2017-09-07 17:00:46.70,0.01,2017-10-16 00:01:47.07,0.01,2017-09-09,20.27,2017-09-07 17:01:27.64,0.02,2017-10-16 00:02:44.52,0.01,6.59
2017-09-07 17:01:16.92,0.02,2017-10-16 00:02:17.29,0.01,2017-09-10,19.86,2017-09-07 17:02:27.03,0.03,2017-10-16 00:03:13.24,0.01,10.0
2017-09-07 17:01:47.59,0.03,2017-10-16 00:02:47.46,0.01,2017-09-11,17.55,2017-09-07 17:03:26.97,0.04,2017-10-16 00:03:44.91,0.01,7.77
2017-09-07 17:03:17.70,0.06,2017-10-16 00:03:18.18,0.02,2017-09-12,16.46,2017-09-07 17:03:58.14,0.05,2017-10-16 00:04:15.13,0.01,8.68
2017-09-07 17:05:47.69,0.1,2017-10-16 00:04:48.30,0.03,2017-09-13,12.08,2017-09-07 17:04:28.86,0.05,2017-10-16 00:05:17.02,0.02,7.36
2017-09-07 17:06:18.86,0.11,2017-10-16 00:07:18.25,0.04,2017-09-14,13.04,2017-09-07 17:04:56.03,0.05,2017-10-16 00:06:47.63,0.02,11.59
2017-09-07 17:06:49.59,0.12,2017-10-16 00:07:49.47,0.04,2017-09-15,7.12,2017-09-07 17:05:56.92,0.06,2017-10-16 00:07:47.02,0.03,5.81
2017-09-07 17:07:19.31,0.12,2017-10-16 00:08:20.19,0.05,2017-09-16,6.1,2017-09-07 17:06:28.14,0.06,2017-10-16 00:09:18.13,0.03,5.59
