"DVR NOT IN  LAN, x; HARD DISK ISSUES, x; NETWORK ISSUES, x; CAMERA, x; DVR FAULT, x; SENSOR FAULT, x; ALARM PANNEL FAULT, x; BATTERY ISSUE, x; NETWORK ISSUES (1), x; BIOMETRIC, x; INFLEET CAMERA, x; HOOTER, x; GPS, x; TAB, x","DVR NOT IN  LAN, y","INFLEET CAMERA, y; HOOTER, y; GPS, y; TAB, y","BATTERY ISSUE, y","BIOMETRIC, y","ALARM PANNEL FAULT, y","CAMERA, y","NETWORK ISSUES, y; NETWORK ISSUES (1), y","SENSOR FAULT, y","DVR FAULT, y","HARD DISK ISSUES, y"
96c8d7,754e9d,85710d,6473e0,dbcd52,bb9ead,8cb2da,69e777,2c9969,32e28c,01e638
TVM,5,28,15,8,2,30,28,8,10,8
KCH,7,25,17,2,1,30,12,2,20,12
KOZ,4,10,14,24,8,30,22,23,30,11
BLR,2,36,12,10,15,30,11,12,40,13
HUB,6,14,16,4,17,30,24,25,10,20
CHN,7,7,17,21,19,30,25,26,10,4
NGL,8,22,18,16,32,30,13,23,20,12
MDI,9,27,19,10,10,30,40,41,30,13
CBE,11,4,1,21,19,30,11,15,40,32
HYD,9,27,19,10,10,30,40,41,30,13
VIZ,11,4,1,21,19,30,11,15,40,32
MUM,9,27,19,10,10,30,40,41,30,13
AHD,11,4,1,21,19,30,11,15,40,32
DLI,7,7,17,21,19,30,25,26,10,4
