rcr,CAMERA,HARD DISK ISSUES,DVR NOT IN  LAN,DVR FAULT,NETWORK ISSUES,SENSOR FAULT,ALARM PANNEL FAULT,BATTERY ISSUE,BIOMETRIC,INFLEET CAMERA,HOOTER,GPS,TAB
32de9f,b5b62b,fbd5bc,0f0960,94e5e1,b3c203,8c77a5,a749a5,6c3759,cfacc6,308312,e3ce73,97fb7a,5136d7
TVM,30,8,5,10,28,8,2,15,8,28,28,28,28
KCH,30,12,7,20,12,2,1,17,2,25,25,25,25
KOZ,30,11,4,30,22,23,8,14,24,10,10,10,10
BLR,30,13,2,40,11,12,15,12,10,36,36,36,36
HUB,30,20,6,10,24,25,17,16,4,14,14,14,14
CHN,30,4,7,10,25,26,19,17,21,7,7,7,7
NGL,30,12,8,20,13,23,32,18,16,22,22,22,22
MDI,30,13,9,30,40,41,10,19,10,27,27,27,27
CBE,30,32,11,40,11,15,19,1,21,4,4,4,4
HYD,30,13,9,30,40,41,10,19,10,27,27,27,27
VIZ,30,32,11,40,11,15,19,1,21,4,4,4,4
MUM,30,13,9,30,40,41,10,19,10,27,27,27,27
AHD,30,32,11,40,11,15,19,1,21,4,4,4,4
DLI,30,4,7,10,25,26,19,17,21,7,7,7,7
