"DVR NOT IN  LAN, x; HARD DISK ISSUES, x; NETWORK ISSUES, x; CAMERA, x; DVR FAULT, x; SENSOR FAULT, x; ALARM PANNEL FAULT, x; BATTERY ISSUE, x; NETWORK ISSUES (1), x; BIOMETRIC, x; INFLEET CAMERA, x; HOOTER, x; GPS, x; TAB, x","DVR NOT IN  LAN, y",INFLEET CAMERA,"BATTERY ISSUE, y","BIOMETRIC, y","ALARM PANNEL FAULT, y","CAMERA, y","NETWORK ISSUES, y; NETWORK ISSUES (1), y","SENSOR FAULT, y","DVR FAULT, y","HARD DISK ISSUES, y",HOOTER,GPS,TAB
adadfa,20887c,a895dc,b9e5ca,214914,ee93b2,f0b0c0,011328,297b8f,ff1713,d08eb7,f8f121,eb3668,d4985d
TVM,5,29,15,8,2,30,28,8,10,8,6,7,1
KCH,7,25,17,2,1,30,12,2,20,12,6,7,4
KOZ,4,10,14,24,8,30,22,23,30,11,6,7,2
BLR,2,36,12,10,15,30,11,12,40,13,6,7,7
HUB,6,14,16,4,17,30,24,25,10,20,6,7,5
CHN,7,7,17,21,19,30,25,26,10,4,6,7,5
NGL,8,22,18,16,32,30,13,23,20,12,6,7,5
MDI,9,27,19,10,10,30,40,41,30,13,6,7,5
CBE,11,4,1,21,19,30,11,15,40,32,6,7,5
HYD,9,27,19,10,10,30,40,41,30,13,6,7,5
VIZ,11,4,1,21,19,30,11,15,40,32,6,7,5
MUM,9,27,19,10,10,30,40,41,30,13,6,7,5
AHD,11,4,1,21,19,30,11,15,40,32,6,7,5
DLI,7,7,17,21,19,30,25,26,10,4,6,7,5
