"_line0, x; _line0 (1), x; _line0 (2), x; _line0 (3), x","_line0, y","_line3, x; _line4, x; _line4 (1), x; _line4 (2), x","_line3, y","_line6, x; _line8, x; _line8 (1), x; _line8 (2), x","_line6, y","_line9, x; _line12 (1), x; _line12 (2), x; _line12 (3), x","_line9, y","_line12, x; _line16, x; _line16 (1), x; _line16 (2), x","_line12, y","_line15, x; _line20, x; _line20 (1), x; _line20 (2), x","_line15, y","_line0 (1), y","_line4, y","_line8, y","_line12 (1), y","_line16, y","_line20, y","_line0 (2), y","_line4 (1), y","_line8 (1), y","_line12 (2), y","_line16 (1), y","_line20 (1), y","_line0 (3), y","_line4 (2), y","_line8 (2), y","_line12 (3), y","_line16 (2), y","_line20 (2), y"
076443,13529d,15f8a2,23aff9,10f007,8811d9,832f8e,9d59e2,7af122,e600ae,324bed,c61625,2fd1d6,329ec7,ebf2e5,7011ee,5e5682,137d69,405336,a661bd,49548d,4922cb,254809,8a5899,f203a8,cd3d43,f80368,2fef41,9a324a,5d058d
2018-01-12 06:00:00,-1.2355263158,2018-01-12 00:00:00,-1.2207894737,2018-01-11 18:00:00,-1.0168421053,2018-01-09 06:00:00,-1.3660526316,2018-01-06 06:00:00,0.7510526316,2018-01-03 06:00:00,1.6021052632,-1.3389473684,-1.7839473684,-1.0765789474,-10.7742105263,5.5431578947,6.0873684211,-1.4781578947,-1.2373684211,-1.4307894737,-0.39,-1.1331578947,-1.0744736842,-1.5078947368,-1.0505263158,-0.5910526316,4.3847368421,-0.2505263158,1.6292105263
2018-01-12 07:00:00,-1.1324561404,2018-01-12 01:00:00,-1.2165789474,2018-01-11 19:00:00,-1.0308333333,2018-01-09 07:00:00,-1.5007017544,2018-01-06 07:00:00,0.6889035088,2018-01-03 07:00:00,1.6556578947,-0.9437280702,-1.7014473684,-1.1353070175,-11.3362719298,5.4367105263,6.0781578947,-1.4909649123,-1.2541666667,-1.4193859649,-0.4162719298,-1.1030701754,-1.123245614,-1.5872368421,-1.1009210526,-0.6426315789,4.5681140351,-0.0635526316,1.5811403509
2018-01-12 08:00:00,-1.0210526316,2018-01-12 02:00:00,-1.2073684211,2018-01-11 20:00:00,-1.0464912281,2018-01-09 08:00:00,-1.6353508772,2018-01-06 08:00:00,0.631754386,2018-01-03 08:00:00,1.7192105263,-0.5735087719,-1.6139473684,-1.1423684211,-11.9416666667,5.3252631579,6.0772807018,-1.4971052632,-1.2709649123,-1.4029824561,-0.420877193,-1.0746491228,-1.1553508772,-1.6665789474,-1.1579824561,-0.6942105263,4.7214912281,0.131754386,1.5147368421
2018-01-12 09:00:00,-0.9113157895,2018-01-12 03:00:00,-1.2006578947,2018-01-11 21:00:00,-1.0613157895,2018-01-09 09:00:00,-1.78,2018-01-06 09:00:00,0.5771052632,2018-01-03 09:00:00,1.7777631579,-0.1732894737,-1.4989473684,-1.1227631579,-12.5403947368,5.1888157895,6.0672368421,-1.5040789474,-1.2927631579,-1.3890789474,-0.4338157895,-1.0303947368,-1.1857894737,-1.7534210526,-1.2242105263,-0.7557894737,4.8698684211,0.3153947368,1.465
2018-01-12 10:00:00,-0.798245614,2018-01-12 04:00:00,-1.1972807018,2018-01-11 22:00:00,-1.0794736842,2018-01-09 10:00:00,-1.9013157895,2018-01-06 10:00:00,0.5107894737,2018-01-03 10:00:00,1.8396491228,0.1935964912,-1.3672807018,-1.1781578947,-13.069122807,5.1507017544,6.0521929825,-1.5093859649,-1.3045614035,-1.3685087719,-0.446754386,-0.9994736842,-1.2162280702,-1.8402631579,-1.2721052632,-0.8090350877,5.0465789474,0.4973684211,1.4002631579
2018-01-12 11:00:00,-0.6860087719,2018-01-12 05:00:00,-1.1939035088,2018-01-11 23:00:00,-1.0859649123,2018-01-09 11:00:00,-2.0017982456,2018-01-06 11:00:00,0.4503070175,2018-01-03 11:00:00,1.8990350877,0.6163157895,-1.2539473684,-1.1810526316,-13.6828508772,5.0175877193,6.0788157895,-1.5146929825,-1.3288596491,-1.3504385965,-0.4471929825,-0.9635526316,-1.2625,-1.9237719298,-1.3183333333,-0.8731140351,5.2057894737,0.6768421053,1.3621929825
2018-01-12 12:00:00,-0.5771052632,2018-01-12 06:00:00,-1.1905263158,2018-01-12 00:00:00,-1.0907894737,2018-01-09 12:00:00,-2.1089473684,2018-01-06 12:00:00,0.3831578947,2018-01-03 12:00:00,1.9484210526,0.9773684211,-1.1289473684,-1.1839473684,-14.2615789474,4.8844736842,6.0871052632,-1.52,-1.3531578947,-1.3323684211,-0.4426315789,-0.9326315789,-1.3021052632,-1.9889473684,-1.3678947368,-0.9105263158,5.39,0.8413157895,1.3007894737
2018-01-12 13:00:00,-0.5565789474,2018-01-12 07:00:00,-1.119122807,2018-01-12 01:00:00,-1.1174122807,2018-01-09 13:00:00,-2.2168859649,2018-01-06 13:00:00,0.3999122807,2018-01-03 13:00:00,1.9685964912,1.1756140351,-0.7995614035,-1.2164473684,-14.4005263158,4.7789035088,6.0957894737,-1.6205701754,-1.3634649123,-1.3425,-0.4717105263,-0.95,-1.3693859649,-2.1579385965,-1.4214035088,-0.989254386,5.4526754386,0.7442982456,1.3163157895
2018-01-12 14:00:00,-0.5360526316,2018-01-12 08:00:00,-1.0560526316,2018-01-12 02:00:00,-1.1490350877,2018-01-09 14:00:00,-2.3148245614,2018-01-06 14:00:00,0.4183333333,2018-01-03 14:00:00,1.9754385965,1.3455263158,-0.4651754386,-1.2506140351,-14.5211403509,4.6066666667,6.1244736842,-1.7311403509,-1.3787719298,-1.3559649123,-0.4957894737,-0.9723684211,-1.4233333333,-2.3185964912,-1.4749122807,-1.0696491228,5.5153508772,0.6472807018,1.3385087719
