"Trace 0, x; Trace 1, x","Trace 0, y","Trace 1, y"
c2bea6,35b7cd,6c59e6
Aberdeen City,663.5593333333,712.6
Aberdeenshire,373.6706666667,306.6
Angus,390.6726666667,364.1
Argyll and Bute,682.114,755.4
Clackmannanshire,486.9086666667,491.6
Dumfries and Galloway,423.6186666667,408.4
Dundee City,854.4486666667,777.5
East Ayrshire,773.9833333333,744.1
East Dunbartonshire,432.9773333333,446.6
East Renfrewshire,409.5553333333,396.8
Edinburgh City,658.0826666667,620.0
Falkirk,484.34,517.6
Fife,608.3373333333,629.9
Glasgow City,1134.84,1204.1
Highland,679.5413333333,614.9
Inverclyde,1023.65,1072.5
Lanarkshire,799.1293333333,773.7
Mid and East Lothian,437.9946666667,576.6
Moray,479.0286666667,485.5
North Ayrshire,836.5426666667,867.0
Orkney Islands,659.8706666667,724.5
Outer Hebrides,741.0433333333,612.7
Perth and Kinross,457.7046666667,401.5
Renfrewshire,928.1966666667,981.8
Scottish Borders,405.7,464.6
Shetland Islands,517.2933333333,588.7
South Ayrshire,761.3333333333,722.9
Stirling,410.3693333333,364.9
West Dunbartonshire,939.758,946.2
West Lothian,592.0733333333,642.2
