"New Users, x; Total Plays, x; Completed Plays, x","New Users, y","Total Plays, y","Completed Plays, y"
d66570,ddb8a9,be9fb6,99acb0
2018-01-12,5,36,23
2018-01-11,67,332,178
2018-01-10,98,445,218
2018-01-09,110,423,214
2018-01-08,103,446,240
2018-01-07,115,493,259
2018-01-06,86,339,190
2018-01-05,72,266,143
2018-01-04,90,369,176
2018-01-03,78,345,194
2018-01-02,104,366,196
2018-01-01,91,341,185
2017-12-31,70,255,131
2017-12-30,94,224,118
2017-12-29,53,199,119
2017-12-28,71,252,138
2017-12-27,64,219,121
2017-12-26,57,177,91
2017-12-25,38,160,83
2017-12-24,40,147,74
2017-12-23,31,154,86
2017-12-22,24,145,87
2017-12-21,39,169,105
2017-12-20,23,239,146
2017-12-19,45,231,127
2017-12-18,44,178,117
2017-12-17,51,261,138
2017-12-16,39,186,111
2017-12-15,39,163,87
2017-12-14,44,256,154
2017-12-13,43,204,115
2017-12-12,41,223,137
2017-12-11,46,213,115
2017-12-10,87,309,146
2017-12-09,35,161,94
2017-12-08,22,158,103
2017-12-07,27,176,100
2017-12-06,28,190,128
2017-12-05,33,239,119
2017-12-04,24,217,119
2017-12-03,21,217,140
2017-12-02,9,150,98
2017-12-01,16,114,65
2017-11-30,22,218,128
2017-11-29,24,219,137
2017-11-28,8,189,101
2017-11-27,29,215,125
2017-11-26,49,280,150
2017-11-25,30,148,79
2017-11-24,28,144,76
2017-11-23,39,184,87
2017-11-22,41,204,100
2017-11-21,20,207,114
2017-11-20,48,242,130
2017-11-19,63,226,112
2017-11-18,32,151,81
2017-11-17,37,172,93
2017-11-16,32,197,118
2017-11-15,45,185,107
2017-11-14,51,218,118
2017-11-13,36,206,122
2017-11-12,19,127,78
2017-11-11,21,115,60
2017-11-10,19,94,59
2017-11-09,19,159,97
2017-11-08,22,149,92
2017-11-07,31,170,96
2017-11-06,21,160,93
2017-11-05,82,243,123
2017-11-04,68,210,106
2017-11-03,80,227,112
2017-11-02,79,267,132
2017-11-01,103,267,140
2017-10-31,83,186,89
2017-10-30,89,246,115
2017-10-29,66,179,75
2017-10-28,53,175,90
2017-10-27,46,139,81
2017-10-26,61,222,103
2017-10-25,67,225,119
2017-10-24,58,241,124
2017-10-23,72,272,140
2017-10-22,56,231,110
2017-10-21,33,176,84
2017-10-20,29,160,78
2017-10-19,47,247,128
2017-10-18,55,230,131
2017-10-17,47,250,120
2017-10-16,59,260,132
2017-10-15,45,207,96
2017-10-14,26,156,82
