"New Users, x; 1D RU, x; 7D RU, x; 30D RU, x","New Users, y","1D RU, y","7D RU, y","30D RU, y"
3e5cd8,a23849,197130,6f5e41,4600e5
2018-01-12,5,1,6,7
2018-01-11,67,18,52,74
2018-01-10,98,10,31,66
2018-01-09,110,13,48,74
2018-01-08,103,13,54,92
2018-01-07,115,16,46,69
2018-01-06,86,15,36,66
2018-01-05,72,8,28,41
2018-01-04,90,21,56,72
2018-01-03,78,20,46,62
2018-01-02,104,19,35,55
2018-01-01,91,12,37,53
2017-12-31,70,7,11,22
2017-12-30,94,2,18,26
2017-12-29,53,2,13,28
2017-12-28,71,5,12,34
2017-12-27,64,5,13,23
2017-12-26,57,4,9,27
2017-12-25,38,4,12,24
2017-12-24,40,2,15,26
2017-12-23,31,3,13,33
2017-12-22,24,3,18,31
2017-12-21,39,5,20,33
2017-12-20,23,10,25,52
2017-12-19,45,8,16,34
2017-12-18,44,4,15,32
2017-12-17,51,8,29,49
2017-12-16,39,4,16,30
2017-12-15,39,3,19,28
2017-12-14,44,5,22,41
2017-12-13,43,6,24,36
2017-12-12,41,12,30,47
2017-12-11,46,5,17,36
2017-12-10,87,2,10,34
2017-12-09,35,4,7,23
2017-12-08,22,5,9,25
2017-12-07,27,4,8,28
2017-12-06,28,2,9,31
2017-12-05,33,2,9,26
2017-12-04,24,2,9,20
2017-12-03,21,0,19,45
2017-12-02,9,2,12,37
2017-12-01,16,3,13,24
2017-11-30,22,5,17,41
2017-11-29,24,2,18,44
2017-11-28,8,12,24,50
2017-11-27,29,6,20,59
2017-11-26,49,4,20,47
2017-11-25,30,5,14,32
2017-11-24,28,2,9,17
2017-11-23,39,0,10,29
2017-11-22,41,2,20,29
2017-11-21,20,7,20,39
2017-11-20,48,7,23,36
2017-11-19,63,0,13,36
2017-11-18,32,4,11,24
2017-11-17,37,4,23,34
2017-11-16,32,8,23,42
2017-11-15,45,4,8,33
2017-11-14,51,5,7,32
2017-11-13,36,2,8,44
2017-11-12,19,5,7,37
2017-11-11,21,0,3,18
2017-11-10,19,2,9,23
2017-11-09,19,3,10,32
2017-11-08,22,6,18,32
2017-11-07,31,1,19,30
2017-11-06,21,5,24,36
2017-11-05,82,6,21,35
2017-11-04,68,9,21,31
2017-11-03,80,6,16,36
2017-11-02,79,12,25,41
2017-11-01,103,8,15,32
2017-10-31,83,2,8,24
2017-10-30,89,3,15,31
2017-10-29,66,1,10,28
2017-10-28,53,3,20,33
2017-10-27,46,4,15,33
2017-10-26,61,16,25,43
2017-10-25,67,3,12,29
2017-10-24,58,6,17,50
2017-10-23,72,4,19,59
2017-10-22,56,1,14,44
2017-10-21,33,4,18,39
2017-10-20,29,6,16,38
2017-10-19,47,5,22,52
2017-10-18,55,8,26,55
2017-10-17,47,3,18,54
2017-10-16,59,4,21,51
2017-10-15,45,1,17,44
2017-10-14,26,3,26,43
