"20035, x; 20037, x; 20041, x; 20042, x; 20043, x; 20045, x; 20046, x; 20047, x; 20048, x; 20049, x; 20050, x; 20051, x; 20057, x; 20058, x; 20059, x; 20060, x; 20061, x; 20064, x; 20066, x; 20067, x; 20069, x; 20070, x; 20072, x; 20073, x; 20074, x; 20075, x; 20076, x; 20080, x; 20082, x; 20085, x; 1509036, x; 1510021, x; 1511044, x; 20034, x; 1506017, x","20035, y","20035 (1), x; 20079, x; 20089, x; 20091, x; 20092, x; 20093, x","20035 (1), y","20035 (1), text; 20043 (1), text; 20046 (1), text; 20062 (1), text; 20066 (1), text; 20072 (1), text; 1512031 (1), text; 20090 (1), text; 20055 (1), text; 20087 (1), text; 20097 (1), text","20035 (1), size; 20043 (1), size; 20046 (1), size; 20062 (1), size; 20066 (1), size; 20072 (1), size; 1512031 (1), size; 20090 (1), size; 20055 (1), size; 20087 (1), size; 20097 (1), size","20035 (2), x; 20034 (1), x; 20039 (2), x; 20097 (2), x","20035 (2), y","20035 (2), text; 20083 (2), text; 1506017 (2), text; 1512067 (2), text; 1511043 (2), text; 20068 (2), text; 1509038 (2), text; 20039 (2), text; 20086 (2), text; 20097 (2), text","20037, y","20037 (1), x","20037 (1), y","20037 (1), text","20037 (1), size","20037 (2), x","20037 (2), y","20037 (2), text; 20047 (2), text; 20059 (2), text; 20069 (2), text","20041, y","20041 (1), x; 20078, x; 20098, x; 1511047, x","20041 (1), y","20041 (1), text; 20042 (1), text; 20051 (1), text; 20076 (1), text; 20082 (1), text; 20083 (1), text","20041 (1), size; 20042 (1), size; 20051 (1), size; 20076 (1), size; 20082 (1), size; 20083 (1), size","20042, y","20042 (1), x","20042 (1), y","20042 (2), x","20042 (2), y","20042 (2), text; 20048 (2), text; 20051 (2), text; 20066 (2), text; 20075 (2), text; 1511044 (2), text","20043, y","20043 (1), x; 20080 (1), x; 20040 (1), x","20043 (1), y","20043 (2), x; 20045 (2), x","20043 (2), y","20043 (2), text; 20045 (2), text; 20061 (2), text","20045, y","20045 (2), y","20046, y","20046 (1), x; 20070 (1), x; 20083 (2), x; 1512031 (1), x; 1512067 (2), x","20046 (1), y","20046 (2), x; 1510021 (2), x","20046 (2), y","20046 (2), text; 20067 (2), text; 20070 (2), text; 20076 (2), text; 20080 (2), text; 1510021 (2), text","20047, y","20047 (2), x","20047 (2), y","20048, y","20048 (2), x","20048 (2), y","20049, y","20049 (1), x","20049 (1), y","20049 (1), text","20049 (1), size","20049 (2), x","20049 (2), y","20049 (2), text; 20057 (2), text; 20058 (2), text; 20062 (2), text; 20074 (2), text; 20055 (2), text","20050, y","20050 (2), x","20050 (2), y","20050 (2), text; 20054 (2), text; 20082 (2), text; 1509036 (2), text","20051, y","20051 (1), x","20051 (1), y","20051 (2), x","20051 (2), y","20054, x","20054, y","20054 (1), x","20054 (1), y","20054 (1), text","20054 (1), size","20054 (2), x","20054 (2), y","20057, y","20057 (1), x; 20062 (1), x; 1511043 (1), x","20057 (1), y","20057 (1), text; 20070 (1), text; 20080 (1), text; 1511043 (1), text","20057 (1), size; 20070 (1), size; 20080 (1), size; 1511043 (1), size","20057 (2), x","20057 (2), y","20058, y","20058 (1), x","20058 (1), y","20058 (1), text; 1512067 (1), text","20058 (1), size; 1512067 (1), size","20058 (2), x","20058 (2), y","20059, y","20059 (1), x","20059 (1), y","20059 (1), text","20059 (1), size","20059 (2), x","20059 (2), y","20060, y","20060 (2), x","20060 (2), y","20060 (2), text; 20073 (2), text; 20085 (2), text","20061, y","20061 (2), x","20061 (2), y","20062, x","20062, y","20062 (1), y; 20072 (1), y","20062 (2), x","20062 (2), y","20063, x","20063, y","20064, y","20066, y","20066 (1), x; 1506017 (2), x","20066 (1), y","20066 (2), x","20066 (2), y","20067, y","20067 (2), x","20067 (2), y","20069, y","20069 (2), x","20069 (2), y","20070, y","20070 (1), y","20070 (2), x","20070 (2), y","20072, y","20072 (1), x; 1511043 (2), x","20072 (2), x","20072 (2), y","20072 (2), text","20073, y","20073 (1), x","20073 (1), y","20073 (1), text; 20074 (1), text","20073 (1), size; 20074 (1), size","20073 (2), x","20073 (2), y","20074, y","20074 (1), x","20074 (1), y","20074 (2), x","20074 (2), y","20075, y","20075 (2), x","20075 (2), y","20076, y","20076 (1), x","20076 (1), y","20076 (2), x","20076 (2), y","20080, y","20080 (1), y","20080 (2), x","20080 (2), y","20081, x; 20088, x","20081, y","20082, y","20082 (1), x","20082 (1), y","20082 (2), x","20082 (2), y","20083, x","20083, y","20083 (1), x","20083 (1), y","20083 (2), y","20085, y","20085 (2), x","20085 (2), y","20088, y","1509036, y","1509036 (2), x","1509036 (2), y","1510016, x","1510016, y","1510021, y","1510021 (2), y","1511044, y","1511044 (1), x","1511044 (1), y","1511044 (1), text","1511044 (1), size","1511044 (2), x","1511044 (2), y","1512030, x","1512030, y","20034, y","20034 (1), y","20034 (1), text","20034 (1), size","1506016, x","1506016, y","1506017, y","1506017 (1), x","1506017 (1), y","1506017 (1), text","1506017 (1), size","1506017 (2), y","1512031, x","1512031, y","1512031 (1), y","1512067, x","1512067, y","1512067 (1), x","1512067 (1), y","1512067 (2), y","20090, x; 1511043, x","20090, y","20090 (1), x; 20055 (1), x; 20087 (1), x; 20086 (2), x; 20097 (1), x","20090 (1), y","20094, x","20094, y","1511043, y","1511043 (1), y","1511043 (2), y","20033, x","20033, y","20040, x; 20077, x; 20087, x; 1509038, x; 1510046, x","20040, y","20040 (1), y","20040 (1), text","20040 (1), size","20055, x","20055, y","20055 (1), y","20055 (2), x","20055 (2), y","20068, x","20068, y","20068 (2), x; 1509038 (2), x","20068 (2), y","20077, y","20087, y","20087 (1), y","20095, x","20095, y","1509038, y","1509038 (2), y","1510046, y","20039, x; 20071, x; 20086, x; 20097, x","20039, y","20039 (2), y","20071, y","20086, y","20086 (2), y","20097, y","20097 (1), y","20097 (2), y","20056, x","20056, y","1512029, x","1512029, y","20078, y","20098, y","1511047, y","20079, y","20089, y","20091, y","20092, y","20093, y"
3e4647,3b8e94,64fb08,0b47e5,fe6e8f,5c83fe,f845cc,05e4d4,1d348e,5cb35d,d49f89,a8a346,b6fb0a,7459aa,eee0f0,119953,01c8e4,7bfe83,6d340c,41c460,ad7ed1,887dfd,e61cde,0c6499,1c37a2,0a21a3,e5e452,ca001d,684b08,b70808,09f3ae,d3a335,555e69,ee9d21,241adc,0ebd14,201368,7a2ed2,5ca0c2,5f6b68,5c2cc2,ad1768,62c991,e6e6fa,5956dd,e3c758,c16579,6b85de,9a8168,e4b2e1,093b7f,96482b,0c9c40,bad036,44f236,cdc0ce,28ada4,c6e409,4edb31,32e1e6,bf80f4,2f2559,b38bc5,eb20ba,2b45c2,ed019f,7e07bf,529765,8e9e84,631b90,6feeea,e06c1b,ffa51c,254213,520ed5,21b1b3,1ba62f,0739d5,7a6df7,ad6b29,cd985b,ed3808,72001b,7a33f4,d1f6e2,3ace0f,d3808d,67af7a,323fa5,908c29,685dff,59b908,38ad8d,afef5f,66c35b,47f71a,f1ab95,8daf78,daa60b,05a71e,89d35c,521e98,7c6ccd,e37037,20c33f,a2d955,06e809,5f2c47,422afd,0d43df,a4060a,c2ceeb,0e1310,0a29fe,c1212f,c67b98,dba7b6,ca16e8,4379a1,d9c793,3db659,4e3403,ff8159,71b14b,69c037,eadca8,5eb4fa,5e9b56,00dcd2,0c58b8,6a10e2,a743a3,197df9,686dbc,902867,908f6a,b42923,bcf383,aba4c7,d959e8,73b332,4839bc,6eba75,13a45b,98c678,e8ce37,5b2146,f629a9,bdd18f,1cc2ee,ad6906,d48a68,831c68,ea7d64,d998bb,c19214,7a1672,160226,32b1db,ffc039,cc7a7b,d36260,8a55b6,d62f14,5112c7,653c0f,ff488a,c0fb12,24332b,c5d460,cd0dc1,55945f,c9a864,78890e,b53bd9,de1e96,262686,34a5cc,133ff8,5123f1,005c25,9e92e5,897a20,844901,587742,4f1fe0,3336cf,77d8f9,68cc5b,7b3da6,0460f1,284a6a,21d977,e0e111,19a294,2487ef,56d059,e34c1e,549d45,e47899,fd8e77,cec307,2259bd,93870c,dd6664,03e8f3,e9c283,fbd998,1f83ed,8f2cf6,a2c755,bce7cd,2843e8,917b94,2e4795,f3e4d2,b57fa6,f5315c,251abd,1b5908,1e014c,860f08,f35cda,992950,9109b1,b6d457,9d14ef,51b245,4486a1,639d1a,899752,962ca7,d8a462,836e23,ff9669,d95ac4,05c87d,223c4d,03edf5,7e77fa,6619d4,d41a0e,cacef0,607526,3ded2e,47459a,07d395,0e6677,cded73,4dd2d5,15d759,55f05a,9c5b4e,5bbc33,e41998,6c2631,fbf2e5,6a5367,c72442
2017-12-29,0.442,2018-01-12,0.233,1,15,2018-01-11,0.263,0,0.378,2018-01-02,0.12,1,15,2017-12-29,0.378,0,0.462,2018-01-11,0.333,1,15,0.244,2018-01-07,0.244,2017-12-29,0.244,0,0.145,2018-01-09,0.137,2017-12-29,0.145,0,0.218,0.218,0.092,2018-01-08,0.122,2017-12-29,0.092,0,0.2,2017-12-29,0.2,0.143,2017-12-29,0.143,0.621,2018-01-03,0.378,4,30,2017-12-31,0.275,0,0.32,2017-12-29,0.32,0,0.214,2018-01-05,0.319,2017-12-31,0.224,2017-12-29,0.131,2018-01-02,0.155,5,35,2017-12-29,0.131,0.236,2018-01-03,0.41,2,20,2018-01-04,0.328,0.35,2017-12-29,0.35,2,20,2018-01-03,0.573,0.168,2018-01-02,0.22,1,15,2018-01-04,0.298,0.303,2017-12-29,0.303,0,0.088,2017-12-29,0.088,2017-12-29,0.066,0.113,2017-12-29,0.066,2017-12-29,0.15,0.348,0.103,2017-12-29,0.103,2018-01-02,0.62,0.079,2017-12-29,0.079,0.229,2017-12-29,0.229,0.311,0.126,2017-12-31,0.261,0.281,2018-01-10,2017-12-30,0.176,0,0.171,2018-01-04,0.131,1,15,2017-12-29,0.171,0.285,2018-01-02,0.224,2018-01-01,0.171,0.232,2018-01-02,0.211,0.181,2018-01-01,0.25,2017-12-29,0.181,0.384,0.157,2017-12-29,0.384,2017-12-29,0.161,0.232,2018-01-08,0.383,2017-12-29,0.232,2017-12-29,0.302,2018-01-04,0.377,0.389,0.184,2017-12-29,0.184,0.096,0.266,2018-01-04,0.621,2017-12-29,0.557,0.286,0.286,0.397,2017-12-30,0.299,1,15,2018-01-02,0.442,2017-12-29,0.564,0.335,0.261,4,30,2017-12-29,0.149,0.265,2018-01-10,0.366,3,25,0.265,2017-12-30,0.447,0.554,2018-01-02,0.368,2018-01-04,0.529,0.716,2018-01-03,0.388,2018-01-05,0.51,2018-01-03,0.338,0.452,0.452,0.69,2018-01-03,0.512,2018-01-04,0.436,0.258,3,25,2018-01-04,0.187,0.205,2018-01-04,0.187,2018-01-04,0.386,2018-01-04,0.386,0.305,0.351,0.454,2018-01-04,0.29,0.636,0.636,0.288,2018-01-05,0.507,0.218,0.317,0.382,0.382,0.461,0.461,0.629,2018-01-06,0.304,2018-01-09,0.127,0.588,0.337,0.297,0.412,0.293,0.23,0.288,0.26
2017-12-30,0.259,,,,,,,,0.233,2018-01-06,0.144,1,15,2017-12-30,0.233,0,0.346,2018-01-12,0.383,1,15,0.153,2018-01-10,0.543,2018-01-02,0.175,0,0.178,,,2017-12-31,0.076,0,0.167,0.124,0.198,,,2018-01-02,0.266,0,0.166,2017-12-31,0.088,0.167,2018-01-02,0.222,0.299,2018-01-06,0.156,1,15,2018-01-04,0.387,0,0.314,2018-01-05,0.508,0,0.262,2018-01-08,0.41,2018-01-02,0.244,2017-12-30,0.073,,,,,2017-12-31,0.114,0.275,,,,,2018-01-06,0.145,0.303,2018-01-08,0.181,1,15,2018-01-05,0.218,0.201,2018-01-03,0.257,3,25,2018-01-05,0.261,0.236,2018-01-02,0.181,0,0.142,2017-12-30,0.142,2017-12-30,0.101,,2018-01-04,0.311,2017-12-30,0.276,0.255,0.261,,,2018-01-03,0.543,0.186,2018-01-03,0.404,0.12,2017-12-31,0.142,0.406,,2018-01-03,0.331,0.176,,2017-12-31,0.204,0,0.266,2018-01-09,0.227,1,15,2017-12-31,0.293,0.165,2018-01-03,0.281,2018-01-08,0.263,0.173,2018-01-03,0.178,0.245,2018-01-03,0.163,2018-01-02,0.478,0.296,,2017-12-30,0.296,2017-12-30,0.192,0.328,2018-01-09,0.209,2018-01-02,0.442,2017-12-30,0.292,2018-01-11,0.145,,0.204,2017-12-31,0.152,0.148,0.222,2018-01-10,0.657,2018-01-12,0.363,0.305,0.271,0.299,2018-01-09,0.091,2,20,2018-01-03,0.117,2018-01-09,0.595,0.207,,,,2017-12-30,0.348,0.221,2018-01-11,0.292,1,15,,2017-12-31,0.459,,2018-01-04,0.529,2018-01-05,0.559,,2018-01-04,0.453,,,2018-01-04,0.293,0.478,,,2018-01-04,0.33,2018-01-05,0.257,,,,2018-01-05,0.205,,2018-01-07,0.254,2018-01-05,0.48,,,0.474,0.454,,2018-01-05,0.331,0.339,,0.289,2018-01-06,0.559,,0.288,0.215,,0.596,,,2018-01-07,0.258,2018-01-10,0.282,0.639,0.275,0.177,,,,,
2017-12-31,0.184,,,,,,,,0.214,2018-01-07,0.282,1,15,2017-12-31,0.214,0,0.19,,,,,0.248,,,2018-01-04,0.308,0,0.076,,,2018-01-02,0.144,0,0.124,0.17,0.219,,,2018-01-05,0.15,0,0.088,2018-01-02,0.141,0.248,2018-01-05,0.162,0.275,,,,,2018-01-09,0.622,0,0.276,,,,0.224,,,2018-01-04,0.22,2017-12-31,0.114,,,,,,,0.227,,,,,2018-01-10,0.225,0.332,,,,,2018-01-11,0.319,0.213,,,,,2018-01-07,0.228,0.316,2018-01-05,0.236,0,0.068,2018-01-02,0.149,2017-12-31,0.111,,2018-01-09,0.152,2017-12-31,0.248,0.301,0.431,,,2018-01-04,0.135,0.223,2018-01-04,0.217,0.142,2018-01-02,0.137,0.261,,2018-01-06,0.14,0.204,,2018-01-01,0.092,0,0.293,2018-01-10,0.301,1,15,2018-01-02,0.267,0.15,2018-01-04,0.295,2018-01-10,0.288,0.176,2018-01-05,0.181,0.193,,,2018-01-08,0.573,0.529,,2018-01-06,0.366,2017-12-31,0.196,0.257,,,,,2017-12-31,0.336,,,,0.152,2018-01-03,0.178,0.167,0.229,,,,,0.219,0.187,0.277,,,,,2018-01-04,0.198,2018-01-10,0.671,0.188,,,,2017-12-31,0.269,0.226,,,,,,2018-01-01,0.536,,2018-01-05,0.559,,,,2018-01-05,0.51,,,2018-01-05,0.396,0.569,,,2018-01-05,0.556,2018-01-06,0.306,,,,2018-01-06,0.16,,2018-01-10,0.328,2018-01-06,0.485,,,0.379,0.589,,2018-01-06,0.27,0.278,,0.285,2018-01-07,0.408,,0.322,0.192,,0.561,,,2018-01-08,0.346,2018-01-11,0.328,,,,,,,,
2018-01-01,0.264,,,,,,,,0.242,2018-01-11,0.284,1,15,2018-01-04,0.457,0,0.278,,,,,0.143,,,2018-01-09,0.346,0,0.121,,,2018-01-05,0.175,0,0.136,0.189,0.132,,,2018-01-10,0.185,0,0.111,2018-01-03,0.147,0.134,2018-01-07,0.183,0.181,,,,,,,,0.362,,,,0.125,,,2018-01-06,0.277,2018-01-01,0.098,,,,,,,0.289,,,,,,,0.492,,,,,,,0.214,,,,,2018-01-08,0.138,0.129,2018-01-07,0.257,0,0.124,2018-01-03,0.164,2018-01-01,0.232,,,,2018-01-01,0.259,0.428,0.504,,,2018-01-09,0.229,0.235,2018-01-08,0.328,0.063,2018-01-03,0.151,0.21,,2018-01-09,0.365,0.092,,2018-01-03,0.092,0,0.249,,,,,2018-01-03,0.202,0.171,,,,,0.253,2018-01-10,0.328,0.25,,,2018-01-10,0.275,0.313,,2018-01-11,0.382,2018-01-01,0.238,0.226,,,,,2018-01-01,0.43,,,,0.13,2018-01-05,0.141,0.234,0.353,,,,,0.254,0.232,0.249,,,,,2018-01-05,0.193,2018-01-11,0.514,0.238,,,,2018-01-01,0.501,0.377,,,,,,2018-01-02,0.5,,2018-01-06,0.639,,,,2018-01-06,0.617,,,2018-01-06,0.27,0.634,,,2018-01-06,0.37,2018-01-07,0.341,,,,2018-01-07,0.254,,,,2018-01-07,0.379,,,0.364,0.55,,2018-01-07,0.256,0.234,,0.289,2018-01-08,0.526,,0.241,0.295,,0.639,,,2018-01-09,0.327,2018-01-12,0.332,,,,,,,,
2018-01-02,0.242,,,,,,,,0.12,,,,,2018-01-05,0.26,0,0.226,,,,,0.175,,,2018-01-11,0.224,0,0.144,,,2018-01-07,0.227,0,0.17,0.209,0.266,,,,,,0.141,2018-01-05,0.187,0.222,2018-01-09,0.121,0.255,,,,,,,,0.335,,,,0.244,,,2018-01-09,0.377,2018-01-02,0.155,,,,,,,0.262,,,,,,,0.509,,,,,,,0.22,,,,,2018-01-09,0.232,0.181,2018-01-08,0.137,0,0.149,2018-01-04,0.234,2018-01-02,0.232,,,,2018-01-02,0.344,0.375,0.62,,,2018-01-10,0.29,0.27,,,0.137,2018-01-05,0.191,0.232,,,,0.082,,2018-01-05,0.162,0,0.267,,,,,2018-01-05,0.135,0.224,,,,,0.211,2018-01-12,0.16,0.478,,,,,0.231,,,,2018-01-02,0.234,0.442,,,,,2018-01-02,0.319,,,,0.183,2018-01-08,0.227,0.236,0.425,,,,,0.271,,0.442,,,,,2018-01-06,0.13,2018-01-12,0.483,0.234,,,,2018-01-02,0.428,0.268,,,,,,2018-01-03,0.41,,2018-01-07,0.595,,,,2018-01-07,0.602,,,2018-01-07,0.225,0.594,,,2018-01-07,0.299,2018-01-08,0.338,,,,2018-01-08,0.234,,,,2018-01-08,0.39,,,0.401,0.632,,2018-01-08,0.336,0.236,,0.443,2018-01-09,0.551,,0.497,0.255,,0.645,,,2018-01-10,0.341,,,,,,,,,,
2018-01-03,0.248,,,,,,,,0.254,,,,,2018-01-08,0.281,0,0.288,,,,,0.134,,,,,,0.158,,,2018-01-08,0.129,0,0.148,0.1,0.129,,,,,,0.147,2018-01-07,0.187,0.199,,,0.378,,,,,,,,0.574,,,,0.145,,,,,2018-01-03,0.342,,,,,,,0.41,,,,,,,0.573,,,,,,,0.257,,,,,2018-01-10,0.313,0.17,2018-01-11,0.159,0,0.164,2018-01-08,0.305,2018-01-03,0.113,,,,2018-01-03,0.341,0.25,0.543,,,,,0.404,,,0.151,2018-01-06,0.13,0.331,,,,0.092,,2018-01-06,0.098,0,0.202,,,,,2018-01-06,0.186,0.281,,,,,0.178,,,0.163,,,,,0.484,,,,2018-01-03,0.294,0.246,,,,,2018-01-04,0.377,,,,0.178,2018-01-09,0.099,0.28,0.545,,,,,0.133,,0.117,,,,,,,,,0.147,,,,,,0.273,,,,,,2018-01-04,0.337,,2018-01-08,0.716,,,,2018-01-08,0.646,,,2018-01-08,0.332,0.621,,,2018-01-08,0.418,2018-01-09,0.258,,,,2018-01-09,0.258,,,,2018-01-09,0.464,,,0.326,0.598,,2018-01-09,0.428,0.261,,0.29,2018-01-10,0.614,,0.368,0.287,,0.702,,,2018-01-11,0.352,,,,,,,,,,
2018-01-04,0.283,,,,,,,,0.457,,,,,2018-01-09,0.272,0,0.334,,,,,0.308,,,,,,0.194,,,2018-01-10,0.296,0,0.232,0.309,0.197,,,,,,0.221,2018-01-08,0.107,0.165,,,0.387,,,,,,,,0.369,,,,0.22,,,,,2018-01-04,0.672,,,,,,,0.328,,,,,,,0.343,,,,,,,0.298,,,,,2018-01-11,0.216,0.302,,,,0.234,2018-01-09,0.111,2018-01-04,0.311,,,,2018-01-04,0.292,0.437,0.135,,,,,0.217,,,0.177,2018-01-08,0.131,0.321,,,,0.149,,2018-01-08,0.088,0,0.131,,,,,,,0.295,,,,,0.308,,,0.27,,,,,0.316,,,,2018-01-04,0.287,0.188,,,,,2018-01-05,0.355,,,,0.169,,,0.44,0.621,,,,,0.18,,0.198,,,,,,,,,0.315,,,,,,0.294,,,,,,2018-01-05,0.485,,2018-01-09,0.174,,,,2018-01-09,0.585,,,2018-01-09,0.325,0.658,,,2018-01-09,0.546,2018-01-10,0.279,,,,2018-01-10,0.328,,,,2018-01-11,0.331,,,0.381,0.684,,2018-01-10,0.405,0.299,,0.449,2018-01-11,0.218,,0.363,0.322,,0.629,,,2018-01-12,0.36,,,,,,,,,,
2018-01-05,0.274,,,,,,,,0.26,,,,,2018-01-10,0.33,0,0.231,,,,,0.146,,,,,,0.175,,,,,,0.189,,0.15,,,,,,0.187,2018-01-11,0.126,0.162,,,0.383,,,,,,,,0.508,,,,0.319,,,,,2018-01-05,0.637,,,,,,,0.202,,,,,,,0.218,,,,,,,0.261,,,,,2018-01-12,0.147,0.236,,,,0.237,,,2018-01-05,0.31,,,,2018-01-05,0.502,0.369,0.255,,,,,0.216,,,0.191,2018-01-10,0.151,0.306,,,,0.162,,2018-01-11,0.173,0,0.135,,,,,,,0.355,,,,,0.181,,,0.561,,,,,0.327,,,,,,0.246,,,,,2018-01-06,0.352,,,,0.141,,,,0.267,,,,,0.187,,0.193,,,,,,,,,0.358,,,,,,0.264,,,,,,2018-01-06,0.504,,2018-01-10,0.282,,,,2018-01-10,0.604,,,2018-01-10,0.358,0.69,,,2018-01-11,0.372,2018-01-11,0.307,,,,2018-01-12,0.137,,,,2018-01-12,0.303,,,0.384,0.524,,2018-01-11,0.488,0.292,,0.346,2018-01-12,0.162,,0.382,0.384,,0.316,,,,,,,,,,,,,,
2018-01-06,0.26,,,,,,,,0.144,,,,,,,,0.298,,,,,0.132,,,,,,0.127,,,,,,0.133,,0.117,,,,,,0.125,,,0.089,,,0.156,,,,,,,,0.309,,,,0.277,,,,,2018-01-06,0.568,,,,,,,0.145,,,,,,,0.142,,,,,,,0.135,,,,,,,0.261,,,,0.188,,,2018-01-06,0.386,,,,2018-01-06,0.415,0.326,0.069,,,,,0.285,,,0.13,,,0.14,,,,0.098,,2018-01-12,0.194,0,0.186,,,,,,,0.277,,,,,0.268,,,0.483,,,,,0.366,,,,,,0.179,,,,,2018-01-07,0.35,,,,0.128,,,,0.262,,,,,0.299,,0.13,,,,,,,,,0.266,,,,,,0.308,,,,,,2018-01-07,0.464,,2018-01-11,0.23,,,,2018-01-11,0.617,,,2018-01-11,0.382,0.536,,,2018-01-12,0.524,2018-01-12,0.356,,,,,,,,,,,,,0.367,0.595,,,,0.357,,0.498,,,,,,,,,,,,,,,,,,,,,
