x,y
9a9dd7,af4b77
2017-07-05T03:36:11.868Z,15938
2017-07-06T03:36:12.012Z,18170
2017-07-07T03:36:11.994Z,19360
2017-07-08T03:36:12.617Z,19609
2017-07-09T03:36:12.391Z,19716
2017-07-10T03:36:12.134Z,19891
2017-07-11T03:36:12.234Z,20173
2017-07-12T03:36:12.332Z,20376
2017-07-13T03:36:13.107Z,20579
2017-07-14T03:36:12.553Z,20712
2017-07-15T03:36:12.816Z,20929
2017-07-16T03:36:12.930Z,21087
2017-07-17T03:36:13.068Z,21236
2017-07-18T03:36:13.659Z,21351
2017-07-19T03:36:13.435Z,21484
2017-07-20T03:36:13.451Z,21891
2017-07-20T08:19:58.242Z,21988
2017-07-20T08:20:15.587Z,21988
2017-07-21T08:20:15.595Z,22221
2017-07-22T08:20:15.716Z,23570
2017-07-23T08:20:15.749Z,24304
2017-07-24T08:20:15.810Z,24644
2017-07-25T08:20:15.901Z,24806
2017-07-26T08:20:16.205Z,24940
2017-07-27T08:20:16.174Z,25141
2017-07-28T08:20:16.109Z,25459
2017-07-29T08:20:16.117Z,25738
2017-07-30T08:20:16.205Z,25956
2017-07-31T08:20:16.379Z,26226
2017-08-01T08:20:16.638Z,26595
2017-08-02T08:20:16.458Z,27159
2017-08-03T08:20:16.531Z,27563
2017-08-04T08:20:16.678Z,27907
2017-08-05T08:20:17.041Z,28145
2017-08-06T08:20:16.784Z,28149
2017-08-07T08:20:16.885Z,28149
2017-08-08T08:20:17.262Z,28149
2017-08-09T08:20:17.124Z,28149
2017-08-10T08:20:17.134Z,28149
2017-08-11T08:20:17.200Z,28149
2017-08-12T08:20:17.674Z,28336
2017-08-13T08:20:17.316Z,28693
2017-08-14T08:20:17.542Z,28961
2017-08-15T08:20:17.379Z,29458
2017-08-16T08:20:17.436Z,29771
2017-08-17T08:20:17.534Z,30478
2017-08-18T08:20:17.605Z,30972
2017-08-19T08:20:17.629Z,31431
2017-08-20T08:20:17.689Z,31792
2017-08-21T08:20:17.781Z,32092
2017-08-22T08:20:17.861Z,32548
2017-08-23T08:20:18.054Z,32875
2017-08-24T08:20:18.675Z,33208
2017-08-25T08:20:18.164Z,33348
2017-08-26T08:20:18.135Z,33648
2017-08-27T08:20:18.298Z,34038
2017-08-28T08:20:18.281Z,34434
2017-08-29T08:20:18.340Z,34967
2017-08-30T08:20:18.381Z,35405
2017-08-31T08:20:18.452Z,35906
2017-09-01T08:20:18.505Z,36285
2017-09-02T08:20:19.166Z,36680
2017-09-03T08:20:19.509Z,36901
2017-09-04T08:20:19.049Z,37166
2017-09-05T08:20:18.678Z,37436
2017-09-06T08:20:18.796Z,37789
2017-09-07T08:20:18.895Z,38183
2017-09-08T08:20:18.986Z,38595
2017-09-09T08:20:20.034Z,38843
2017-09-10T08:20:19.315Z,39262
2017-09-11T08:20:19.250Z,39659
2017-09-12T08:20:19.304Z,40169
2017-09-13T08:20:19.302Z,40424
2017-09-14T08:20:19.353Z,40846
2017-09-15T08:20:19.420Z,41479
2017-09-16T08:20:19.541Z,41780
2017-09-17T08:20:19.563Z,42168
2017-09-18T08:20:19.610Z,42710
2017-09-19T08:20:19.636Z,43291
2017-09-20T08:20:19.725Z,43644
2017-09-21T08:20:20.908Z,44013
2017-09-22T08:20:19.852Z,44387
2017-09-23T08:20:19.889Z,44635
2017-09-24T08:20:20.027Z,45080
2017-09-25T08:20:20.068Z,45354
2017-09-26T08:20:20.159Z,45629
2017-09-27T08:20:20.538Z,45897
2017-09-28T08:20:20.742Z,46191
2017-09-29T08:20:20.402Z,46404
2017-09-30T08:20:20.488Z,46740
2017-10-01T08:20:20.849Z,47293
2017-10-02T08:20:20.685Z,47588
2017-10-03T08:20:20.762Z,47820
2017-10-04T08:20:20.793Z,48119
2017-10-05T08:20:20.876Z,48381
2017-10-06T08:20:20.916Z,48599
2017-10-07T08:20:20.921Z,48912
2017-10-08T08:20:20.937Z,49148
2017-10-09T08:20:21.173Z,49300
2017-10-10T08:20:21.218Z,49664
2017-10-11T08:20:21.222Z,49981
2017-10-12T08:20:21.293Z,50492
2017-10-13T08:20:21.533Z,51119
2017-10-14T08:20:21.515Z,51547
2017-10-15T08:20:21.634Z,51772
2017-10-16T08:20:22.203Z,53214
2017-10-17T08:20:21.773Z,53632
2017-10-18T08:20:21.868Z,53953
2017-10-19T08:20:21.870Z,54218
2017-10-20T08:20:21.983Z,54571
2017-10-20T12:21:43.039Z,54590
2017-10-21T00:49:17.936Z,54758
2017-10-21T04:52:21.453Z,54823
2017-10-21T04:52:34.885Z,54823
2017-10-21T04:53:28.720Z,54824
2017-10-22T04:53:28.469Z,55033
2017-10-23T04:53:28.381Z,55170
2017-10-24T04:53:28.409Z,55480
2017-10-25T04:53:28.421Z,55882
2017-10-26T04:53:28.459Z,56222
2017-10-27T04:53:28.587Z,56545
2017-10-28T04:53:28.479Z,56930
2017-10-29T04:53:28.433Z,57269
2017-10-30T04:53:28.398Z,57601
2017-10-31T04:53:28.456Z,58009
2017-11-01T04:53:28.399Z,58340
2017-11-02T04:53:28.444Z,58657
2017-11-03T04:53:28.443Z,58930
