Dextrose,Bread
7bfe77,945fbb
8.5138888889,9.625
12.625,11.9166666667
24.0833333333,1.3333333333
12.5,27.875
61.5208333333,40.9375
21.4722222222,38.1666666667
85.875,42.8541666667
21.9166666667,74.1041666667
61.3541666667,50.3333333333
12.25,33.4166666667
54.9791666667,69.0416666667
35.3541666667,18.0625
13.25,28.6041666667
20.0,26.7916666667
20.2083333333,26.8541666667
36.4583333333,23.4583333333
47.2708333333,48.1041666667
159.6875,81.5208333333
65.5833333333,36.7708333333
54.1041666667,25.5625
49.7708333333,27.0
27.6875,26.8333333333
10.5208333333,10.1875
48.375,52.9583333333
26.8125,19.9583333333
98.8333333333,67.5833333333
52.125,35.0833333333
60.7916666667,43.3125
17.7916666667,23.375
23.5625,15.3333333333
65.0,11.1666666667
41.9791666667,26.0625
66.1666666667,79.2291666667
38.2083333333,29.2291666667
16.4375,5.5
74.0833333333,34.0625
17.0833333333,44.5416666667
193.4375,192.7291666667
13.4791666667,100.1666666667
6.2083333333,45.25
11.0625,35.2708333333
26.0833333333,21.1666666667
28.7083333333,27.75
28.125,37.0208333333
184.6875,154.375
71.4583333333,4.125
23.8333333333,27.6666666667
20.0,63.9375
143.625,84.3125
52.3125,37.0208333333
45.5,28.7291666667
30.2291666667,30.5
47.0833333333,48.5
6.9166666667,20.3333333333
36.8541666667,37.9583333333
25.6875,23.75
15.9375,26.2916666667
1.75,17.0833333333
31.7083333333,35.7083333333
5.5833333333,6.5
12.4583333333,35.8333333333
247.6875,141.8125
38.4583333333,11.0
42.25,56.8125
23.5833333333,26.4791666667
29.6875,0.0416666667
42.0,30.1041666667
11.4791666667,22.2083333333
27.7083333333,10.875
76.0,42.2708333333
21.7291666667,31.625
14.6875,45.2916666667
67.0,28.7291666667
36.5625,45.6041666667
16.375,44.7083333333
52.1875,54.8333333333
47.0,33.8333333333
17.1041666667,0.0416666667
143.0625,89.2083333333
23.0625,11.5416666667
25.125,25.4583333333
44.4375,20.0
35.8958333333,4.25
87.7708333333,43.4583333333
26.5,34.75
22.875,14.2291666667
25.1458333333,32.4166666667
5.4583333333,9.2291666667
85.1666666667,89.5208333333
45.5833333333,36.2083333333
16.375,18.8125
5.9166666667,66.5
28.5208333333,17.5
18.6041666667,38.5625
74.0625,96.3333333333
44.1458333333,22.0625
20.3333333333,27.625
67.3333333333,64.6041666667
152.3958333333,47.6458333333
35.6875,36.6875
44.8333333333,33.6666666667
43.2708333333,27.0625
23.0416666667,14.2083333333
24.375,69.4166666667
46.5416666667,94.875
15.1875,13.5
48.9166666667,42.7916666667
41.375,33.7291666667
102.125,68.5833333333
40.7083333333,43.7708333333
33.9583333333,17.8333333333
50.7708333333,45.1875
23.6875,31.6458333333
10.625,19.7916666667
33.8958333333,20.0
40.3958333333,63.9166666667
25.7708333333,73.2916666667
98.25,103.3125
91.2083333333,48.3333333333
33.9375,57.0208333333
127.8333333333,109.5208333333
96.7916666667,50.125
150.4791666667,186.4375
23.75,10.2083333333
107.5208333333,80.5625
176.2916666667,81.7708333333
13.5416666667,33.5208333333
84.1458333333,48.8541666667
41.3333333333,55.1041666667
28.375,22.8333333333
117.7708333333,72.3541666667
88.5,27.3541666667
23.4791666667,14.75
127.5208333333,70.5625
89.5,41.5
31.4791666667,38.0833333333
10.8333333333,23.0833333333
1.5416666667,46.125
54.1875,32.375
85.0625,63.8958333333
53.6458333333,51.125
63.2083333333,30.3541666667
2.375,28.2916666667
54.1875,26.3125
39.2291666667,12.1875
43.6041666667,30.4166666667
34.3333333333,42.2916666667
63.0625,70.0833333333
5.2291666667,35.375
59.5833333333,45.5
85.8888888889,76.0416666667
0.125,5.0833333333
25.0,19.7916666667
17.3541666667,11.5625
41.3333333333,39.0
37.8333333333,14.3125
58.3958333333,39.0625
42.75,42.0208333333
142.2916666667,80.5833333333
20.75,23.9583333333
27.0625,22.3958333333
125.875,79.5
30.6666666667,13.0625
62.7708333333,34.3333333333
36.6875,20.7916666667
14.5,32.625
50.6875,38.3333333333
18.7916666667,25.125
8.7291666667,18.5625
60.4583333333,63.3958333333
65.8125,38.0
39.4375,45.0208333333
120.1041666667,84.0
61.5,26.9375
47.2916666667,32.4166666667
54.0416666667,136.8333333333
10.4583333333,15.5833333333
43.6666666667,33.4583333333
43.125,17.4166666667
56.7083333333,76.4375
3.0,14.7083333333
29.1458333333,21.3333333333
5.9583333333,19.0416666667
10.8541666667,24.625
11.1041666667,19.75
37.1666666667,60.6041666667
6.5625,18.4166666667
30.625,16.2708333333
49.9166666667,46.4791666667
31.7083333333,33.0
29.0416666667,28.25
11.4583333333,22.4583333333
5.375,45.5625
10.5416666667,18.3333333333
14.5208333333,22.5
14.4791666667,2.5416666667
24.1458333333,31.9583333333
6.75,16.8125
79.5833333333,51.6041666667
32.2708333333,14.4583333333
68.875,50.625
28.8333333333,57.75
16.125,23.2083333333
11.9791666667,1.4166666667
80.0833333333,30.5
41.625,2.9166666667
