"Used Space, x; Total Space, x","Used Space, y","Total Space, y"
0a3b44,5e8679,b83ca6
2017-10-14 08:59:00,215429,225428
2017-10-14 09:59:00,215273,225428
2017-10-14 10:59:00,215454,225428
2017-10-14 11:59:00,215450,225428
2017-10-14 12:59:00,215663,225428
2017-10-14 13:59:00,215707,225428
2017-10-14 14:59:00,215722,225428
2017-10-14 15:59:00,215764,225428
2017-10-14 16:59:00,215741,225428
2017-10-14 17:59:00,215725,225428
2017-10-14 18:59:00,215429,225428
2017-10-14 19:59:00,215386,225428
2017-10-14 20:59:00,215439,225428
2017-10-14 21:59:00,215445,225428
2017-10-14 22:59:00,215479,225428
2017-10-14 23:59:00,215495,225428
2017-10-15 00:59:00,215501,225428
2017-10-15 01:59:00,215552,225428
2017-10-15 02:59:00,215593,225428
2017-10-15 03:59:00,215632,225428
2017-10-15 04:59:00,215653,225428
2017-10-15 05:59:00,215684,225428
2017-10-15 06:59:00,215700,225428
2017-10-15 07:59:00,215716,225428
2017-10-15 08:59:00,215737,225428
2017-10-15 09:59:00,215772,225428
2017-10-15 10:59:00,215809,225428
2017-10-15 11:59:00,215819,225428
2017-10-15 12:59:00,215663,225428
2017-10-15 13:59:00,215698,225428
2017-10-15 14:59:00,215707,225428
2017-10-15 15:59:00,215742,225428
2017-10-15 16:59:00,215747,225428
2017-10-15 17:59:00,215710,225428
2017-10-15 18:59:00,214849,225428
2017-10-15 19:59:00,214737,225428
2017-10-15 20:59:00,214761,225428
2017-10-15 21:59:00,214777,225428
2017-10-15 22:59:00,214801,225428
2017-10-15 23:59:00,214818,225428
2017-10-16 00:59:00,214885,225428
2017-10-16 01:59:00,214922,225428
2017-10-16 02:59:00,214965,225428
2017-10-16 03:59:00,214977,225428
2017-10-16 04:59:00,215019,225428
2017-10-16 05:59:00,215069,225428
2017-10-16 06:59:00,214981,225428
2017-10-16 07:59:00,215333,225428
2017-10-16 08:59:00,215457,225428
2017-10-16 09:59:00,215495,225428
2017-10-16 10:59:00,215370,225428
2017-10-16 11:59:00,215620,225428
2017-10-16 12:59:00,216193,225428
2017-10-16 13:59:00,216259,225428
2017-10-16 14:59:00,216003,225428
2017-10-16 15:59:00,216032,225428
2017-10-16 16:59:00,216038,225428
2017-10-16 17:59:00,215985,225428
2017-10-16 18:59:00,215313,225428
2017-10-16 19:59:00,215274,225428
2017-10-16 20:59:00,215312,225428
2017-10-16 21:59:00,215321,225428
2017-10-16 22:59:00,215381,225428
2017-10-16 23:59:00,215448,225428
2017-10-17 00:59:00,215506,225428
2017-10-17 01:59:00,215418,225428
2017-10-17 02:59:00,215640,225428
2017-10-17 03:59:00,215640,225428
2017-10-17 04:59:00,215418,225428
2017-10-17 05:59:00,215351,225428
2017-10-17 06:59:00,215029,225428
2017-10-17 07:59:00,214679,225428
2017-10-17 08:59:00,214942,225428
2017-10-17 09:59:00,215081,225428
2017-10-17 10:59:00,215121,225428
2017-10-17 11:59:00,215363,225428
2017-10-17 12:59:00,215383,225428
2017-10-17 13:59:00,215461,225428
2017-10-17 14:59:00,215500,225428
2017-10-17 15:59:00,215525,225428
2017-10-17 16:59:00,215526,225428
2017-10-17 17:59:00,215510,225428
2017-10-17 18:59:00,214920,225428
2017-10-17 19:59:00,214946,225428
2017-10-17 20:59:00,215065,225428
2017-10-17 21:59:00,215072,225428
2017-10-17 22:59:00,214942,225428
2017-10-17 23:59:00,215011,225428
2017-10-18 00:59:00,215096,225428
2017-10-18 01:59:00,215183,225428
2017-10-18 02:59:00,215460,225428
2017-10-18 03:59:00,215481,225428
2017-10-18 04:59:00,215499,225428
2017-10-18 05:59:00,215536,225428
2017-10-18 06:59:00,215599,225428
2017-10-18 07:59:00,215535,225428
2017-10-18 08:59:00,215688,225428
2017-10-18 09:59:00,215743,225428
2017-10-18 10:59:00,215785,225428
2017-10-18 11:59:00,215802,225428
2017-10-18 12:59:00,215820,225428
2017-10-18 13:59:00,215828,225428
2017-10-18 14:59:00,215869,225428
2017-10-18 15:59:00,215871,225428
2017-10-18 16:59:00,215890,225428
2017-10-18 17:59:00,215824,225428
2017-10-18 18:59:00,215503,225428
2017-10-18 19:59:00,215504,225428
2017-10-18 20:59:00,215516,225428
2017-10-18 21:59:00,215534,225428
2017-10-18 22:59:00,215552,225428
2017-10-18 23:59:00,215597,225428
2017-10-19 00:59:00,215612,225428
2017-10-19 01:59:00,215627,225428
2017-10-19 02:59:00,215627,225428
2017-10-19 03:59:00,215755,225428
2017-10-19 04:59:00,216090,225428
2017-10-19 05:59:00,216112,225428
2017-10-19 06:59:00,216140,225428
2017-10-19 07:59:00,216402,225428
2017-10-19 08:59:00,216626,225428
2017-10-19 09:59:00,217166,225428
2017-10-19 10:59:00,217318,225428
2017-10-19 11:59:00,217269,225428
2017-10-19 12:59:00,217565,225428
2017-10-19 13:59:00,217573,225428
2017-10-19 14:59:00,217535,225428
2017-10-19 15:59:00,217308,225428
2017-10-19 16:59:00,217223,225428
2017-10-19 17:59:00,217235,225428
2017-10-19 18:59:00,216311,225428
2017-10-19 19:59:00,216360,225428
2017-10-19 20:59:00,216380,225428
2017-10-19 21:59:00,216401,225428
2017-10-19 22:59:00,216366,225428
2017-10-19 23:59:00,216384,225428
2017-10-20 00:59:00,216393,225428
2017-10-20 01:59:00,216403,225428
2017-10-20 02:59:00,216695,225428
2017-10-20 03:59:00,216742,225428
2017-10-20 04:59:00,216748,225428
2017-10-20 05:59:00,216779,225428
2017-10-20 06:59:00,217240,225428
2017-10-20 07:59:00,217372,225428
2017-10-20 08:59:00,217357,225428
2017-10-20 09:59:00,217349,225428
2017-10-20 10:59:00,217372,225428
2017-10-20 11:59:00,217515,225428
2017-10-20 12:59:00,217507,225428
2017-10-20 13:59:00,217595,225428
2017-10-20 14:59:00,217673,225428
2017-10-20 15:59:00,217692,225428
2017-10-20 16:59:00,217729,225428
2017-10-20 17:59:00,217701,225428
2017-10-20 18:59:00,216866,225428
2017-10-20 19:59:00,216864,225428
2017-10-20 20:59:00,216873,225428
2017-10-20 21:59:00,216917,225428
2017-10-20 22:59:00,216928,225428
2017-10-20 23:59:00,216955,225428
2017-10-21 00:59:00,216789,225428
2017-10-21 01:59:00,216476,225428
2017-10-21 02:59:00,216507,225428
2017-10-21 03:59:00,216518,225428
2017-10-21 04:59:00,216527,225428
2017-10-21 05:59:00,216537,225428
2017-10-21 06:59:00,216555,225428
2017-10-21 07:59:00,216577,225428
2017-10-21 08:59:00,216585,225428
2017-10-21 09:59:00,216605,225428
2017-10-21 10:59:00,216562,225428
2017-10-21 11:59:00,216566,225428
2017-10-21 12:59:00,216617,225428
2017-10-21 13:59:00,216666,225428
2017-10-21 14:59:00,216657,225428
2017-10-21 15:59:00,216664,225428
2017-10-21 16:59:00,216544,225428
2017-10-21 17:59:00,216519,225428
2017-10-21 18:59:00,215924,225428
2017-10-21 19:59:00,215915,225428
2017-10-21 20:59:00,215907,225428
2017-10-21 21:59:00,215850,225428
2017-10-21 22:59:00,215853,225428
2017-10-21 23:59:00,215610,225428
2017-10-22 00:59:00,215663,225428
2017-10-22 01:59:00,215666,225428
2017-10-22 02:59:00,216047,225428
2017-10-22 03:59:00,216001,225428
2017-10-22 04:59:00,215993,225428
2017-10-22 05:59:00,215933,225428
2017-10-22 06:59:00,215951,225428
2017-10-22 07:59:00,215934,225428
2017-10-22 08:59:00,215986,225428
2017-10-22 09:59:00,215994,225428
2017-10-22 10:59:00,215975,225428
2017-10-22 11:59:00,215981,225428
2017-10-22 12:59:00,215974,225428
2017-10-22 13:59:00,215934,225428
2017-10-22 14:59:00,216140,225428
2017-10-22 15:59:00,216078,225428
2017-10-22 16:59:00,216080,225428
2017-10-22 17:59:00,216011,225428
2017-10-22 18:59:00,216002,225428
2017-10-22 19:59:00,215960,225428
2017-10-22 20:59:00,215939,225428
