"ioa-ast03, x; ioa-bxb200, x; ioa-blr11, x; ioa-rtp6, x; ioa-clg5, x; ioa-sjc19, x; ioa-prg5, x","ioa-ast03, y","ioa-bxb200, y","ioa-blr11, y","ioa-rtp6, y","ioa-clg5, y","ioa-sjc19, y","ioa-prg5, y","u90-scratch, x; u71-scratch, x; u32-scratch, x; u70-scratch, x; clg-opsview, x","u90-scratch, y","u71-scratch, y","u32-scratch, y","u70-scratch, y","clg-opsview, y","u51-scratch, x; prg5-opsview, x","u51-scratch, y","prg5-opsview, y"
46db32,f73181,c5df6b,428a5e,ff2e33,01c295,3e9860,102216,775904,da9e29,ef5431,b3ea9e,0ae25a,99d6e7,03eb16,adfda7,87503b
2018-01-09 09:00:00,68.75,139.55,19.74,0.0,105.04,89.05,0.0,2018-01-09 10:00:00,1.72,175.21,31.03,115.97,69.94,2018-01-09 22:00:00,0.0,17.09
2018-01-09 13:00:00,76.79,128.26,31.08,0.0,96.58,88.04,0.0,2018-01-09 13:00:00,4.73,154.94,26.03,100.71,56.24,2018-01-11 09:00:00,0.0,37.07
2018-01-09 17:00:00,49.02,150.52,16.66,0.0,55.8,96.11,0.0,2018-01-09 17:00:00,51.37,162.56,27.24,100.95,53.97,2018-01-11 13:00:00,0.0,30.33
2018-01-09 21:00:00,13.78,128.28,16.3,0.0,35.09,81.36,0.0,2018-01-09 22:00:00,1.93,138.15,25.17,98.66,51.15,,,
2018-01-10 01:00:00,70.4,153.33,30.17,0.0,102.04,108.45,0.0,2018-01-10 01:00:00,59.4,184.96,32.52,103.04,60.73,,,
2018-01-10 05:00:00,72.84,172.92,28.38,0.0,93.36,98.27,0.0,2018-01-10 05:00:00,111.94,177.59,31.01,77.51,66.46,,,
2018-01-10 09:00:00,77.4,182.82,29.43,0.0,68.59,111.59,0.0,2018-01-10 09:00:00,86.34,197.56,32.39,91.73,71.15,,,
2018-01-10 13:00:00,56.17,154.11,31.58,0.0,76.46,104.23,0.0,2018-01-10 13:00:00,81.24,138.01,29.04,74.72,56.87,,,
2018-01-10 17:00:00,55.49,123.42,24.81,114.47,97.88,52.48,0.0,2018-01-10 17:00:00,25.24,147.87,10.94,83.49,52.24,,,
2018-01-10 21:00:00,46.59,117.03,21.64,158.11,82.95,80.52,0.0,2018-01-10 21:00:00,53.08,111.81,29.59,52.27,46.9,,,
2018-01-11 01:00:00,78.87,158.19,0.0,211.79,83.38,86.61,0.0,2018-01-11 01:00:00,62.1,143.59,27.45,66.29,46.09,,,
2018-01-11 05:00:00,57.86,161.1,29.56,173.51,72.07,75.91,0.0,2018-01-11 05:00:00,62.03,170.48,22.2,115.3,65.63,,,
2018-01-11 09:00:00,58.46,178.45,28.29,207.29,68.34,104.91,0.0,2018-01-11 09:00:00,62.72,178.17,18.83,103.05,51.5,,,
2018-01-11 13:00:00,57.33,117.44,29.54,128.88,70.34,104.87,0.0,2018-01-11 13:00:00,59.37,148.36,24.89,96.01,57.31,,,
2018-01-11 17:00:00,30.73,144.93,24.55,0.0,87.4,100.28,0.0,2018-01-11 17:00:00,82.37,151.2,23.22,88.04,48.28,,,
2018-01-11 21:00:00,34.12,140.91,24.42,172.61,85.47,81.62,0.0,2018-01-11 21:00:00,56.3,145.09,25.34,77.07,64.09,,,
2018-01-12 01:00:00,75.72,151.13,26.93,172.07,56.78,105.56,0.0,2018-01-12 01:00:00,57.47,147.64,29.49,78.77,102.51,,,
2018-01-12 05:00:00,73.93,177.45,30.71,219.41,51.32,66.15,0.0,2018-01-12 05:00:00,58.06,141.54,31.07,88.71,81.6,,,
2018-01-12 09:00:00,61.41,143.71,29.79,212.6,70.87,99.55,0.0,2018-01-12 09:00:00,3.47,147.84,25.68,65.64,96.99,,,
2018-01-12 13:00:00,70.48,138.3,29.46,197.79,55.95,98.09,0.0,2018-01-12 13:00:00,59.96,133.57,24.41,76.37,75.58,,,
2018-01-12 17:00:00,52.03,133.17,30.99,155.56,59.22,100.97,0.0,2018-01-12 17:00:00,45.91,137.61,22.09,59.3,64.98,,,
