"ioa-ast03, x; ioa-ful01, x; ioa-bxb200, x; ioa-blr11, x; ioa-rtp6, x; ioa-clg5, x; ioa-prg5, x","ioa-ast03, y","ioa-ful01, y","ioa-bxb200, y","ioa-blr11, y","ioa-rtp6, y","ioa-clg5, y","ioa-prg5, y","u90-scratch, x","u90-scratch, y","u45-scratch, x; u71-scratch, x; u32-scratch, x","u45-scratch, y","u71-scratch, y","u32-scratch, y","u70-scratch, x; clg-opsview, x; prg5-opsview, x","u70-scratch, y","clg-opsview, y","prg5-opsview, y"
26a93b,4d4d1c,e36714,42809f,55d4f2,aeeeae,6c348a,c5e60b,0c9b82,fc3eac,2a74e3,76a7b4,aa788c,8f316a,ba35cf,a410bc,bc5f10,6a5717
2018-01-09 17:00:00,75.29,40.56,103.45,37.4,0.0,53.3,0.0,2018-01-09 17:00:00,54.26,2018-01-09 18:00:00,2.1,62.37,28.79,2018-01-09 18:00:00,45.42,47.04,24.18
2018-01-09 21:00:00,25.58,36.25,86.22,37.36,0.0,43.87,0.0,2018-01-09 22:00:00,1.75,2018-01-09 22:00:00,6.49,71.19,36.34,2018-01-09 22:00:00,51.97,54.79,24.03
2018-01-10 01:00:00,110.64,48.61,99.5,37.64,0.0,67.12,0.0,2018-01-10 01:00:00,53.45,2018-01-10 01:00:00,11.16,65.73,37.4,2018-01-10 01:00:00,44.51,66.97,27.13
2018-01-10 05:00:00,88.95,43.41,89.38,37.57,0.0,68.29,0.0,2018-01-10 05:00:00,98.88,2018-01-10 07:00:00,0.71,64.3,37.56,2018-01-10 08:00:00,19.25,61.99,23.79
2018-01-10 09:00:00,108.38,31.84,104.69,37.5,0.0,68.27,0.0,2018-01-10 09:00:00,72.77,2018-01-10 09:00:00,4.69,70.67,37.45,2018-01-10 09:00:00,39.92,62.45,24.26
2018-01-10 13:00:00,77.47,47.21,102.43,37.66,0.0,42.2,0.0,2018-01-10 13:00:00,95.69,2018-01-10 13:00:00,6.82,66.22,37.52,2018-01-10 13:00:00,25.68,56.27,26.64
2018-01-10 17:00:00,63.63,27.65,97.3,37.56,120.29,45.98,0.0,2018-01-10 17:00:00,79.17,2018-01-10 18:00:00,2.32,49.09,35.7,2018-01-10 18:00:00,17.05,44.94,18.3
2018-01-10 21:00:00,71.34,25.29,98.94,37.55,121.7,54.14,0.0,2018-01-10 21:00:00,49.16,2018-01-10 21:00:00,5.39,59.22,36.85,2018-01-10 21:00:00,45.39,43.04,27.25
2018-01-11 01:00:00,80.09,41.2,100.4,0.0,121.1,67.83,0.0,2018-01-11 01:00:00,77.05,2018-01-11 01:00:00,8.94,64.64,37.47,2018-01-11 01:00:00,45.03,68.3,28.81
2018-01-11 05:00:00,82.62,42.03,102.23,37.66,121.17,66.63,0.0,2018-01-11 05:00:00,3.92,2018-01-11 06:00:00,3.08,69.54,37.51,2018-01-11 06:00:00,42.79,65.13,29.83
2018-01-11 09:00:00,92.67,36.24,47.96,37.65,120.8,59.31,0.0,2018-01-11 09:00:00,111.72,2018-01-11 09:00:00,8.3,40.54,35.26,2018-01-11 09:00:00,36.54,68.25,28.08
2018-01-11 13:00:00,74.99,37.31,101.82,37.68,121.15,68.46,0.0,2018-01-11 13:00:00,68.22,2018-01-11 16:00:00,0.56,68.88,37.57,2018-01-11 16:00:00,54.74,60.06,25.62
2018-01-11 17:00:00,45.59,30.24,99.94,37.65,121.75,60.85,0.0,2018-01-11 17:00:00,38.2,2018-01-11 17:00:00,5.16,56.11,36.68,2018-01-11 17:00:00,32.46,49.31,28.04
2018-01-11 21:00:00,51.13,29.53,98.82,37.6,120.84,65.23,0.0,2018-01-11 21:00:00,69.34,2018-01-11 21:00:00,6.44,32.73,37.17,2018-01-11 21:00:00,16.86,64.63,26.64
2018-01-12 01:00:00,70.91,38.4,79.72,37.63,121.13,68.25,0.0,2018-01-12 01:00:00,75.28,2018-01-12 03:00:00,0.87,53.0,37.4,2018-01-12 03:00:00,25.86,68.26,26.96
2018-01-12 05:00:00,76.67,42.79,105.31,37.6,120.6,64.73,0.0,2018-01-12 05:00:00,60.99,2018-01-12 07:00:00,0.96,41.53,37.57,2018-01-12 07:00:00,21.43,68.44,27.51
2018-01-12 09:00:00,68.3,45.65,103.42,37.59,120.49,68.39,0.0,2018-01-12 10:00:00,1.04,2018-01-12 13:00:00,0.65,39.04,37.6,2018-01-12 14:00:00,18.05,68.26,21.49
2018-01-12 13:00:00,61.91,40.18,100.27,37.55,120.6,67.93,0.0,2018-01-12 13:00:00,96.01,2018-01-12 14:00:00,1.75,33.58,37.65,2018-01-12 14:00:00,28.47,67.01,24.42
2018-01-12 17:00:00,48.67,26.85,102.81,37.54,120.73,65.95,0.0,2018-01-12 17:00:00,80.13,2018-01-12 17:00:00,3.82,26.62,36.49,2018-01-12 18:00:00,15.22,66.17,21.7
