"ioa-prg5, x","ioa-prg5, y","u90-scratch, x; u45-scratch, x; u71-scratch, x; u32-scratch, x; clg-opsview, x","u90-scratch, y","u45-scratch, y","u71-scratch, y","u32-scratch, y","clg-opsview, y","ioa-ast03, x; ioa-ful01, x; ioa-blr11, x; ioa-rtp6, x; ioa-clg5, x; ioa-sjc19, x","ioa-ast03, y","ioa-ful01, y","ioa-blr11, y","ioa-rtp6, y","ioa-clg5, y","ioa-sjc19, y","u51-scratch, x; prg5-opsview, x","u51-scratch, y","prg5-opsview, y"
8de1f3,5e726a,6c0479,c2f321,b98621,8e193d,2e3b1b,73e75a,2ae9b1,7ec2a5,de55a4,ce2460,1edfef,cd5461,c36c3a,39937c,c40e11,5f1d20
2018-01-09 05:00:00,0.0,2018-01-09 05:00:00,49.0,118.26,162.88,37.31,123.67,2018-01-09 09:00:00,81.73,83.23,31.64,0.0,123.9,106.99,2018-01-12 05:00:00,0.0,26.41
2018-01-09 09:00:00,0.0,2018-01-09 10:00:00,1.47,135.73,159.59,30.47,124.35,2018-01-09 13:00:00,93.0,67.48,37.54,0.0,122.47,107.68,,,
2018-01-09 13:00:00,0.0,2018-01-09 13:00:00,24.27,57.09,169.79,37.22,106.45,2018-01-09 17:00:00,52.79,59.32,27.95,0.0,103.21,95.97,,,
2018-01-09 17:00:00,0.0,2018-01-09 17:00:00,55.31,80.99,162.64,27.88,122.47,2018-01-09 21:00:00,25.81,33.98,27.9,0.0,64.09,37.33,,,
2018-01-09 21:00:00,0.0,2018-01-09 22:00:00,1.81,44.35,158.94,26.22,76.74,2018-01-10 01:00:00,69.8,85.69,37.16,0.0,120.05,107.52,,,
2018-01-10 01:00:00,0.0,2018-01-10 01:00:00,32.1,135.78,164.29,37.19,122.35,2018-01-10 05:00:00,86.4,85.23,35.09,0.0,113.09,105.54,,,
2018-01-10 05:00:00,0.0,2018-01-10 05:00:00,47.11,111.06,164.65,33.76,85.75,2018-01-10 09:00:00,65.08,100.92,35.07,0.0,118.53,107.16,,,
2018-01-10 09:00:00,0.0,2018-01-10 09:00:00,37.39,119.9,164.86,38.2,123.4,2018-01-10 13:00:00,80.34,95.11,35.03,0.0,84.89,104.82,,,
2018-01-10 13:00:00,0.0,2018-01-10 13:00:00,45.4,75.57,159.25,31.84,65.58,2018-01-10 17:00:00,48.9,45.64,34.31,352.46,122.87,106.62,,,
2018-01-10 17:00:00,0.0,2018-01-10 17:00:00,41.11,46.54,155.56,34.05,124.58,2018-01-10 21:00:00,45.99,52.02,36.61,351.89,96.54,105.98,,,
2018-01-10 21:00:00,0.0,2018-01-10 21:00:00,37.97,66.11,150.24,37.16,115.5,2018-01-11 01:00:00,63.94,87.5,0.0,276.59,100.33,96.48,,,
2018-01-11 01:00:00,0.0,2018-01-11 01:00:00,46.94,94.99,152.17,34.88,114.61,2018-01-11 05:00:00,55.95,78.85,32.77,369.71,87.7,103.41,,,
2018-01-11 05:00:00,0.0,2018-01-11 05:00:00,48.9,119.28,164.69,25.58,120.58,2018-01-11 09:00:00,68.01,86.37,32.5,339.84,86.35,105.46,,,
2018-01-11 09:00:00,0.0,2018-01-11 09:00:00,33.75,77.17,157.06,20.0,127.35,2018-01-11 13:00:00,67.47,73.65,34.8,359.32,79.46,106.44,,,
2018-01-11 13:00:00,0.0,2018-01-11 13:00:00,41.25,82.81,156.69,29.28,116.54,2018-01-11 17:00:00,41.81,65.42,35.05,363.05,117.55,105.94,,,
2018-01-11 17:00:00,0.0,2018-01-11 17:00:00,76.0,81.62,101.65,35.6,125.12,2018-01-11 21:00:00,47.75,62.03,33.13,356.04,111.81,106.32,,,
2018-01-11 21:00:00,0.0,2018-01-11 21:00:00,36.34,63.63,121.28,34.13,123.01,2018-01-12 01:00:00,70.3,75.72,33.15,360.88,81.79,102.34,,,
2018-01-12 01:00:00,0.0,2018-01-12 01:00:00,51.36,88.8,113.94,32.85,124.32,2018-01-12 05:00:00,71.16,93.96,35.14,334.36,82.82,59.71,,,
2018-01-12 05:00:00,0.0,2018-01-12 05:00:00,39.25,82.36,107.47,35.14,101.26,2018-01-12 09:00:00,67.38,83.82,35.02,307.44,67.33,104.81,,,
2018-01-12 09:00:00,0.0,2018-01-12 09:00:00,3.46,71.85,121.73,21.41,120.29,2018-01-12 13:00:00,74.88,78.95,32.38,359.51,70.31,103.65,,,
2018-01-12 13:00:00,0.0,2018-01-12 13:00:00,54.27,4.01,114.21,31.22,122.58,2018-01-12 17:00:00,53.43,55.26,38.22,385.15,70.36,105.39,,,
2018-01-12 17:00:00,0.0,2018-01-12 17:00:00,25.09,80.84,117.92,37.78,83.39,,,,,,,,,,
