"ioa-ast03, x; ioa-ful01, x; ioa-bxb200, x; ioa-rtp6, x; ioa-clg5, x; ioa-sjc19, x; ioa-prg5, x; u90-scratch, x","ioa-ast03, y","ioa-ful01, y","ioa-bxb200, y","ioa-rtp6, y","ioa-clg5, y","ioa-sjc19, y","ioa-prg5, y","u90-scratch, y","u45-scratch, x","u45-scratch, y","u71-scratch, x","u71-scratch, y","u70-scratch, x","u70-scratch, y","clg-opsview, x","clg-opsview, y","u51-scratch, x; prg5-opsview, x","u51-scratch, y","prg5-opsview, y"
c13cb7,5218b9,c5da97,9b64be,617329,bf8738,7a4eea,a5ff04,f626bf,11c540,9d207a,9f7cea,9df76d,a1a4a3,74e5b3,41a4c3,3a4f8e,74395f,8fe229,72b45a
2018-01-10 09:00:00,22.86,12.46,27.75,0.0,24.15,37.22,0.0,28.84,2018-01-10 10:00:00,1.86,2018-01-10 11:00:00,4.0,2018-01-10 11:00:00,16.54,2018-01-10 11:00:00,28.92,2018-01-11 03:00:00,0.0,23.84
2018-01-10 13:00:00,19.67,22.44,36.72,0.0,28.88,37.47,0.0,30.17,2018-01-10 14:00:00,2.96,2018-01-10 14:00:00,11.44,2018-01-10 14:00:00,12.85,2018-01-10 14:00:00,27.13,2018-01-11 07:00:00,0.0,28.11
2018-01-10 17:00:00,29.46,21.06,24.87,0.0,27.93,29.31,0.0,23.08,2018-01-10 18:00:00,2.63,2018-01-10 18:00:00,11.91,2018-01-10 18:00:00,5.4,2018-01-10 18:00:00,27.99,2018-01-11 09:00:00,0.0,0.0
2018-01-10 21:00:00,20.25,23.0,35.07,0.0,27.94,37.38,0.0,28.65,2018-01-11,0.56,2018-01-11,11.14,2018-01-11 01:00:00,7.91,2018-01-11 01:00:00,22.86,,,
2018-01-11 01:00:00,29.63,18.02,32.01,0.0,24.8,37.32,0.0,24.6,2018-01-11 02:00:00,1.57,2018-01-11 02:00:00,10.52,2018-01-11 03:00:00,2.23,2018-01-11 03:00:00,25.22,,,
2018-01-11 05:00:00,19.58,14.63,37.21,34.68,28.87,36.88,0.0,14.24,2018-01-11 06:00:00,1.48,2018-01-11 07:00:00,9.42,2018-01-11 07:00:00,5.95,2018-01-11 07:00:00,27.14,,,
2018-01-11 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-11 09:00:00,0.0,2018-01-11 09:00:00,0.0,2018-01-11 09:00:00,0.0,2018-01-11 09:00:00,0.0,,,
2018-01-11 13:00:00,0.0,0.0,0.0,0.0,28.05,37.64,0.0,14.09,2018-01-11 14:00:00,1.59,2018-01-11 14:00:00,6.76,2018-01-11 14:00:00,16.13,2018-01-11 14:00:00,28.06,,,
2018-01-11 17:00:00,29.86,21.81,37.9,35.67,28.29,37.52,0.0,21.24,2018-01-11 18:00:00,2.46,2018-01-11 18:00:00,10.95,2018-01-11 18:00:00,17.88,2018-01-11 18:00:00,28.37,,,
2018-01-11 21:00:00,28.7,21.32,38.07,35.72,30.02,37.51,0.0,18.39,2018-01-11 22:00:00,2.59,2018-01-11 22:00:00,9.22,2018-01-11 22:00:00,20.99,2018-01-11 22:00:00,29.76,,,
2018-01-12 01:00:00,26.21,16.83,35.02,32.84,18.64,37.5,0.0,20.69,2018-01-12 03:00:00,0.91,2018-01-12 03:00:00,10.92,2018-01-12 03:00:00,15.88,2018-01-12 03:00:00,28.06,,,
2018-01-12 05:00:00,19.21,15.35,35.03,32.88,27.36,37.18,0.0,15.15,2018-01-12 06:00:00,1.75,2018-01-12 06:00:00,7.08,2018-01-12 07:00:00,8.11,2018-01-12 07:00:00,27.53,,,
2018-01-12 09:00:00,26.92,10.7,33.23,31.25,26.77,37.42,0.0,21.14,2018-01-12 10:00:00,2.22,2018-01-12 12:00:00,0.95,2018-01-12 12:00:00,4.73,2018-01-12 12:00:00,27.92,,,
2018-01-12 13:00:00,26.57,21.25,34.97,32.78,27.92,37.34,0.0,10.64,2018-01-12 14:00:00,1.35,2018-01-12 16:00:00,1.01,2018-01-12 17:00:00,6.29,2018-01-12 17:00:00,26.21,,,
2018-01-12 17:00:00,29.62,20.91,33.89,32.69,26.66,37.26,0.0,25.29,2018-01-12 18:00:00,1.5,2018-01-12 19:00:00,1.96,2018-01-12 19:00:00,6.85,2018-01-12 20:00:00,27.98,,,
2018-01-12 21:00:00,29.59,21.19,37.91,35.55,29.92,37.32,0.0,22.99,2018-01-12 22:00:00,2.06,2018-01-12 23:00:00,2.45,2018-01-12 23:00:00,7.1,2018-01-12 23:00:00,26.35,,,
2018-01-13 01:00:00,29.08,16.3,25.93,30.67,27.36,37.3,0.0,20.88,2018-01-13 02:00:00,1.95,2018-01-13 04:00:00,1.09,2018-01-13 04:00:00,6.18,2018-01-13 04:00:00,29.54,,,
2018-01-13 05:00:00,14.45,14.1,37.97,35.58,29.96,37.11,0.0,13.47,,,,,,,,,,,
